trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,36.25,37.2,36.0,36.95,22885983,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2020-12-29,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,37.2,37.55,36.25,36.7,18963239,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2020-12-30,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,36.85,36.95,35.9,36.65,19633682,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2020-12-31,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,36.5,37.5,36.25,37.05,25499169,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-01,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,37.05,37.6,36.85,37.4,12858049,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-04,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,37.95,39.15,37.7,38.6,48722834,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-05,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,38.25,39.95,37.9,39.7,54314659,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-06,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,39.75,42.85,38.5,41.4,80681106,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-07,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,43.5,47.6,42.4,45.8,201972764,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-08,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,46.8,46.95,43.85,44.4,74289673,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-11,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,44.75,45.1,43.25,44.45,39358606,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-12,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,44.0,48.45,43.5,47.15,90521255,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-13,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.75,47.8,45.15,46.05,56558691,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-14,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,46.25,47.35,45.8,46.25,29310346,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-15,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,46.4,49.55,45.85,48.45,99486620,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-18,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,48.65,48.75,45.8,46.65,51656962,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-19,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.1,50.7,47.1,50.15,72082670,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-20,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.75,52.45,49.45,51.45,98044307,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-21,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,51.95,52.0,48.8,49.7,55907468,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-22,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.0,50.75,48.3,49.5,55567022,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-25,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.3,50.65,47.55,48.05,37299052,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-27,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,48.0,49.2,46.9,47.8,37095806,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-28,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.1,49.15,46.95,47.9,50095946,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-01-29,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,48.5,49.3,46.95,47.2,42499626,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-01,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,45.8,47.15,43.75,46.6,91266329,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-02,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.15,48.95,46.55,47.7,56064941,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-03,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,48.2,48.3,47.1,47.65,28568238,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-04,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.7,49.5,47.35,49.05,41320998,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-05,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,49.5,50.8,48.05,48.3,61029118,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-08,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,48.95,49.4,48.6,49.15,25004704,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-09,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,49.4,52.2,48.3,50.0,79600142,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-10,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.45,51.0,49.5,50.55,39925669,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-11,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.6,53.0,50.1,52.55,68713073,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-12,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,52.85,52.95,51.45,52.1,45538017,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-15,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,52.6,54.5,52.0,54.1,63488266,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-16,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,54.45,54.6,52.7,53.85,46908035,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-17,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,53.8,57.5,52.9,56.4,84077529,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-18,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,56.8,58.9,55.9,58.1,64960498,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-19,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,58.5,66.8,57.6,62.4,261417989,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-22,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,63.0,63.85,60.7,61.5,105148761,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-23,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,61.4,63.35,61.1,61.4,61275241,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-24,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,61.8,64.35,61.3,63.8,39413798,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-25,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,64.95,65.8,64.4,64.7,70565771,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-02-26,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,63.5,64.4,62.4,63.45,53553669,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-01,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,64.35,64.5,62.7,63.45,33031626,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-02,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,63.75,65.1,63.4,64.5,39385820,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-03,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,64.8,68.15,64.5,67.1,65259145,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-04,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,65.95,69.3,65.6,68.2,55584200,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-05,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,68.0,68.85,65.95,66.8,55030398,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-08,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,67.4,68.7,67.0,67.25,32067602,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-09,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,67.75,68.35,65.6,66.65,27400447,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-10,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,67.25,67.7,66.35,66.85,22266796,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-12,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,67.3,68.1,65.3,66.95,33728099,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-15,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,67.2,67.3,63.7,65.25,37011774,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-16,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,65.75,65.85,63.05,63.4,31183061,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-17,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,63.35,63.7,60.65,60.9,32300124,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-18,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,61.5,62.35,58.45,59.4,43275173,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-19,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,58.0,60.75,56.0,60.35,65794214,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-22,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,60.05,61.1,58.75,59.45,37193196,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-23,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,59.75,61.7,59.5,61.35,38827727,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-24,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,60.6,61.25,58.5,58.75,37223856,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-25,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,58.7,58.75,56.0,57.2,49179913,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-26,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,58.0,59.2,57.35,57.7,30706356,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-30,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,58.35,60.0,58.0,58.25,38680457,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-03-31,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,59.5,59.6,55.3,55.7,68707873,FYERS_HISTORY,2026-08-08T23:19:09+05:30
2021-04-01,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,56.2,57.85,56.15,57.05,49970187,FYERS_HISTORY,2026-08-08T23:19:09+05:30
