trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-12-31,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,12.98,13.54,12.98,13.43,14043,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-01,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.54,13.79,13.2,13.54,11211,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-02,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.65,13.65,13.2,13.23,8357,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-03,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.63,13.63,13.29,13.38,4104,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-04,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.54,13.88,13.54,13.67,10011,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-07,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.79,14.03,13.64,13.7,13455,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-08,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.79,13.96,13.46,13.64,8078,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-09,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.79,13.79,13.41,13.49,8201,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-10,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.39,13.53,12.94,13.09,13159,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-11,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.03,13.32,12.92,12.97,18904,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-14,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.36,13.62,13.28,13.51,12732,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-15,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.36,13.49,13.14,13.32,10979,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-16,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.36,13.79,13.22,13.64,16965,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-17,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.69,14.01,13.38,13.79,55672,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-18,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.69,13.79,13.58,13.66,30368,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-21,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.63,13.86,13.54,13.81,38908,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-22,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.79,13.95,13.66,13.74,33526,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-23,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,13.63,13.86,12.92,13.08,79718,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-24,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,12.94,13.15,12.42,12.49,111385,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-25,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,12.55,12.72,12.24,12.58,50444,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-28,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,12.59,12.71,12.3,12.39,36567,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-29,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,11.99,12.45,11.99,12.05,55675,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-30,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,12.07,12.17,11.64,11.68,85553,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-01-31,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,11.64,12.07,11.62,11.66,63979,FYERS_HISTORY,2026-08-08T23:19:31+05:30
2002-02-01,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,11.9,11.99,11.71,11.83,97415,FYERS_HISTORY,2026-08-08T23:19:31+05:30
