trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,137.97,138.09,135.55,137.62,1429917,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-01,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,137.92,152.15,136.5,150.55,6146046,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-02,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,150.03,153.01,146.59,147.53,4961388,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-03,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,141.41,152.62,140.04,145.73,3396592,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-04,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,140.55,148.22,140.55,143.4,1459438,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-07,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,133.78,147.19,133.78,143.35,956454,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-08,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,144.0,145.08,133.31,135.77,2521747,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-09,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,135.37,136.58,131.19,133.22,2057133,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-10,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,133.26,135.89,125.85,126.71,1775541,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-11,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,127.7,128.48,122.92,125.55,1273331,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-14,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,126.33,136.24,122.87,131.75,2220829,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-15,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,131.93,136.15,127.96,132.28,3584516,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-16,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,125.2,130.63,125.2,128.95,1231307,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-17,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,124.21,131.75,124.21,127.06,1961316,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-18,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,125.03,127.57,118.13,119.86,1638439,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-21,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,119.86,119.86,86.23,106.88,3112744,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-22,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,99.17,106.75,87.95,99.63,3455104,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-23,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,99.63,118.95,97.43,113.39,3371706,FYERS_HISTORY,2026-08-08T23:19:34+05:30
2008-01-24,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,116.4,119.86,107.79,111.71,3019854,FYERS_HISTORY,2026-08-08T23:19:34+05:30
