trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,57.7,58.4,55.78,56.11,404144,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2013-12-31,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,56.34,58.31,56.15,57.79,592175,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-01,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,57.18,58.87,56.85,57.04,404116,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-02,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,57.32,58.26,54.75,55.31,665151,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-03,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,55.17,56.15,54.94,55.64,212755,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-06,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,55.45,56.99,55.45,55.92,242724,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-07,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,55.87,56.39,55.31,55.5,147551,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-08,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,55.5,55.92,54.75,54.89,196654,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-09,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,55.4,55.54,54.66,54.8,175072,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-10,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,55.22,55.4,53.67,54.05,217486,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-13,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,53.67,56.39,53.53,55.97,509945,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-14,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,55.97,56.53,54.09,54.47,304254,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-15,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,54.0,56.48,54.0,55.68,354835,FYERS_HISTORY,2026-08-08T23:19:36+05:30
2014-01-16,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,55.36,56.29,54.75,56.11,320744,FYERS_HISTORY,2026-08-08T23:19:36+05:30
