trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,296.0,315.8,295.25,314.35,7047516,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2022-12-27,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,316.5,318.2,310.5,314.45,2856144,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2022-12-28,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,314.0,317.15,308.0,316.1,4590662,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2022-12-29,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,313.0,315.9,310.6,313.65,4182789,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2022-12-30,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,315.25,321.0,313.1,318.65,4873538,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-02,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,318.65,320.25,315.95,317.2,2021729,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-03,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,317.2,321.15,316.4,320.2,1658599,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-04,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,319.85,321.25,313.4,314.6,1967718,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-05,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,315.0,316.0,309.65,314.45,2130168,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-06,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,314.4,315.4,306.7,310.3,1970194,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-09,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,311.55,315.75,310.7,314.55,2758554,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-10,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,314.55,314.6,307.05,310.35,2375876,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-11,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,310.4,314.15,308.7,310.35,1666652,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-12,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,312.0,312.6,308.1,309.8,3779647,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-13,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,309.95,312.45,307.3,309.35,4475889,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-16,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,309.35,311.45,303.45,305.3,2156472,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-17,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,305.55,309.85,303.55,309.4,1980442,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-18,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,309.4,309.5,302.9,303.8,3500225,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-19,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,303.0,305.65,297.7,299.7,6648466,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-20,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,300.7,301.2,293.75,295.55,2965885,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-23,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,295.55,299.45,295.05,298.05,1550982,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-24,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,299.0,301.45,296.3,300.65,1928448,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-25,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,301.35,302.0,288.85,291.45,3868054,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-27,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,292.15,293.35,280.05,286.45,2707115,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-30,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,287.95,297.3,286.1,291.3,6765564,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-01-31,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,292.55,305.0,290.75,301.0,12635485,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-01,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,318.0,330.45,310.2,326.7,29448497,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-02,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,322.0,327.9,313.3,318.0,7762880,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-03,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,318.0,320.4,313.7,318.25,3399231,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-06,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,318.25,319.7,311.15,314.75,3217356,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-07,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,314.75,317.45,311.25,316.45,2319895,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-08,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,317.45,320.0,314.0,318.45,3828635,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-09,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,319.0,322.1,317.6,319.65,2454873,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-10,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,318.75,325.0,318.05,323.75,2013698,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-13,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,323.75,323.9,316.05,317.4,1552198,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-14,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,317.4,318.15,310.6,314.25,2393767,FYERS_HISTORY,2026-08-08T23:19:41+05:30
2023-02-15,SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,312.7,317.45,311.65,315.05,1353334,FYERS_HISTORY,2026-08-08T23:19:41+05:30
