trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0110,INDIANB,NSE:INDIANB-EQ,105.0,107.7,104.6,104.9,2484114,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2019-12-30,SMD-0110,INDIANB,NSE:INDIANB-EQ,105.4,105.6,104.15,104.6,909066,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2019-12-31,SMD-0110,INDIANB,NSE:INDIANB-EQ,104.4,105.0,100.5,100.95,2423404,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-01,SMD-0110,INDIANB,NSE:INDIANB-EQ,101.9,102.35,100.55,101.35,957240,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-02,SMD-0110,INDIANB,NSE:INDIANB-EQ,101.6,103.7,101.4,102.85,1551597,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-03,SMD-0110,INDIANB,NSE:INDIANB-EQ,102.85,104.4,102.15,102.85,1142845,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-06,SMD-0110,INDIANB,NSE:INDIANB-EQ,102.0,102.4,99.45,100.15,1034298,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-07,SMD-0110,INDIANB,NSE:INDIANB-EQ,101.1,102.2,98.1,99.6,1193942,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-08,SMD-0110,INDIANB,NSE:INDIANB-EQ,98.5,99.0,97.25,98.2,835779,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-09,SMD-0110,INDIANB,NSE:INDIANB-EQ,99.7,101.0,98.85,99.4,1302942,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-10,SMD-0110,INDIANB,NSE:INDIANB-EQ,100.0,100.8,98.5,98.75,1389586,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-13,SMD-0110,INDIANB,NSE:INDIANB-EQ,99.5,99.75,98.2,99.35,835761,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-14,SMD-0110,INDIANB,NSE:INDIANB-EQ,99.65,99.65,98.7,99.0,712611,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-15,SMD-0110,INDIANB,NSE:INDIANB-EQ,98.6,100.85,98.2,99.1,1304110,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-16,SMD-0110,INDIANB,NSE:INDIANB-EQ,99.35,103.15,99.15,102.35,2907485,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-17,SMD-0110,INDIANB,NSE:INDIANB-EQ,102.35,103.65,101.0,102.05,1645618,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-20,SMD-0110,INDIANB,NSE:INDIANB-EQ,102.5,104.5,100.55,103.85,1929587,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-21,SMD-0110,INDIANB,NSE:INDIANB-EQ,103.85,106.2,103.0,104.7,4372470,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-22,SMD-0110,INDIANB,NSE:INDIANB-EQ,105.5,106.0,103.35,103.95,1143258,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-23,SMD-0110,INDIANB,NSE:INDIANB-EQ,104.4,105.75,103.65,104.5,1403729,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-24,SMD-0110,INDIANB,NSE:INDIANB-EQ,105.8,109.7,104.1,106.95,9565473,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-27,SMD-0110,INDIANB,NSE:INDIANB-EQ,107.2,108.75,106.1,106.35,2329905,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-28,SMD-0110,INDIANB,NSE:INDIANB-EQ,107.0,107.1,103.3,103.65,1279250,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-29,SMD-0110,INDIANB,NSE:INDIANB-EQ,104.65,105.2,103.3,103.8,886814,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-30,SMD-0110,INDIANB,NSE:INDIANB-EQ,103.8,103.8,102.0,102.9,763983,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-01-31,SMD-0110,INDIANB,NSE:INDIANB-EQ,103.35,104.0,99.45,103.45,1406266,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-01,SMD-0110,INDIANB,NSE:INDIANB-EQ,103.0,104.95,99.75,100.15,1185379,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-03,SMD-0110,INDIANB,NSE:INDIANB-EQ,99.75,99.95,96.0,97.0,950204,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-04,SMD-0110,INDIANB,NSE:INDIANB-EQ,97.15,98.1,95.45,96.1,1206020,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-05,SMD-0110,INDIANB,NSE:INDIANB-EQ,96.35,97.4,94.7,95.4,981168,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-06,SMD-0110,INDIANB,NSE:INDIANB-EQ,96.0,99.8,95.5,96.7,2319547,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-07,SMD-0110,INDIANB,NSE:INDIANB-EQ,97.0,98.4,96.05,96.55,1048475,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-10,SMD-0110,INDIANB,NSE:INDIANB-EQ,96.9,97.05,95.05,95.6,687587,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-11,SMD-0110,INDIANB,NSE:INDIANB-EQ,96.3,96.5,92.5,92.8,1627240,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-12,SMD-0110,INDIANB,NSE:INDIANB-EQ,93.3,93.3,89.1,89.65,1389296,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-13,SMD-0110,INDIANB,NSE:INDIANB-EQ,89.65,89.9,87.85,88.15,1053226,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-14,SMD-0110,INDIANB,NSE:INDIANB-EQ,88.2,89.05,84.7,84.95,1243178,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-17,SMD-0110,INDIANB,NSE:INDIANB-EQ,84.95,84.95,81.5,81.95,1182349,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-18,SMD-0110,INDIANB,NSE:INDIANB-EQ,81.8,81.8,77.85,80.25,1379257,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-19,SMD-0110,INDIANB,NSE:INDIANB-EQ,80.75,83.75,80.35,83.15,968882,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-20,SMD-0110,INDIANB,NSE:INDIANB-EQ,83.2,84.5,82.5,83.4,700192,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-24,SMD-0110,INDIANB,NSE:INDIANB-EQ,82.6,82.75,79.3,80.35,682348,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-25,SMD-0110,INDIANB,NSE:INDIANB-EQ,81.05,81.5,78.6,80.05,903519,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-26,SMD-0110,INDIANB,NSE:INDIANB-EQ,79.95,79.95,77.6,78.15,867471,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-27,SMD-0110,INDIANB,NSE:INDIANB-EQ,78.45,78.45,74.85,75.65,1198140,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-02-28,SMD-0110,INDIANB,NSE:INDIANB-EQ,71.05,75.3,71.05,74.05,1648817,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-03-02,SMD-0110,INDIANB,NSE:INDIANB-EQ,76.0,76.3,68.5,70.95,948344,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-03-03,SMD-0110,INDIANB,NSE:INDIANB-EQ,71.9,72.75,69.25,69.85,1079228,FYERS_HISTORY,2026-08-08T23:19:54+05:30
2020-03-04,SMD-0110,INDIANB,NSE:INDIANB-EQ,70.2,74.65,69.9,71.05,3367184,FYERS_HISTORY,2026-08-08T23:19:54+05:30
