trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0111,INDIGO,NSE:INDIGO-EQ,1655.0,1714.35,1655.0,1687.9,2239393,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2020-12-29,SMD-0111,INDIGO,NSE:INDIGO-EQ,1690.0,1714.0,1669.5,1692.2,1705739,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2020-12-30,SMD-0111,INDIGO,NSE:INDIGO-EQ,1695.0,1700.45,1677.25,1689.7,1065369,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2020-12-31,SMD-0111,INDIGO,NSE:INDIGO-EQ,1680.0,1738.9,1673.9,1723.3,1474347,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-01,SMD-0111,INDIGO,NSE:INDIGO-EQ,1719.0,1723.85,1692.95,1713.5,1000420,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-04,SMD-0111,INDIGO,NSE:INDIGO-EQ,1722.0,1751.0,1718.15,1744.95,864639,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-05,SMD-0111,INDIGO,NSE:INDIGO-EQ,1732.0,1733.95,1702.5,1714.75,862655,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-06,SMD-0111,INDIGO,NSE:INDIGO-EQ,1731.45,1743.0,1708.85,1732.5,1039152,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-07,SMD-0111,INDIGO,NSE:INDIGO-EQ,1739.0,1779.0,1731.5,1761.05,1507671,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-08,SMD-0111,INDIGO,NSE:INDIGO-EQ,1770.0,1774.9,1723.0,1732.3,946898,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-11,SMD-0111,INDIGO,NSE:INDIGO-EQ,1742.75,1751.0,1693.0,1702.65,808125,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-12,SMD-0111,INDIGO,NSE:INDIGO-EQ,1702.0,1727.0,1676.55,1680.0,1039105,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-13,SMD-0111,INDIGO,NSE:INDIGO-EQ,1695.0,1695.0,1621.1,1633.8,1313112,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-14,SMD-0111,INDIGO,NSE:INDIGO-EQ,1640.0,1667.95,1622.45,1658.6,761001,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-15,SMD-0111,INDIGO,NSE:INDIGO-EQ,1660.0,1664.4,1620.9,1631.05,657711,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-18,SMD-0111,INDIGO,NSE:INDIGO-EQ,1627.0,1627.0,1570.6,1594.05,842489,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-19,SMD-0111,INDIGO,NSE:INDIGO-EQ,1596.0,1675.0,1596.0,1664.75,1833017,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-20,SMD-0111,INDIGO,NSE:INDIGO-EQ,1663.85,1674.75,1642.25,1666.4,880286,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-21,SMD-0111,INDIGO,NSE:INDIGO-EQ,1680.0,1726.0,1665.45,1677.55,1704954,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-22,SMD-0111,INDIGO,NSE:INDIGO-EQ,1684.4,1684.4,1634.05,1642.3,682971,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-25,SMD-0111,INDIGO,NSE:INDIGO-EQ,1658.2,1664.4,1577.55,1587.55,753452,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-27,SMD-0111,INDIGO,NSE:INDIGO-EQ,1595.0,1627.45,1574.65,1590.15,1283190,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-28,SMD-0111,INDIGO,NSE:INDIGO-EQ,1589.0,1624.4,1560.0,1592.8,1303613,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-01-29,SMD-0111,INDIGO,NSE:INDIGO-EQ,1560.0,1644.2,1534.0,1547.75,2558849,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-01,SMD-0111,INDIGO,NSE:INDIGO-EQ,1561.0,1660.0,1557.25,1640.0,1647758,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-02,SMD-0111,INDIGO,NSE:INDIGO-EQ,1653.65,1671.55,1597.2,1630.0,1056437,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-03,SMD-0111,INDIGO,NSE:INDIGO-EQ,1645.9,1663.85,1618.05,1621.7,729638,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-04,SMD-0111,INDIGO,NSE:INDIGO-EQ,1615.0,1680.0,1605.55,1672.35,1155073,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-05,SMD-0111,INDIGO,NSE:INDIGO-EQ,1692.85,1732.4,1667.5,1680.85,1716622,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-08,SMD-0111,INDIGO,NSE:INDIGO-EQ,1682.0,1743.9,1680.85,1695.95,1232332,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-09,SMD-0111,INDIGO,NSE:INDIGO-EQ,1700.0,1708.0,1652.7,1662.05,614345,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-10,SMD-0111,INDIGO,NSE:INDIGO-EQ,1681.9,1691.15,1615.0,1623.65,1657187,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-11,SMD-0111,INDIGO,NSE:INDIGO-EQ,1630.0,1648.95,1604.05,1630.35,828472,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-12,SMD-0111,INDIGO,NSE:INDIGO-EQ,1695.0,1701.1,1616.0,1643.15,2402673,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-15,SMD-0111,INDIGO,NSE:INDIGO-EQ,1649.0,1657.5,1632.5,1642.55,525619,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-16,SMD-0111,INDIGO,NSE:INDIGO-EQ,1646.55,1646.55,1596.15,1610.45,929036,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-17,SMD-0111,INDIGO,NSE:INDIGO-EQ,1609.45,1628.85,1577.2,1610.05,1192359,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-18,SMD-0111,INDIGO,NSE:INDIGO-EQ,1613.0,1621.95,1578.6,1592.4,1108617,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-19,SMD-0111,INDIGO,NSE:INDIGO-EQ,1595.0,1608.45,1545.05,1565.8,855393,FYERS_HISTORY,2026-08-08T23:20:12+05:30
2021-02-22,SMD-0111,INDIGO,NSE:INDIGO-EQ,1565.05,1565.8,1502.3,1512.25,1074104,FYERS_HISTORY,2026-08-08T23:20:12+05:30
