trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2005-12-30,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,57.5,59.0,57.1,58.35,544092,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,59.35,59.9,58.5,59.3,519633,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,59.9,61.7,59.35,60.9,1329290,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,61.45,61.45,57.2,58.8,1823792,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,59.5,61.25,57.05,60.1,3677034,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,60.5,61.3,58.6,59.05,1834759,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,59.5,60.0,58.25,58.45,988392,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,59.0,59.95,58.2,58.3,804771,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-12,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,58.4,58.9,57.5,58.2,369353,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,58.2,58.8,56.9,57.2,486228,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,57.3,57.6,55.65,56.55,1736527,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,56.5,57.0,53.8,54.1,723874,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-18,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,54.65,54.65,52.35,53.9,401588,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-19,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,54.5,54.85,54.1,54.45,377158,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,54.25,55.5,54.25,54.95,534416,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,50.25,55.0,50.25,53.85,504455,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,53.8,54.9,53.8,54.15,435263,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-25,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,54.8,54.85,51.0,52.1,1731859,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,51.5,53.9,51.5,53.65,872906,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-30,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,54.0,54.95,52.5,52.65,477945,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-01-31,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,52.5,53.35,52.2,52.45,374879,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,53.45,53.45,51.1,51.4,319007,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,51.0,52.0,49.5,49.9,554206,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,53.0,54.45,52.0,52.45,1532968,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,53.0,53.4,51.5,51.7,451717,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,51.75,52.45,51.5,52.25,403685,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,52.0,52.5,50.85,51.2,528261,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,51.9,52.6,51.5,52.15,367316,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,52.25,53.55,52.1,53.2,539236,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-14,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,53.2,53.85,52.8,52.95,329853,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-15,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,53.3,53.3,52.25,52.5,187269,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,52.6,53.0,51.95,52.15,214251,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,52.25,52.6,50.55,51.0,283452,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,51.5,51.5,50.05,50.8,202266,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-21,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,51.65,51.65,50.6,50.9,193996,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-22,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,50.9,51.25,50.05,50.25,304608,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,50.95,50.95,49.05,49.45,976036,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,49.45,51.45,49.15,51.3,560806,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,52.7,52.7,51.25,51.55,252663,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-02-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,51.5,52.0,50.2,50.6,366916,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-03-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,50.0,51.5,49.15,49.9,291281,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-03-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,50.0,50.5,49.0,49.3,584100,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-03-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,49.9,50.3,46.35,48.15,1290887,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-03-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,49.0,49.0,48.05,48.25,510959,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-03-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,48.8,49.5,48.1,49.05,567289,FYERS_HISTORY,2026-08-08T23:20:17+05:30
2006-03-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,49.0,50.05,48.6,48.9,580625,FYERS_HISTORY,2026-08-08T23:20:17+05:30
