trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,130.3,131.65,125.55,127.5,2029166,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,129.65,131.0,126.55,129.05,922658,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,129.0,132.2,128.0,130.1,3032418,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,130.0,131.4,124.6,128.1,1963092,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,128.25,135.0,127.65,131.5,3287251,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,128.5,134.5,126.05,130.75,1504231,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,132.0,134.0,123.4,126.45,1108225,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,125.9,127.8,121.25,124.0,822103,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,124.0,126.85,110.0,116.7,1285735,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-11,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,117.0,125.9,114.0,124.5,2298317,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-14,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,121.65,126.45,120.6,123.5,633338,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-15,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,125.9,125.9,120.0,120.65,453009,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,119.3,123.8,117.1,122.75,664804,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,123.7,125.45,120.85,122.45,433772,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-18,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,121.95,121.95,112.5,115.3,454624,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-21,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,116.0,116.0,90.0,97.95,917460,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-22,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,89.0,93.0,75.0,80.8,938666,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,88.0,99.7,81.0,91.8,1815569,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,93.0,100.0,85.0,86.35,815161,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-25,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,88.0,99.8,86.75,98.4,758876,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,90.0,101.3,90.0,99.95,680786,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-29,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,103.1,105.65,96.6,101.25,921921,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-30,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,101.25,101.25,93.1,94.55,703392,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-01-31,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,91.5,104.5,89.0,94.7,4522953,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,96.0,99.35,90.65,93.35,1684758,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,95.5,106.0,92.25,102.1,2567166,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,95.0,112.8,95.0,110.35,3198870,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,109.8,110.55,96.2,108.0,1327716,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,108.0,114.25,101.0,102.6,1990897,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,103.0,105.8,96.0,99.65,2151632,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-11,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,95.35,100.5,91.0,93.3,1031150,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-12,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,94.2,97.0,88.1,89.6,783378,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,91.3,94.5,85.65,89.25,838360,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-14,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,93.25,105.0,93.25,104.3,2337447,FYERS_HISTORY,2026-08-08T23:20:18+05:30
2008-02-15,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,104.0,107.25,97.4,104.8,1672965,FYERS_HISTORY,2026-08-08T23:20:18+05:30
