trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,787.0,791.9,782.05,783.7,280905,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2014-12-30,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,784.1,794.4,775.0,792.1,609368,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2014-12-31,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,799.0,809.5,794.35,802.45,1270958,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,803.4,814.7,798.4,812.0,819116,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,816.0,823.35,812.0,815.9,640249,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,818.0,821.8,812.05,819.1,336910,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,816.0,816.0,792.35,798.4,485801,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,800.1,805.5,786.55,791.95,737973,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,800.0,804.5,788.45,798.7,623621,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,804.0,810.8,791.55,802.0,544145,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-12,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,804.95,839.2,797.0,829.45,896776,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,845.0,849.15,820.05,825.5,3264664,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-14,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,831.7,832.9,811.1,816.65,1238612,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-15,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,840.5,849.0,825.0,830.35,1493767,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,831.7,837.85,813.3,831.85,1160723,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-19,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,835.0,837.8,827.0,829.15,612731,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,830.0,844.5,822.6,840.45,1318766,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-21,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,845.0,859.5,839.45,842.55,1462665,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-22,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,838.5,851.8,837.6,846.25,553285,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,853.0,863.95,851.0,857.35,1179588,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,857.0,870.0,851.4,863.25,840924,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,859.95,880.0,858.2,868.75,925540,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-29,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,863.5,878.95,862.95,876.05,687051,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-01-30,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,877.0,884.8,866.25,870.2,888368,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,865.1,877.85,856.1,874.55,666544,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,876.6,889.8,857.25,861.35,1013403,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,864.6,872.3,851.25,863.3,907333,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,861.9,883.35,851.0,865.4,704581,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,863.8,868.3,840.5,845.3,465226,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,838.75,838.75,820.5,825.15,573650,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,815.7,851.95,815.7,840.8,1050019,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-11,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,844.0,863.2,844.0,855.5,787344,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-12,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,857.9,874.95,846.6,869.95,507508,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,872.9,877.65,863.95,875.35,700753,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,872.5,879.3,855.0,862.9,420397,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-18,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,861.8,869.85,852.6,864.85,503192,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-19,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,868.0,870.5,842.45,857.5,621565,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,857.1,881.4,850.65,876.8,1207981,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,876.0,878.5,857.9,867.55,596633,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,865.5,867.0,854.7,864.15,505014,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-25,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,865.0,873.2,855.0,858.55,617078,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-26,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,856.2,860.0,839.05,845.3,1152143,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,844.95,867.8,837.55,864.5,1063550,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-02-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,875.0,922.45,858.5,916.55,1388891,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-03-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,925.0,949.9,914.0,944.5,1263167,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-03-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,945.0,945.0,926.0,938.6,617171,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-03-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,959.9,962.55,903.1,908.2,996972,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-03-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,909.8,917.85,893.15,913.2,739059,FYERS_HISTORY,2026-08-08T23:20:21+05:30
2015-03-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,908.0,910.0,890.5,895.2,1121892,FYERS_HISTORY,2026-08-08T23:20:21+05:30
