trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-12-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1577.0,1593.45,1559.7,1564.0,1880388,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2018-12-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1578.85,1600.5,1571.0,1583.25,1333919,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2018-12-31,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1591.3,1604.0,1585.6,1599.3,933039,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1600.0,1605.0,1560.55,1595.6,4043870,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1587.6,1598.0,1568.25,1576.6,1164974,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1573.0,1580.0,1555.65,1560.1,958038,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1560.8,1571.0,1540.2,1548.2,1868151,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1561.0,1610.0,1550.5,1559.15,3991996,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1563.15,1588.0,1551.0,1577.75,1479592,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1580.0,1610.0,1548.0,1601.75,6447772,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1607.85,1607.85,1554.0,1565.9,4377060,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-11,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1570.0,1574.0,1508.3,1515.15,3180775,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-14,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1509.0,1509.0,1471.0,1484.05,3615252,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-15,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1491.0,1504.4,1486.0,1495.2,1725819,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1496.0,1532.0,1495.95,1526.7,2188162,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1526.7,1536.0,1510.0,1523.0,1467807,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-18,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1523.1,1532.4,1513.0,1516.9,1589082,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-21,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1511.3,1517.9,1497.0,1507.6,1606142,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-22,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1502.0,1506.2,1475.0,1501.6,2666389,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1497.15,1509.0,1486.2,1495.0,1441440,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1492.2,1500.0,1478.5,1490.3,1088512,FYERS_HISTORY,2026-08-08T23:20:23+05:30
2019-01-25,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1496.3,1512.4,1478.25,1484.9,1738412,FYERS_HISTORY,2026-08-08T23:20:23+05:30
