trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1150.0,1208.0,1141.0,1195.7,2100374,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2022-12-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1201.65,1209.95,1185.0,1202.35,1462244,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2022-12-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1198.0,1227.0,1194.0,1214.15,2834356,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2022-12-29,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1206.0,1234.9,1201.8,1231.15,3134405,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2022-12-30,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1238.0,1238.0,1211.5,1220.1,1767556,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1220.1,1231.1,1211.75,1226.35,2587946,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1226.55,1249.85,1222.3,1240.95,2195814,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1258.0,1273.4,1206.1,1223.1,8001367,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1229.25,1232.5,1203.8,1215.85,2364186,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1214.0,1217.7,1176.1,1181.9,3029739,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1190.15,1223.6,1188.05,1218.65,2836421,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1215.0,1231.15,1205.0,1227.55,2442613,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-11,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1232.4,1238.2,1207.4,1213.25,2675249,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-12,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1214.0,1224.75,1197.3,1209.15,1862790,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1213.0,1237.3,1210.1,1234.4,2184432,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1240.0,1250.0,1232.6,1239.25,2398823,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1240.0,1240.0,1212.7,1230.35,1803413,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-18,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1232.0,1238.0,1218.0,1223.0,1865108,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-19,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1215.0,1245.0,1183.25,1200.55,9691261,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1208.6,1228.0,1198.5,1202.45,4144033,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1212.7,1220.15,1200.5,1204.7,1848813,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1206.3,1219.8,1198.35,1212.3,2472106,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-25,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1210.0,1211.0,1151.35,1156.15,3420414,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1163.05,1168.65,1106.0,1116.4,4781085,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-30,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1110.0,1124.8,1055.0,1089.05,7991091,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-01-31,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1097.05,1098.85,1068.35,1082.95,6080048,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1094.0,1119.0,990.0,1041.85,7563064,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1034.9,1081.0,1028.4,1075.9,4494575,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1110.0,1131.0,1079.0,1103.55,9207051,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1109.0,1135.0,1100.45,1129.15,2865938,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1134.0,1148.15,1122.5,1142.9,3603258,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1144.0,1151.25,1136.0,1145.35,1675932,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1150.15,1168.2,1138.3,1163.8,2284751,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1160.0,1167.0,1147.1,1161.2,2126093,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1165.0,1170.0,1148.6,1157.35,2112106,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-14,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1160.7,1162.0,1137.0,1156.85,2433798,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-15,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1155.0,1160.45,1145.0,1149.6,2050158,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1155.35,1156.1,1143.7,1148.35,1918858,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1142.0,1143.9,1109.0,1114.7,3146155,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1117.25,1122.8,1103.8,1109.3,1613608,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-21,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1110.0,1112.15,1096.0,1101.75,1767689,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-22,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1096.75,1096.95,1079.2,1092.75,1983022,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1092.7,1097.55,1066.65,1075.6,3193602,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1080.05,1089.65,1069.6,1079.15,1862986,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1079.95,1089.85,1067.05,1081.95,2047252,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-02-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1082.5,1089.9,1068.05,1077.7,1360243,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1077.05,1106.55,1070.1,1100.45,4006038,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1099.95,1110.5,1093.4,1102.05,3831094,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1109.0,1133.2,1104.75,1126.4,3365349,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1132.0,1140.0,1116.65,1120.6,3623590,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1109.65,1179.0,1105.55,1174.25,7227479,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1174.25,1182.65,1162.3,1169.8,3086720,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1155.1,1162.25,1138.0,1144.8,3255900,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1119.0,1119.5,1055.0,1060.1,12242080,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-14,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1060.1,1082.4,1052.2,1064.0,5410127,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-15,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1079.8,1086.55,1040.0,1044.35,4117107,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-16,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1040.0,1041.95,1001.9,1017.8,9261210,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1038.0,1038.6,1006.25,1020.5,5324960,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1020.0,1020.0,990.2,1002.3,5439347,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-21,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1007.35,1029.95,996.0,1022.85,6200518,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-22,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1028.0,1044.0,1024.15,1031.15,2992139,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-23,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1028.15,1046.2,1014.25,1018.25,3703523,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1019.0,1024.95,1004.65,1009.55,2709449,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1014.0,1020.95,1004.0,1012.85,2116764,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1017.7,1038.4,1007.2,1036.15,4396283,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-29,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1031.0,1063.95,1025.0,1057.1,5803091,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-03-31,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1063.0,1076.0,1060.4,1067.95,3097113,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1073.0,1081.15,1064.0,1078.75,1534155,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1089.0,1089.2,1060.1,1067.2,2979782,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1067.2,1093.45,1064.25,1082.0,3458673,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1082.0,1083.0,1063.0,1069.3,1602094,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-11,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1077.4,1078.1,1055.05,1074.2,1932390,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-12,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1073.5,1077.1,1057.55,1074.75,3005913,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1073.0,1114.5,1007.95,1109.3,6082307,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1107.4,1136.7,1105.0,1124.35,5360050,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-18,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1130.0,1149.5,1127.05,1146.9,4455007,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-19,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1143.0,1145.9,1118.55,1120.4,2207739,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1118.95,1131.55,1112.4,1126.2,2530597,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-21,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1126.2,1135.75,1108.35,1116.35,1894300,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1130.75,1141.0,1092.0,1102.0,7711772,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-25,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1119.95,1127.6,1113.1,1121.75,5268567,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-26,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1117.75,1139.8,1115.15,1137.8,2688362,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1140.0,1148.45,1130.0,1144.75,2990958,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-04-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1148.75,1157.55,1135.0,1152.8,2239678,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-05-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1158.95,1161.85,1150.0,1150.9,2000569,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-05-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1142.5,1159.9,1140.3,1146.15,1816420,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-05-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1146.15,1151.0,1129.0,1134.6,2752160,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-05-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1131.0,1154.95,1065.35,1073.3,8504838,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-05-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1087.0,1134.65,1087.0,1126.35,6764292,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-05-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1135.0,1149.9,1131.1,1140.6,4181498,FYERS_HISTORY,2026-08-08T23:20:25+05:30
2023-05-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1155.0,1175.8,1150.0,1172.55,6466598,FYERS_HISTORY,2026-08-08T23:20:25+05:30
