trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,940.0,945.0,928.25,931.95,5262262,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2024-12-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,933.05,971.1,933.05,953.4,6300341,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2024-12-30,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,953.3,973.5,948.85,963.5,8165774,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2024-12-31,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,958.0,961.45,949.05,960.15,2295670,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-01,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,958.6,979.3,953.5,969.4,4024591,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-02,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,975.5,998.0,968.8,991.35,3956740,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,993.0,1025.4,990.65,997.9,5896120,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,1004.95,1004.95,963.2,970.05,3370654,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,970.15,994.55,970.15,983.6,3581533,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-08,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,985.9,986.0,967.1,981.05,3781895,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-09,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,981.05,985.35,970.4,980.9,3134034,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,971.75,975.0,933.05,937.6,5611356,FYERS_HISTORY,2026-08-08T23:20:26+05:30
2025-01-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,936.9,973.5,934.5,941.7,8752532,FYERS_HISTORY,2026-08-08T23:20:26+05:30
