trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0114,INFY,NSE:INFY-EQ,1238.45,1248.0,1236.0,1240.3,4607051,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2020-12-29,SMD-0114,INFY,NSE:INFY-EQ,1235.0,1254.45,1235.0,1250.3,6878105,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2020-12-30,SMD-0114,INFY,NSE:INFY-EQ,1253.0,1253.3,1238.15,1246.8,5194690,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2020-12-31,SMD-0114,INFY,NSE:INFY-EQ,1243.0,1258.4,1239.0,1255.8,7430470,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-01,SMD-0114,INFY,NSE:INFY-EQ,1257.9,1265.5,1255.8,1260.45,4253550,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-04,SMD-0114,INFY,NSE:INFY-EQ,1269.0,1290.0,1261.15,1288.25,7208454,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-05,SMD-0114,INFY,NSE:INFY-EQ,1282.0,1299.0,1275.05,1293.8,8145280,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-06,SMD-0114,INFY,NSE:INFY-EQ,1300.0,1302.0,1268.05,1282.1,7161715,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-07,SMD-0114,INFY,NSE:INFY-EQ,1296.0,1297.65,1255.5,1262.15,10954918,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-08,SMD-0114,INFY,NSE:INFY-EQ,1278.25,1316.8,1278.25,1312.1,13186251,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-11,SMD-0114,INFY,NSE:INFY-EQ,1342.1,1383.35,1340.0,1376.2,20528626,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-12,SMD-0114,INFY,NSE:INFY-EQ,1378.0,1378.0,1360.0,1371.75,8309868,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-13,SMD-0114,INFY,NSE:INFY-EQ,1373.85,1392.8,1360.0,1387.15,14442997,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-14,SMD-0114,INFY,NSE:INFY-EQ,1360.0,1384.0,1318.45,1370.5,27521697,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-15,SMD-0114,INFY,NSE:INFY-EQ,1360.0,1364.45,1340.0,1344.95,15018441,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-18,SMD-0114,INFY,NSE:INFY-EQ,1338.0,1340.0,1306.0,1312.05,8861765,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-19,SMD-0114,INFY,NSE:INFY-EQ,1320.0,1331.0,1312.0,1316.65,5585744,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-20,SMD-0114,INFY,NSE:INFY-EQ,1320.55,1348.4,1320.55,1339.45,8225838,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-21,SMD-0114,INFY,NSE:INFY-EQ,1350.0,1361.05,1335.0,1339.7,6142421,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-22,SMD-0114,INFY,NSE:INFY-EQ,1327.0,1356.0,1326.55,1340.85,9646591,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-25,SMD-0114,INFY,NSE:INFY-EQ,1345.0,1347.9,1313.0,1325.1,6542611,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-27,SMD-0114,INFY,NSE:INFY-EQ,1319.6,1327.55,1285.1,1301.0,8133665,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-28,SMD-0114,INFY,NSE:INFY-EQ,1291.8,1296.45,1272.55,1276.2,4660690,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-01-29,SMD-0114,INFY,NSE:INFY-EQ,1286.25,1291.15,1231.0,1239.05,12183519,FYERS_HISTORY,2026-08-08T23:20:53+05:30
2021-02-01,SMD-0114,INFY,NSE:INFY-EQ,1250.55,1277.95,1241.0,1260.9,8880279,FYERS_HISTORY,2026-08-08T23:20:53+05:30
