trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,89.95,91.36,89.45,89.84,389568,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2015-12-29,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,89.95,90.29,88.25,88.65,296046,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2015-12-30,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,88.72,90.17,88.47,88.93,306105,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2015-12-31,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,89.8,89.8,88.22,88.6,182719,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-01,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,89.33,89.43,88.37,88.69,273777,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-04,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,88.96,89.02,87.56,88.62,366526,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-05,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,88.47,89.09,87.85,88.51,348140,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-06,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,89.21,91.13,89.21,89.76,580213,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-07,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,89.45,89.45,85.94,86.13,354449,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-08,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,87.48,88.22,86.25,86.83,140175,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-11,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,86.21,86.5,85.04,85.33,147804,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-12,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,86.13,86.18,84.03,85.55,434691,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-13,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,85.88,86.97,81.82,84.16,365588,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-14,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,83.29,83.29,81.32,81.88,379624,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-15,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,82.32,82.86,77.65,78.67,200537,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-18,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,80.34,80.34,73.94,76.74,1009313,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-19,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,76.04,79.84,75.16,79.47,895812,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-20,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,79.52,80.09,75.41,79.01,940867,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-21,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,79.84,80.97,75.68,77.11,1828462,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-22,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,79.31,79.31,76.15,76.37,1065420,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-25,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,77.86,78.11,75.46,75.9,255150,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-27,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,76.26,78.37,75.78,78.09,275086,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-28,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,77.87,78.98,76.54,78.25,199078,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-01-29,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,77.87,78.61,77.29,78.09,447107,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-01,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,78.37,79.1,76.25,76.41,474802,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-02,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,77.12,77.75,73.81,74.55,424601,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-03,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,73.93,74.67,72.13,72.59,729440,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-04,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,73.19,74.64,70.11,70.73,1194701,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-05,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,70.74,73.66,70.73,72.62,1143821,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-08,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,73.17,73.18,66.78,67.51,3586756,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-09,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,67.15,68.91,65.55,66.44,1518694,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-10,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,66.44,67.03,61.71,63.26,989271,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-11,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,62.69,62.69,58.81,60.14,1307271,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-12,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,60.38,61.58,58.22,60.45,1079430,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-15,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,62.35,62.72,60.5,61.26,649490,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-16,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,61.47,61.83,56.52,57.25,1613053,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-17,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,57.31,58.16,53.36,57.17,3723658,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-18,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,57.31,59.83,54.23,56.04,887942,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-19,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,55.45,58.28,54.79,57.3,477034,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-22,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,58.64,60.08,57.18,58.39,963456,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-23,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,58.77,59.01,55.84,56.52,415611,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-24,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,56.58,56.68,55.32,55.99,233791,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-25,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,56.2,56.68,54.23,54.84,853386,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-26,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,55.46,55.92,53.25,53.89,466436,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-02-29,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,55.68,56.43,53.24,53.92,335901,FYERS_HISTORY,2026-08-08T23:21:08+05:30
2016-03-01,SMD-0115,INOXWIND,NSE:INOXWIND-EQ,52.98,57.91,52.98,57.11,1293455,FYERS_HISTORY,2026-08-08T23:21:08+05:30
