trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2012-12-28,SMD-0116,IOC,NSE:IOC-EQ,43.8,44.98,43.58,44.81,625463,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2012-12-31,SMD-0116,IOC,NSE:IOC-EQ,44.98,45.3,44.33,44.98,258462,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-01,SMD-0116,IOC,NSE:IOC-EQ,45.16,45.16,44.12,44.44,171896,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-02,SMD-0116,IOC,NSE:IOC-EQ,44.5,45.42,44.49,45.33,242049,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-03,SMD-0116,IOC,NSE:IOC-EQ,45.66,45.66,44.88,45.26,143289,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-04,SMD-0116,IOC,NSE:IOC-EQ,45.35,48.13,45.26,46.86,1251315,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-07,SMD-0116,IOC,NSE:IOC-EQ,45.38,48.31,45.38,46.88,1360181,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-08,SMD-0116,IOC,NSE:IOC-EQ,47.51,47.72,46.48,46.89,409013,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-09,SMD-0116,IOC,NSE:IOC-EQ,47.6,49.08,46.77,47.73,1004723,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-10,SMD-0116,IOC,NSE:IOC-EQ,48.33,49.65,47.13,47.69,1467455,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-11,SMD-0116,IOC,NSE:IOC-EQ,47.85,48.03,46.97,47.46,223112,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-14,SMD-0116,IOC,NSE:IOC-EQ,47.07,48.18,46.83,48.02,398586,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-15,SMD-0116,IOC,NSE:IOC-EQ,48.18,49.9,47.64,49.59,1116510,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-16,SMD-0116,IOC,NSE:IOC-EQ,50.33,50.98,49.17,49.49,465705,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-17,SMD-0116,IOC,NSE:IOC-EQ,49.68,53.7,49.13,52.65,3954140,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-18,SMD-0116,IOC,NSE:IOC-EQ,53.33,62.33,53.2,58.22,7369998,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-21,SMD-0116,IOC,NSE:IOC-EQ,58.33,59.58,56.42,57.43,2824890,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-22,SMD-0116,IOC,NSE:IOC-EQ,57.33,58.07,54.92,55.57,1452963,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-23,SMD-0116,IOC,NSE:IOC-EQ,55.17,55.92,53.39,54.33,1262814,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-24,SMD-0116,IOC,NSE:IOC-EQ,54.48,55.06,52.1,52.31,869480,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-25,SMD-0116,IOC,NSE:IOC-EQ,52.33,54.15,52.08,53.93,974705,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-28,SMD-0116,IOC,NSE:IOC-EQ,53.92,54.38,52.53,53.1,716082,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-29,SMD-0116,IOC,NSE:IOC-EQ,53.1,53.9,51.53,51.74,958817,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-30,SMD-0116,IOC,NSE:IOC-EQ,52.64,53.16,51.68,52.28,1157009,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-01-31,SMD-0116,IOC,NSE:IOC-EQ,52.82,55.0,52.03,54.55,1775489,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-01,SMD-0116,IOC,NSE:IOC-EQ,54.83,56.48,54.27,56.14,1236212,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-04,SMD-0116,IOC,NSE:IOC-EQ,56.14,56.91,54.45,54.77,658025,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-05,SMD-0116,IOC,NSE:IOC-EQ,54.77,55.65,54.14,55.41,598716,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-06,SMD-0116,IOC,NSE:IOC-EQ,55.4,55.91,55.08,55.47,883304,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-07,SMD-0116,IOC,NSE:IOC-EQ,55.93,55.93,53.67,54.37,982586,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-08,SMD-0116,IOC,NSE:IOC-EQ,54.28,54.56,52.23,52.53,699878,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-11,SMD-0116,IOC,NSE:IOC-EQ,52.48,52.96,51.83,52.07,646364,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-12,SMD-0116,IOC,NSE:IOC-EQ,52.17,53.17,52.16,52.84,633312,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-13,SMD-0116,IOC,NSE:IOC-EQ,52.84,53.97,52.84,53.37,750197,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-14,SMD-0116,IOC,NSE:IOC-EQ,54.32,56.63,52.25,52.76,1111218,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-15,SMD-0116,IOC,NSE:IOC-EQ,53.01,53.46,51.35,52.47,1007702,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-18,SMD-0116,IOC,NSE:IOC-EQ,53.94,54.08,51.9,52.09,502172,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-19,SMD-0116,IOC,NSE:IOC-EQ,52.43,52.58,51.62,52.41,310922,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-20,SMD-0116,IOC,NSE:IOC-EQ,52.91,53.48,52.28,52.98,573156,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-21,SMD-0116,IOC,NSE:IOC-EQ,52.98,53.38,52.21,52.37,631500,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-22,SMD-0116,IOC,NSE:IOC-EQ,52.58,52.92,51.76,52.06,535800,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-25,SMD-0116,IOC,NSE:IOC-EQ,52.06,52.28,50.83,51.1,306690,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-26,SMD-0116,IOC,NSE:IOC-EQ,50.99,51.41,48.8,48.99,514952,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-27,SMD-0116,IOC,NSE:IOC-EQ,49.12,52.17,48.85,51.07,873924,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-02-28,SMD-0116,IOC,NSE:IOC-EQ,51.17,52.42,48.1,48.78,1193549,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-01,SMD-0116,IOC,NSE:IOC-EQ,48.83,50.4,48.5,49.81,434099,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-04,SMD-0116,IOC,NSE:IOC-EQ,50.65,50.83,49.88,50.63,503016,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-05,SMD-0116,IOC,NSE:IOC-EQ,50.67,51.5,49.68,51.35,484490,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-06,SMD-0116,IOC,NSE:IOC-EQ,51.49,51.65,50.89,51.18,228632,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-07,SMD-0116,IOC,NSE:IOC-EQ,51.67,52.5,50.69,51.2,214509,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-08,SMD-0116,IOC,NSE:IOC-EQ,51.43,52.45,51.23,51.99,435531,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-11,SMD-0116,IOC,NSE:IOC-EQ,51.83,52.79,51.68,52.3,274532,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-12,SMD-0116,IOC,NSE:IOC-EQ,52.37,52.5,51.11,51.75,247194,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-13,SMD-0116,IOC,NSE:IOC-EQ,52.0,52.08,51.05,51.45,311361,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-14,SMD-0116,IOC,NSE:IOC-EQ,51.42,52.23,50.87,51.63,428984,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-15,SMD-0116,IOC,NSE:IOC-EQ,51.7,53.34,51.7,52.93,1092290,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-18,SMD-0116,IOC,NSE:IOC-EQ,52.38,52.93,51.05,51.78,366560,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-19,SMD-0116,IOC,NSE:IOC-EQ,51.71,52.2,50.44,50.87,417404,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-20,SMD-0116,IOC,NSE:IOC-EQ,50.87,51.48,49.5,50.0,743826,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-21,SMD-0116,IOC,NSE:IOC-EQ,49.69,51.15,49.54,49.87,390077,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-22,SMD-0116,IOC,NSE:IOC-EQ,49.36,49.82,47.53,48.34,421137,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-25,SMD-0116,IOC,NSE:IOC-EQ,50.17,50.49,46.21,46.58,789612,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-26,SMD-0116,IOC,NSE:IOC-EQ,47.33,47.33,45.3,45.55,180257,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-03-28,SMD-0116,IOC,NSE:IOC-EQ,45.56,47.32,44.99,46.93,349083,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-01,SMD-0116,IOC,NSE:IOC-EQ,46.91,47.21,46.49,46.9,210317,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-02,SMD-0116,IOC,NSE:IOC-EQ,46.49,47.81,46.35,47.46,218045,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-03,SMD-0116,IOC,NSE:IOC-EQ,47.0,48.83,47.0,48.3,549338,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-04,SMD-0116,IOC,NSE:IOC-EQ,48.37,48.69,46.71,47.14,272885,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-05,SMD-0116,IOC,NSE:IOC-EQ,47.33,48.42,47.13,48.07,500901,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-08,SMD-0116,IOC,NSE:IOC-EQ,48.42,48.67,47.9,48.38,241553,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-09,SMD-0116,IOC,NSE:IOC-EQ,47.89,49.04,47.57,47.83,266988,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-10,SMD-0116,IOC,NSE:IOC-EQ,47.5,48.29,47.5,47.93,214541,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-11,SMD-0116,IOC,NSE:IOC-EQ,48.01,48.44,47.81,48.13,158256,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-12,SMD-0116,IOC,NSE:IOC-EQ,47.67,48.75,47.64,48.45,229473,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-15,SMD-0116,IOC,NSE:IOC-EQ,49.12,50.79,48.88,50.28,663932,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-16,SMD-0116,IOC,NSE:IOC-EQ,50.67,51.48,50.1,50.51,558188,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-17,SMD-0116,IOC,NSE:IOC-EQ,50.5,51.12,49.49,50.23,372260,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-18,SMD-0116,IOC,NSE:IOC-EQ,50.51,51.28,50.34,50.5,321008,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-22,SMD-0116,IOC,NSE:IOC-EQ,50.0,51.33,50.0,50.63,183575,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-23,SMD-0116,IOC,NSE:IOC-EQ,50.78,51.5,50.0,51.23,259482,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-25,SMD-0116,IOC,NSE:IOC-EQ,50.83,51.3,50.48,50.63,314781,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-26,SMD-0116,IOC,NSE:IOC-EQ,50.63,50.94,50.0,50.18,181154,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-29,SMD-0116,IOC,NSE:IOC-EQ,49.88,50.7,49.88,50.32,205065,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-04-30,SMD-0116,IOC,NSE:IOC-EQ,50.03,50.65,48.58,49.9,499377,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-02,SMD-0116,IOC,NSE:IOC-EQ,50.33,51.0,49.93,50.48,359946,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-03,SMD-0116,IOC,NSE:IOC-EQ,50.17,50.28,48.58,48.73,258306,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-06,SMD-0116,IOC,NSE:IOC-EQ,48.88,49.35,48.33,49.09,166854,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-07,SMD-0116,IOC,NSE:IOC-EQ,48.95,49.46,48.59,48.99,215244,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-08,SMD-0116,IOC,NSE:IOC-EQ,48.99,49.14,48.11,48.63,356613,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-09,SMD-0116,IOC,NSE:IOC-EQ,48.45,49.27,48.19,49.1,351594,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-10,SMD-0116,IOC,NSE:IOC-EQ,49.5,51.17,49.29,50.93,832818,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-11,SMD-0116,IOC,NSE:IOC-EQ,51.57,52.0,51.0,51.28,137861,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-13,SMD-0116,IOC,NSE:IOC-EQ,51.18,51.64,49.83,49.96,253607,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-14,SMD-0116,IOC,NSE:IOC-EQ,50.17,51.09,50.04,50.55,319677,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-15,SMD-0116,IOC,NSE:IOC-EQ,50.63,51.83,50.54,51.69,670085,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-16,SMD-0116,IOC,NSE:IOC-EQ,51.01,53.43,51.01,51.91,624515,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-17,SMD-0116,IOC,NSE:IOC-EQ,51.52,52.32,51.43,51.89,224951,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-20,SMD-0116,IOC,NSE:IOC-EQ,51.33,52.0,50.43,50.53,307202,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-21,SMD-0116,IOC,NSE:IOC-EQ,50.33,51.17,50.17,50.8,191858,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-22,SMD-0116,IOC,NSE:IOC-EQ,50.83,50.97,48.35,48.84,948098,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-23,SMD-0116,IOC,NSE:IOC-EQ,48.18,49.33,47.63,47.77,631049,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-24,SMD-0116,IOC,NSE:IOC-EQ,47.5,48.61,47.5,48.21,312873,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-27,SMD-0116,IOC,NSE:IOC-EQ,48.45,48.92,47.83,48.18,151599,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-28,SMD-0116,IOC,NSE:IOC-EQ,47.87,48.98,47.87,48.89,141192,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-29,SMD-0116,IOC,NSE:IOC-EQ,48.87,49.09,48.42,48.67,247829,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-30,SMD-0116,IOC,NSE:IOC-EQ,48.92,49.98,48.67,49.08,662270,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-05-31,SMD-0116,IOC,NSE:IOC-EQ,49.66,49.77,47.5,47.64,609933,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-03,SMD-0116,IOC,NSE:IOC-EQ,48.02,48.45,47.26,47.39,282410,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-04,SMD-0116,IOC,NSE:IOC-EQ,47.28,47.83,47.18,47.29,166712,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-05,SMD-0116,IOC,NSE:IOC-EQ,47.49,47.66,46.92,47.0,207819,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-06,SMD-0116,IOC,NSE:IOC-EQ,46.51,46.99,46.01,46.09,632340,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-07,SMD-0116,IOC,NSE:IOC-EQ,45.83,46.15,44.75,45.01,454118,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-10,SMD-0116,IOC,NSE:IOC-EQ,44.87,45.0,44.21,44.41,301217,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-11,SMD-0116,IOC,NSE:IOC-EQ,44.33,44.33,42.77,43.41,382959,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-12,SMD-0116,IOC,NSE:IOC-EQ,43.5,44.06,43.17,43.36,231557,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-13,SMD-0116,IOC,NSE:IOC-EQ,43.33,43.48,41.33,41.78,322823,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-14,SMD-0116,IOC,NSE:IOC-EQ,41.84,42.62,41.8,41.98,385458,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-17,SMD-0116,IOC,NSE:IOC-EQ,42.5,42.5,41.67,42.17,488393,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-18,SMD-0116,IOC,NSE:IOC-EQ,41.93,42.23,41.25,41.38,336533,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-19,SMD-0116,IOC,NSE:IOC-EQ,41.17,41.18,40.0,40.11,596039,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-20,SMD-0116,IOC,NSE:IOC-EQ,39.7,40.55,38.84,40.11,819762,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-21,SMD-0116,IOC,NSE:IOC-EQ,40.15,40.53,38.87,39.15,617781,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-24,SMD-0116,IOC,NSE:IOC-EQ,39.17,39.48,36.42,36.51,705179,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-25,SMD-0116,IOC,NSE:IOC-EQ,36.47,37.75,36.47,37.1,368090,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-26,SMD-0116,IOC,NSE:IOC-EQ,37.21,37.62,36.69,36.97,130739,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-27,SMD-0116,IOC,NSE:IOC-EQ,36.89,37.63,36.67,37.24,291444,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-06-28,SMD-0116,IOC,NSE:IOC-EQ,37.61,39.32,37.61,39.13,337781,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-01,SMD-0116,IOC,NSE:IOC-EQ,39.63,39.63,38.67,39.43,233073,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-02,SMD-0116,IOC,NSE:IOC-EQ,39.83,40.25,39.19,39.43,295541,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-03,SMD-0116,IOC,NSE:IOC-EQ,38.5,38.8,37.35,37.62,274752,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-04,SMD-0116,IOC,NSE:IOC-EQ,37.5,37.93,37.09,37.4,235433,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-05,SMD-0116,IOC,NSE:IOC-EQ,37.58,37.95,37.42,37.54,110255,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-08,SMD-0116,IOC,NSE:IOC-EQ,37.29,37.29,36.08,36.17,534576,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-09,SMD-0116,IOC,NSE:IOC-EQ,36.67,36.75,36.17,36.58,356100,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-10,SMD-0116,IOC,NSE:IOC-EQ,36.83,36.83,36.42,36.53,215406,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-11,SMD-0116,IOC,NSE:IOC-EQ,36.6,37.25,36.6,37.04,157035,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-12,SMD-0116,IOC,NSE:IOC-EQ,37.0,37.45,37.0,37.28,133911,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-15,SMD-0116,IOC,NSE:IOC-EQ,37.5,38.15,37.37,37.89,283863,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-16,SMD-0116,IOC,NSE:IOC-EQ,37.58,38.57,37.49,38.24,223148,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-17,SMD-0116,IOC,NSE:IOC-EQ,37.91,38.43,37.33,37.53,385598,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-18,SMD-0116,IOC,NSE:IOC-EQ,37.5,38.28,37.42,38.13,131075,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-19,SMD-0116,IOC,NSE:IOC-EQ,38.0,38.33,37.0,37.56,169631,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-22,SMD-0116,IOC,NSE:IOC-EQ,37.56,37.67,37.02,37.46,113486,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-23,SMD-0116,IOC,NSE:IOC-EQ,37.73,38.08,37.38,37.62,329090,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-24,SMD-0116,IOC,NSE:IOC-EQ,38.0,38.0,37.05,37.2,253493,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-25,SMD-0116,IOC,NSE:IOC-EQ,36.72,37.17,36.33,36.71,1449431,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-26,SMD-0116,IOC,NSE:IOC-EQ,36.67,37.42,36.67,37.23,109425,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-29,SMD-0116,IOC,NSE:IOC-EQ,37.5,37.58,35.33,35.5,150791,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-30,SMD-0116,IOC,NSE:IOC-EQ,35.49,35.49,32.34,32.58,507533,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-07-31,SMD-0116,IOC,NSE:IOC-EQ,32.17,34.67,31.0,34.15,912945,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-08-01,SMD-0116,IOC,NSE:IOC-EQ,35.0,35.0,31.69,32.59,502479,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-08-02,SMD-0116,IOC,NSE:IOC-EQ,31.8,32.57,31.25,32.18,599034,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-08-05,SMD-0116,IOC,NSE:IOC-EQ,31.96,32.66,31.33,32.39,249941,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-08-06,SMD-0116,IOC,NSE:IOC-EQ,31.76,33.06,31.67,32.15,476340,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-08-07,SMD-0116,IOC,NSE:IOC-EQ,32.0,32.89,31.88,32.58,260145,FYERS_HISTORY,2026-08-08T23:21:20+05:30
2013-08-08,SMD-0116,IOC,NSE:IOC-EQ,32.6,32.75,32.04,32.58,118538,FYERS_HISTORY,2026-08-08T23:21:20+05:30
