trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0116,IOC,NSE:IOC-EQ,83.93,85.07,83.37,84.87,7876562,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2019-12-30,SMD-0116,IOC,NSE:IOC-EQ,84.87,85.07,84.1,84.4,5469746,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2019-12-31,SMD-0116,IOC,NSE:IOC-EQ,84.37,85.0,83.33,83.7,7574391,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-01,SMD-0116,IOC,NSE:IOC-EQ,83.97,84.5,83.83,83.97,3191238,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-02,SMD-0116,IOC,NSE:IOC-EQ,84.13,84.8,84.0,84.67,3838770,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-03,SMD-0116,IOC,NSE:IOC-EQ,84.33,85.0,84.1,84.57,13278158,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-06,SMD-0116,IOC,NSE:IOC-EQ,84.33,84.33,83.0,83.27,18947249,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-07,SMD-0116,IOC,NSE:IOC-EQ,83.53,84.97,82.73,83.03,12677540,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-08,SMD-0116,IOC,NSE:IOC-EQ,82.03,82.6,81.0,81.23,13328639,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-09,SMD-0116,IOC,NSE:IOC-EQ,83.27,83.67,81.9,83.0,13828253,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-10,SMD-0116,IOC,NSE:IOC-EQ,83.33,83.83,82.7,83.63,12566015,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-13,SMD-0116,IOC,NSE:IOC-EQ,83.93,85.07,83.53,84.63,8621076,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-14,SMD-0116,IOC,NSE:IOC-EQ,85.07,85.47,84.43,84.6,6732203,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-15,SMD-0116,IOC,NSE:IOC-EQ,84.63,84.67,83.33,83.8,7152738,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-16,SMD-0116,IOC,NSE:IOC-EQ,84.03,84.33,82.67,82.77,10577693,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-17,SMD-0116,IOC,NSE:IOC-EQ,82.77,82.83,81.53,81.77,11573763,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-20,SMD-0116,IOC,NSE:IOC-EQ,78.63,79.8,75.8,78.33,67893711,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-21,SMD-0116,IOC,NSE:IOC-EQ,78.67,78.97,76.17,76.53,69767703,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-22,SMD-0116,IOC,NSE:IOC-EQ,77.77,77.93,74.63,75.77,107592836,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-23,SMD-0116,IOC,NSE:IOC-EQ,76.73,80.6,76.7,78.9,314893703,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-24,SMD-0116,IOC,NSE:IOC-EQ,81.0,81.1,79.4,79.77,39238493,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-27,SMD-0116,IOC,NSE:IOC-EQ,79.5,80.13,78.0,78.3,20398283,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-28,SMD-0116,IOC,NSE:IOC-EQ,78.77,79.73,77.57,78.6,31914822,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-29,SMD-0116,IOC,NSE:IOC-EQ,79.2,79.97,78.53,78.87,32001971,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-30,SMD-0116,IOC,NSE:IOC-EQ,79.93,79.97,77.47,78.1,42007013,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-01-31,SMD-0116,IOC,NSE:IOC-EQ,79.03,79.03,75.07,75.63,55113962,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-01,SMD-0116,IOC,NSE:IOC-EQ,75.57,76.47,72.1,72.6,28933631,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-03,SMD-0116,IOC,NSE:IOC-EQ,73.37,74.93,71.7,72.03,37608320,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-04,SMD-0116,IOC,NSE:IOC-EQ,73.33,76.13,73.0,75.87,31528422,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-05,SMD-0116,IOC,NSE:IOC-EQ,76.57,77.23,75.93,76.47,23615975,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-06,SMD-0116,IOC,NSE:IOC-EQ,77.0,78.33,76.93,78.03,19620446,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-07,SMD-0116,IOC,NSE:IOC-EQ,77.8,78.5,76.67,78.33,16255412,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-10,SMD-0116,IOC,NSE:IOC-EQ,78.27,78.9,76.83,77.2,20656925,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-11,SMD-0116,IOC,NSE:IOC-EQ,77.33,78.27,77.13,77.37,15500903,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-12,SMD-0116,IOC,NSE:IOC-EQ,77.37,77.97,76.43,76.73,17915651,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-13,SMD-0116,IOC,NSE:IOC-EQ,76.63,77.17,76.17,76.5,13542210,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-14,SMD-0116,IOC,NSE:IOC-EQ,76.47,77.13,75.8,76.73,17713124,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-17,SMD-0116,IOC,NSE:IOC-EQ,76.67,76.87,74.17,74.53,14507612,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-18,SMD-0116,IOC,NSE:IOC-EQ,74.6,76.73,73.63,75.1,21775992,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-19,SMD-0116,IOC,NSE:IOC-EQ,75.87,76.33,75.1,76.13,12031689,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-20,SMD-0116,IOC,NSE:IOC-EQ,75.7,76.3,74.67,74.87,16438316,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-24,SMD-0116,IOC,NSE:IOC-EQ,75.2,75.4,73.43,73.7,11890494,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-25,SMD-0116,IOC,NSE:IOC-EQ,74.6,75.3,73.4,73.63,16818485,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-26,SMD-0116,IOC,NSE:IOC-EQ,73.47,74.2,72.0,72.23,17215349,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-27,SMD-0116,IOC,NSE:IOC-EQ,72.23,72.23,70.0,70.43,26486948,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-02-28,SMD-0116,IOC,NSE:IOC-EQ,69.2,71.6,67.27,70.5,36326828,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-02,SMD-0116,IOC,NSE:IOC-EQ,72.3,75.27,68.73,69.3,21871314,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-03,SMD-0116,IOC,NSE:IOC-EQ,70.33,71.87,69.53,71.1,19908893,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-04,SMD-0116,IOC,NSE:IOC-EQ,71.2,72.5,70.5,71.07,20416751,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-05,SMD-0116,IOC,NSE:IOC-EQ,71.7,72.27,69.63,69.87,15247763,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-06,SMD-0116,IOC,NSE:IOC-EQ,67.87,67.87,66.2,67.2,37025709,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-09,SMD-0116,IOC,NSE:IOC-EQ,68.2,70.17,65.33,66.27,49516784,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-11,SMD-0116,IOC,NSE:IOC-EQ,66.7,66.73,63.37,64.6,30382974,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-12,SMD-0116,IOC,NSE:IOC-EQ,62.0,62.43,58.17,58.6,42262167,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-13,SMD-0116,IOC,NSE:IOC-EQ,53.53,62.17,50.67,61.5,62384109,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-16,SMD-0116,IOC,NSE:IOC-EQ,60.27,61.73,58.43,59.8,44735400,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-17,SMD-0116,IOC,NSE:IOC-EQ,60.0,62.33,59.3,59.6,25864038,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-18,SMD-0116,IOC,NSE:IOC-EQ,60.17,60.9,57.63,58.4,27217130,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-19,SMD-0116,IOC,NSE:IOC-EQ,56.3,60.53,54.93,58.63,31804419,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-20,SMD-0116,IOC,NSE:IOC-EQ,59.33,61.97,58.73,60.4,30048192,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-23,SMD-0116,IOC,NSE:IOC-EQ,54.67,58.17,53.33,53.83,21036830,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-24,SMD-0116,IOC,NSE:IOC-EQ,55.27,56.0,51.77,53.13,23517189,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-25,SMD-0116,IOC,NSE:IOC-EQ,51.87,53.97,51.33,51.9,27132914,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-26,SMD-0116,IOC,NSE:IOC-EQ,52.0,52.33,49.77,52.0,27474758,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-27,SMD-0116,IOC,NSE:IOC-EQ,52.33,53.43,50.7,51.27,20164254,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-30,SMD-0116,IOC,NSE:IOC-EQ,50.0,52.2,49.63,51.2,17237094,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-03-31,SMD-0116,IOC,NSE:IOC-EQ,52.0,55.0,51.37,54.43,36417056,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-01,SMD-0116,IOC,NSE:IOC-EQ,54.43,54.8,52.0,52.63,15719303,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-03,SMD-0116,IOC,NSE:IOC-EQ,54.0,54.73,51.07,53.0,25509441,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-07,SMD-0116,IOC,NSE:IOC-EQ,54.67,55.8,53.33,55.33,24117636,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-08,SMD-0116,IOC,NSE:IOC-EQ,55.23,57.33,54.07,54.5,30650432,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-09,SMD-0116,IOC,NSE:IOC-EQ,55.13,56.13,54.57,55.6,20378487,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-13,SMD-0116,IOC,NSE:IOC-EQ,56.33,56.33,54.53,55.43,14519777,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-15,SMD-0116,IOC,NSE:IOC-EQ,56.0,57.53,55.2,55.47,20492952,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-16,SMD-0116,IOC,NSE:IOC-EQ,55.5,57.2,55.03,56.47,17989607,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-17,SMD-0116,IOC,NSE:IOC-EQ,57.37,57.87,56.67,57.33,13740161,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-20,SMD-0116,IOC,NSE:IOC-EQ,58.5,59.67,57.17,58.37,26532014,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-21,SMD-0116,IOC,NSE:IOC-EQ,57.87,57.87,55.0,55.33,20457210,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-22,SMD-0116,IOC,NSE:IOC-EQ,55.3,55.83,52.77,55.33,22974600,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-23,SMD-0116,IOC,NSE:IOC-EQ,55.6,56.67,55.2,55.4,13770837,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-24,SMD-0116,IOC,NSE:IOC-EQ,54.83,56.27,54.07,54.33,15625793,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-27,SMD-0116,IOC,NSE:IOC-EQ,54.93,55.37,54.2,54.33,9480836,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-28,SMD-0116,IOC,NSE:IOC-EQ,54.73,55.0,52.87,53.1,27726240,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-29,SMD-0116,IOC,NSE:IOC-EQ,53.33,54.1,53.2,53.67,18325013,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-04-30,SMD-0116,IOC,NSE:IOC-EQ,54.37,56.33,54.2,56.13,31790790,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-04,SMD-0116,IOC,NSE:IOC-EQ,55.1,55.13,53.0,53.17,18416238,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-05,SMD-0116,IOC,NSE:IOC-EQ,54.0,54.67,52.27,52.47,20328227,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-06,SMD-0116,IOC,NSE:IOC-EQ,51.2,51.53,48.53,51.03,39447590,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-07,SMD-0116,IOC,NSE:IOC-EQ,51.23,51.33,50.4,50.5,20138877,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-08,SMD-0116,IOC,NSE:IOC-EQ,50.73,51.33,49.37,49.57,21801980,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-11,SMD-0116,IOC,NSE:IOC-EQ,50.37,50.87,49.87,50.23,19354950,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-12,SMD-0116,IOC,NSE:IOC-EQ,50.57,51.13,49.73,49.93,24454287,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-13,SMD-0116,IOC,NSE:IOC-EQ,51.93,51.93,50.5,50.67,27361053,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-14,SMD-0116,IOC,NSE:IOC-EQ,50.67,50.97,50.0,50.1,13589103,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-15,SMD-0116,IOC,NSE:IOC-EQ,50.5,50.93,50.13,50.33,23727129,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-18,SMD-0116,IOC,NSE:IOC-EQ,50.37,50.53,47.43,47.7,26547737,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-19,SMD-0116,IOC,NSE:IOC-EQ,48.57,48.93,47.87,48.03,18603873,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-20,SMD-0116,IOC,NSE:IOC-EQ,48.23,49.67,47.93,49.4,19388337,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-21,SMD-0116,IOC,NSE:IOC-EQ,49.4,49.97,48.67,49.63,15361149,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-22,SMD-0116,IOC,NSE:IOC-EQ,49.17,50.6,48.53,50.33,21714806,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-26,SMD-0116,IOC,NSE:IOC-EQ,51.07,51.9,50.77,51.43,23229219,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-27,SMD-0116,IOC,NSE:IOC-EQ,51.47,51.97,50.67,51.7,21473004,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-28,SMD-0116,IOC,NSE:IOC-EQ,51.6,52.53,51.47,51.8,14967008,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-05-29,SMD-0116,IOC,NSE:IOC-EQ,51.8,56.47,51.47,55.47,51859476,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-01,SMD-0116,IOC,NSE:IOC-EQ,56.87,58.17,56.33,57.43,44694098,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-02,SMD-0116,IOC,NSE:IOC-EQ,57.73,57.9,56.5,57.2,26984144,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-03,SMD-0116,IOC,NSE:IOC-EQ,57.53,59.27,57.4,58.0,29209413,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-04,SMD-0116,IOC,NSE:IOC-EQ,57.37,57.77,56.07,57.27,43910387,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-05,SMD-0116,IOC,NSE:IOC-EQ,57.73,60.03,57.47,59.6,36193016,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-08,SMD-0116,IOC,NSE:IOC-EQ,61.93,64.27,61.4,62.07,59083653,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-09,SMD-0116,IOC,NSE:IOC-EQ,62.23,62.4,60.07,60.43,25171883,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-10,SMD-0116,IOC,NSE:IOC-EQ,60.4,61.3,59.4,59.97,20502198,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-11,SMD-0116,IOC,NSE:IOC-EQ,60.07,62.23,58.6,58.9,44550222,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-12,SMD-0116,IOC,NSE:IOC-EQ,56.67,59.03,56.67,58.87,32426364,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-15,SMD-0116,IOC,NSE:IOC-EQ,58.77,58.8,57.27,57.47,52652222,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-16,SMD-0116,IOC,NSE:IOC-EQ,58.23,58.83,55.9,56.57,27931008,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-17,SMD-0116,IOC,NSE:IOC-EQ,56.33,57.23,55.9,56.23,18840276,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-18,SMD-0116,IOC,NSE:IOC-EQ,56.2,57.0,55.83,56.57,22264542,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-19,SMD-0116,IOC,NSE:IOC-EQ,57.33,57.4,56.47,56.87,32306930,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-22,SMD-0116,IOC,NSE:IOC-EQ,57.23,58.87,57.0,58.7,33908048,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-23,SMD-0116,IOC,NSE:IOC-EQ,59.2,60.33,58.77,59.57,47695655,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-24,SMD-0116,IOC,NSE:IOC-EQ,60.33,60.33,57.37,58.07,44472039,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-25,SMD-0116,IOC,NSE:IOC-EQ,56.8,58.73,56.47,56.7,38601224,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-26,SMD-0116,IOC,NSE:IOC-EQ,57.27,59.97,57.17,59.43,69744483,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-29,SMD-0116,IOC,NSE:IOC-EQ,59.67,60.47,57.67,58.07,32177153,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-06-30,SMD-0116,IOC,NSE:IOC-EQ,58.87,58.97,56.5,56.9,24517061,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-07-01,SMD-0116,IOC,NSE:IOC-EQ,57.1,57.43,56.2,57.1,21497019,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-07-02,SMD-0116,IOC,NSE:IOC-EQ,57.67,59.27,57.3,58.9,34968984,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-07-03,SMD-0116,IOC,NSE:IOC-EQ,58.93,59.4,58.13,58.57,14984685,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-07-06,SMD-0116,IOC,NSE:IOC-EQ,58.7,59.57,58.0,58.63,20284442,FYERS_HISTORY,2026-08-08T23:21:23+05:30
2020-07-07,SMD-0116,IOC,NSE:IOC-EQ,58.67,58.7,57.27,57.43,19186286,FYERS_HISTORY,2026-08-08T23:21:23+05:30
