trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0120,IRFC,NSE:IRFC-EQ,28.25,30.8,27.85,30.35,136601051,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2022-12-27,SMD-0120,IRFC,NSE:IRFC-EQ,31.3,32.4,31.05,32.1,89075438,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2022-12-28,SMD-0120,IRFC,NSE:IRFC-EQ,32.15,33.2,31.55,32.5,104597559,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2022-12-29,SMD-0120,IRFC,NSE:IRFC-EQ,32.0,33.2,31.7,32.7,87697856,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2022-12-30,SMD-0120,IRFC,NSE:IRFC-EQ,33.1,33.25,32.35,32.55,42178363,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-02,SMD-0120,IRFC,NSE:IRFC-EQ,32.7,33.35,32.5,32.9,40172355,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-03,SMD-0120,IRFC,NSE:IRFC-EQ,33.0,34.15,32.9,33.85,84881999,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-04,SMD-0120,IRFC,NSE:IRFC-EQ,34.05,34.6,33.0,33.25,75920751,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-05,SMD-0120,IRFC,NSE:IRFC-EQ,33.45,33.65,32.2,32.75,45698294,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-06,SMD-0120,IRFC,NSE:IRFC-EQ,32.95,33.1,32.35,32.7,27818130,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-09,SMD-0120,IRFC,NSE:IRFC-EQ,33.05,33.35,32.55,32.7,28648565,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-10,SMD-0120,IRFC,NSE:IRFC-EQ,32.85,32.9,32.05,32.15,22376324,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-11,SMD-0120,IRFC,NSE:IRFC-EQ,32.2,32.6,31.7,32.15,25187049,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-12,SMD-0120,IRFC,NSE:IRFC-EQ,32.3,32.9,32.0,32.75,41148274,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-13,SMD-0120,IRFC,NSE:IRFC-EQ,32.8,34.25,32.7,33.95,75271636,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-16,SMD-0120,IRFC,NSE:IRFC-EQ,34.0,34.0,33.0,33.15,43209016,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-17,SMD-0120,IRFC,NSE:IRFC-EQ,33.05,33.15,32.45,32.7,23809717,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-18,SMD-0120,IRFC,NSE:IRFC-EQ,32.9,33.4,32.8,33.05,26275227,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-19,SMD-0120,IRFC,NSE:IRFC-EQ,32.8,33.6,32.45,33.15,43947894,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-20,SMD-0120,IRFC,NSE:IRFC-EQ,33.15,34.15,32.95,33.1,37966558,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-23,SMD-0120,IRFC,NSE:IRFC-EQ,33.4,33.65,32.65,32.85,47560769,FYERS_HISTORY,2026-08-08T23:22:03+05:30
2023-01-24,SMD-0120,IRFC,NSE:IRFC-EQ,32.9,33.35,32.4,32.6,34050557,FYERS_HISTORY,2026-08-08T23:22:03+05:30
