trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0120,IRFC,NSE:IRFC-EQ,98.5,99.3,96.55,97.4,77725407,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2023-12-27,SMD-0120,IRFC,NSE:IRFC-EQ,98.0,98.9,96.2,96.7,48428319,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2023-12-28,SMD-0120,IRFC,NSE:IRFC-EQ,97.25,98.6,96.05,96.45,59468778,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2023-12-29,SMD-0120,IRFC,NSE:IRFC-EQ,96.7,100.5,96.5,99.35,153201085,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-01,SMD-0120,IRFC,NSE:IRFC-EQ,100.0,102.4,99.4,100.4,102849848,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-02,SMD-0120,IRFC,NSE:IRFC-EQ,101.0,101.65,97.8,100.0,70051082,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-03,SMD-0120,IRFC,NSE:IRFC-EQ,100.2,101.95,99.0,100.9,96843171,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-04,SMD-0120,IRFC,NSE:IRFC-EQ,101.7,103.6,100.9,101.3,66810041,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-05,SMD-0120,IRFC,NSE:IRFC-EQ,101.95,102.45,99.9,100.75,43542157,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-08,SMD-0120,IRFC,NSE:IRFC-EQ,101.35,101.7,99.6,99.95,38895310,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-09,SMD-0120,IRFC,NSE:IRFC-EQ,100.9,102.2,99.9,100.1,44804938,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-10,SMD-0120,IRFC,NSE:IRFC-EQ,100.45,103.5,99.55,103.05,110316122,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-11,SMD-0120,IRFC,NSE:IRFC-EQ,104.7,109.3,104.25,106.85,191294222,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-12,SMD-0120,IRFC,NSE:IRFC-EQ,109.0,114.0,108.85,113.4,199380642,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-15,SMD-0120,IRFC,NSE:IRFC-EQ,116.7,134.75,116.7,130.1,448451444,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-16,SMD-0120,IRFC,NSE:IRFC-EQ,138.6,146.8,136.15,141.85,492705331,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-17,SMD-0120,IRFC,NSE:IRFC-EQ,138.0,150.7,133.05,149.1,336463589,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-18,SMD-0120,IRFC,NSE:IRFC-EQ,153.0,155.0,136.3,146.25,272134347,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-19,SMD-0120,IRFC,NSE:IRFC-EQ,149.5,160.85,149.2,160.25,266085180,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-20,SMD-0120,IRFC,NSE:IRFC-EQ,167.0,176.25,166.05,176.25,97872275,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-23,SMD-0120,IRFC,NSE:IRFC-EQ,185.8,192.8,158.75,161.3,269108130,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-24,SMD-0120,IRFC,NSE:IRFC-EQ,165.0,173.3,151.0,171.9,198113352,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-25,SMD-0120,IRFC,NSE:IRFC-EQ,174.75,178.3,171.5,173.85,100074798,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-29,SMD-0120,IRFC,NSE:IRFC-EQ,177.3,178.3,169.3,170.85,74341987,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-30,SMD-0120,IRFC,NSE:IRFC-EQ,171.4,172.15,164.15,166.65,69398771,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-01-31,SMD-0120,IRFC,NSE:IRFC-EQ,167.85,176.8,166.0,175.15,84194726,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-01,SMD-0120,IRFC,NSE:IRFC-EQ,180.0,183.25,168.2,169.9,165894732,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-02,SMD-0120,IRFC,NSE:IRFC-EQ,172.7,175.0,167.1,168.95,61739734,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-05,SMD-0120,IRFC,NSE:IRFC-EQ,170.15,170.2,160.0,160.55,68987316,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-06,SMD-0120,IRFC,NSE:IRFC-EQ,161.4,164.2,152.1,160.9,81434112,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-07,SMD-0120,IRFC,NSE:IRFC-EQ,164.5,165.9,159.65,162.5,36816341,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-08,SMD-0120,IRFC,NSE:IRFC-EQ,164.4,164.4,160.7,161.95,34218693,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-09,SMD-0120,IRFC,NSE:IRFC-EQ,162.0,162.0,149.15,153.7,64801528,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-12,SMD-0120,IRFC,NSE:IRFC-EQ,150.65,151.05,130.2,132.95,128716009,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-13,SMD-0120,IRFC,NSE:IRFC-EQ,132.0,156.3,127.65,153.45,240631230,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-14,SMD-0120,IRFC,NSE:IRFC-EQ,153.4,157.4,145.5,154.3,152849830,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-15,SMD-0120,IRFC,NSE:IRFC-EQ,156.3,161.5,154.9,158.9,77035160,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-16,SMD-0120,IRFC,NSE:IRFC-EQ,159.75,161.4,155.0,155.45,41902227,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-19,SMD-0120,IRFC,NSE:IRFC-EQ,156.0,164.35,154.35,158.65,87423359,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-20,SMD-0120,IRFC,NSE:IRFC-EQ,159.65,160.75,157.15,158.5,35987220,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-21,SMD-0120,IRFC,NSE:IRFC-EQ,158.85,160.4,153.4,154.2,35706625,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-22,SMD-0120,IRFC,NSE:IRFC-EQ,154.1,155.85,149.2,152.2,39315419,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-23,SMD-0120,IRFC,NSE:IRFC-EQ,153.7,156.4,152.7,153.2,34425812,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-26,SMD-0120,IRFC,NSE:IRFC-EQ,154.3,156.4,151.75,152.3,35557532,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-27,SMD-0120,IRFC,NSE:IRFC-EQ,152.9,156.65,151.0,151.6,43995103,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-28,SMD-0120,IRFC,NSE:IRFC-EQ,152.85,153.4,145.5,147.4,39947465,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-02-29,SMD-0120,IRFC,NSE:IRFC-EQ,146.0,150.25,140.8,146.75,63490121,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-01,SMD-0120,IRFC,NSE:IRFC-EQ,148.0,151.4,146.55,147.4,30685800,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-02,SMD-0120,IRFC,NSE:IRFC-EQ,148.1,149.4,147.95,148.7,4122095,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-04,SMD-0120,IRFC,NSE:IRFC-EQ,149.4,149.5,144.65,145.55,22040025,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-05,SMD-0120,IRFC,NSE:IRFC-EQ,144.9,148.4,143.8,145.05,23046386,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-06,SMD-0120,IRFC,NSE:IRFC-EQ,145.2,145.7,140.0,140.5,26188126,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-07,SMD-0120,IRFC,NSE:IRFC-EQ,141.35,144.4,139.65,143.7,24018294,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-11,SMD-0120,IRFC,NSE:IRFC-EQ,144.15,147.25,140.05,141.1,24321115,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-12,SMD-0120,IRFC,NSE:IRFC-EQ,141.8,142.4,135.65,136.75,34760039,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-13,SMD-0120,IRFC,NSE:IRFC-EQ,136.75,138.8,123.0,124.25,88853047,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-14,SMD-0120,IRFC,NSE:IRFC-EQ,120.9,142.5,116.65,140.25,194522257,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-15,SMD-0120,IRFC,NSE:IRFC-EQ,140.7,145.85,133.5,136.95,122337843,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-18,SMD-0120,IRFC,NSE:IRFC-EQ,138.35,139.6,132.85,134.95,56717160,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-19,SMD-0120,IRFC,NSE:IRFC-EQ,134.5,137.4,133.1,135.2,46347136,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-20,SMD-0120,IRFC,NSE:IRFC-EQ,136.2,138.2,132.85,133.2,39345072,FYERS_HISTORY,2026-08-08T23:22:04+05:30
2024-03-21,SMD-0120,IRFC,NSE:IRFC-EQ,137.0,137.65,134.8,135.25,35779582,FYERS_HISTORY,2026-08-08T23:22:04+05:30
