trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-12-27,SMD-0121,ITC,NSE:ITC-EQ,279.0,281.65,277.3,280.75,11441104,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2018-12-28,SMD-0121,ITC,NSE:ITC-EQ,279.15,284.0,279.15,282.25,13194286,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2018-12-31,SMD-0121,ITC,NSE:ITC-EQ,282.8,283.85,281.1,281.65,5452405,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-01,SMD-0121,ITC,NSE:ITC-EQ,282.2,283.55,279.8,282.7,2490548,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-02,SMD-0121,ITC,NSE:ITC-EQ,282.25,283.25,277.55,280.6,9934187,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-03,SMD-0121,ITC,NSE:ITC-EQ,280.6,282.45,277.75,278.85,6114946,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-04,SMD-0121,ITC,NSE:ITC-EQ,279.15,282.95,279.15,280.95,7805148,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-07,SMD-0121,ITC,NSE:ITC-EQ,284.3,285.25,281.0,281.65,9757529,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-08,SMD-0121,ITC,NSE:ITC-EQ,282.0,285.5,281.35,284.25,7480522,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-09,SMD-0121,ITC,NSE:ITC-EQ,285.6,291.7,284.6,290.4,12182118,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-10,SMD-0121,ITC,NSE:ITC-EQ,290.75,293.7,288.9,289.6,10288580,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-11,SMD-0121,ITC,NSE:ITC-EQ,291.9,296.0,291.5,295.35,16773035,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-14,SMD-0121,ITC,NSE:ITC-EQ,294.5,294.8,290.0,294.3,6400147,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-15,SMD-0121,ITC,NSE:ITC-EQ,295.25,297.4,294.0,296.55,7213165,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-16,SMD-0121,ITC,NSE:ITC-EQ,296.0,296.55,291.7,294.05,7784035,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-17,SMD-0121,ITC,NSE:ITC-EQ,294.1,295.6,290.15,293.95,10601100,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-18,SMD-0121,ITC,NSE:ITC-EQ,293.25,295.1,290.65,291.45,10994807,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-21,SMD-0121,ITC,NSE:ITC-EQ,292.85,293.2,288.7,289.9,8203333,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-22,SMD-0121,ITC,NSE:ITC-EQ,289.85,291.0,285.15,289.75,10329563,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-23,SMD-0121,ITC,NSE:ITC-EQ,291.5,294.4,275.0,277.3,40188183,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-24,SMD-0121,ITC,NSE:ITC-EQ,279.3,283.35,277.85,278.9,28026449,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-25,SMD-0121,ITC,NSE:ITC-EQ,280.0,282.7,278.5,279.2,8897906,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-28,SMD-0121,ITC,NSE:ITC-EQ,278.9,279.45,274.2,274.75,8992136,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-29,SMD-0121,ITC,NSE:ITC-EQ,275.3,279.0,274.75,278.45,6998389,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-30,SMD-0121,ITC,NSE:ITC-EQ,280.1,280.2,274.2,275.5,10449713,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-01-31,SMD-0121,ITC,NSE:ITC-EQ,276.5,279.6,273.6,278.65,15346406,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-01,SMD-0121,ITC,NSE:ITC-EQ,280.65,285.2,279.1,280.85,18353829,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-04,SMD-0121,ITC,NSE:ITC-EQ,281.9,281.9,276.05,277.1,6056619,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-05,SMD-0121,ITC,NSE:ITC-EQ,277.35,277.8,272.5,274.15,9827060,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-06,SMD-0121,ITC,NSE:ITC-EQ,275.0,278.4,274.55,277.7,8097580,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-07,SMD-0121,ITC,NSE:ITC-EQ,277.9,281.0,277.0,280.3,5947966,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-08,SMD-0121,ITC,NSE:ITC-EQ,279.5,281.2,274.6,275.5,4405887,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-11,SMD-0121,ITC,NSE:ITC-EQ,275.8,278.2,268.45,277.1,9952322,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-12,SMD-0121,ITC,NSE:ITC-EQ,277.05,280.5,274.6,275.3,7341352,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-13,SMD-0121,ITC,NSE:ITC-EQ,280.05,283.9,275.2,276.85,15344186,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-14,SMD-0121,ITC,NSE:ITC-EQ,277.0,280.2,277.0,277.9,9993785,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-15,SMD-0121,ITC,NSE:ITC-EQ,279.0,280.95,275.4,280.1,37552143,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-18,SMD-0121,ITC,NSE:ITC-EQ,278.8,282.45,273.9,274.7,40666405,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-19,SMD-0121,ITC,NSE:ITC-EQ,274.0,279.2,274.0,275.9,34451117,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-20,SMD-0121,ITC,NSE:ITC-EQ,277.25,277.5,274.25,275.85,5977880,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-21,SMD-0121,ITC,NSE:ITC-EQ,275.9,276.75,274.2,275.05,6995026,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-22,SMD-0121,ITC,NSE:ITC-EQ,275.6,275.95,273.1,274.3,8763445,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-25,SMD-0121,ITC,NSE:ITC-EQ,274.5,277.15,273.0,276.7,30047503,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-26,SMD-0121,ITC,NSE:ITC-EQ,274.95,277.0,274.05,275.5,11779606,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-27,SMD-0121,ITC,NSE:ITC-EQ,276.0,278.9,273.9,275.1,13128412,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-02-28,SMD-0121,ITC,NSE:ITC-EQ,277.3,277.3,274.25,276.05,43208896,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-03-01,SMD-0121,ITC,NSE:ITC-EQ,276.45,279.0,276.25,278.2,8830848,FYERS_HISTORY,2026-08-08T23:22:14+05:30
2019-03-05,SMD-0121,ITC,NSE:ITC-EQ,280.0,284.0,276.05,282.55,13580306,FYERS_HISTORY,2026-08-08T23:22:14+05:30
