trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2004-12-30,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.4,30.72,28.57,30.38,46598,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2004-12-31,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.37,30.46,29.5,29.98,32365,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-03,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.57,33.3,30.38,32.51,144211,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-04,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,32.83,34.33,32.5,33.5,278565,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-05,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,33.33,33.33,28.37,31.99,144812,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-06,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,31.34,32.13,29.67,30.52,65687,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-07,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.4,31.57,30.33,30.81,39425,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-10,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.67,32.3,30.67,30.74,51651,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-11,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.74,31.33,29.77,30.31,34465,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-12,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,29.37,30.7,28.67,29.29,48937,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-13,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,29.88,30.33,29.57,30.11,18161,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-14,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.9,30.9,29.33,29.57,13356,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-17,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.0,30.0,28.87,29.11,29670,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-18,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,29.7,31.33,29.4,29.96,40495,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-19,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.56,30.8,29.83,30.46,41321,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-20,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.33,30.33,29.5,29.66,16969,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-24,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,29.77,30.17,29.4,29.6,31852,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-25,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,29.5,30.0,28.92,29.41,21078,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-27,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,29.9,30.5,29.33,29.53,98180,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-28,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,29.76,30.67,29.66,30.59,60413,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-01-31,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,30.63,31.4,30.43,31.14,61806,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-02-01,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,31.25,31.3,30.67,30.95,19841,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-02-02,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,31.17,31.3,30.75,30.9,26199,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-02-03,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,31.13,31.87,31.1,31.68,47804,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-02-04,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,31.93,32.1,31.38,31.62,29960,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-02-07,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,31.7,32.98,31.47,32.63,81223,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-02-08,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,32.83,33.97,32.83,33.48,152377,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-02-09,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,33.73,34.6,33.5,33.84,44988,FYERS_HISTORY,2026-08-08T23:22:20+05:30
2005-02-10,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,34.0,35.4,34.0,34.8,140131,FYERS_HISTORY,2026-08-08T23:22:20+05:30
