trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,150.7,156.2,150.3,154.3,7206485,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2014-12-30,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,152.9,157.3,149.45,151.65,6182841,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2014-12-31,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,151.75,154.25,149.6,151.85,3639424,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-01,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,152.0,158.35,150.5,156.55,6913722,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-02,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,158.0,164.6,157.6,161.95,8169041,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-05,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,164.8,166.75,161.2,162.85,12103749,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-06,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,160.95,163.4,151.05,152.65,9730592,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-07,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,154.2,154.75,148.6,150.35,5299465,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-08,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,152.7,158.5,152.1,157.9,6049252,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-09,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,159.1,161.45,151.5,152.85,6935232,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-12,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,152.1,153.15,147.9,149.4,4015320,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-13,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,150.5,155.85,147.5,148.75,6560402,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-14,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,149.7,152.0,145.2,146.85,5640225,FYERS_HISTORY,2026-08-08T23:22:25+05:30
2015-01-15,SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,149.3,153.7,147.2,151.8,7036088,FYERS_HISTORY,2026-08-08T23:22:25+05:30
