trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,94.0,95.5,76.85,93.45,1387285,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2010-12-30,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,93.45,96.8,93.45,95.05,1669831,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2010-12-31,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,97.0,100.75,96.0,99.65,3634285,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-03,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,100.0,100.9,98.55,99.8,1484941,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-04,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,100.0,101.85,99.2,100.0,1859666,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-05,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,100.15,100.9,99.05,99.35,976119,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-06,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,99.45,100.15,96.5,96.95,629222,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-07,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,97.0,97.5,95.0,95.2,648912,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-10,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,95.3,95.85,93.15,93.5,504921,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-11,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,94.45,94.45,90.1,91.4,650860,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-12,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,92.0,93.0,90.0,91.85,878068,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-13,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,92.4,93.35,91.0,92.65,585150,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-14,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,92.95,92.95,90.0,90.15,866078,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-17,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,89.1,90.15,86.0,86.35,1094160,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-18,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,86.0,88.25,86.0,86.8,805662,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-19,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,86.9,87.9,84.15,86.8,606290,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-20,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,86.8,89.9,86.25,88.2,956201,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-21,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,86.4,88.25,85.35,87.65,687800,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-24,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,87.9,88.2,85.4,86.05,796093,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-25,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,87.4,90.8,86.0,88.9,1235462,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-27,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,89.05,90.7,87.85,88.3,625766,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-28,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,88.0,88.0,83.1,84.0,1076047,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-01-31,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,83.0,83.5,67.25,81.0,608654,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-01,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,81.5,82.4,76.8,78.7,804590,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-02,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,79.0,80.5,78.75,79.15,636734,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-03,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,79.05,80.4,78.55,79.65,840608,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-04,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,80.2,81.3,75.45,76.1,882123,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-07,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,77.0,77.95,75.65,76.2,664572,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-08,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,75.3,77.2,75.3,76.0,704794,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-09,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,77.0,77.0,68.25,70.0,1191899,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-10,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,70.25,72.5,68.5,70.0,1787961,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-11,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,70.65,72.2,70.0,71.0,987485,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-14,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,72.0,74.0,71.65,73.45,1632594,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-15,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,74.4,76.0,73.1,75.2,1429441,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-16,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,76.0,79.2,74.55,78.25,1477151,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-17,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,78.2,78.95,76.7,78.0,774331,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-18,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,78.1,78.9,75.2,75.6,730802,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-21,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,75.6,76.0,74.0,75.45,416686,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-22,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,74.9,76.5,74.25,75.6,440277,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-23,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,75.6,76.1,74.7,75.3,293368,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-24,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,75.1,75.75,73.9,74.7,522113,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-25,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,74.6,75.85,73.5,74.35,277753,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-02-28,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,75.3,76.8,74.0,74.4,363886,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-03-01,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,75.25,76.25,74.7,75.3,1415362,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-03-03,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,75.0,76.0,74.7,74.95,622170,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-03-04,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,75.7,75.75,74.7,74.85,440989,FYERS_HISTORY,2026-08-08T23:22:58+05:30
2011-03-07,SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,74.0,74.5,73.3,74.15,485673,FYERS_HISTORY,2026-08-08T23:22:58+05:30
