trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-01-02,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,39.19,39.92,38.81,39.56,324140,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-03,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,39.56,40.71,39.0,40.37,978453,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-04,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,40.0,41.35,39.0,39.22,431202,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-05,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,39.4,39.84,38.65,39.67,351184,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-08,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,38.03,39.7,38.03,38.89,226424,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-09,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,38.7,41.29,38.7,40.81,526506,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-10,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,40.9,41.6,39.73,39.88,335760,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-11,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,40.47,41.25,39.46,40.62,329925,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-12,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,41.0,42.2,40.65,41.61,411309,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-15,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,42.47,42.47,41.15,41.66,313973,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-16,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,42.0,42.4,41.56,42.13,204749,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-17,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,43.0,44.2,42.2,43.52,809488,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-18,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,43.99,43.99,42.11,42.5,465642,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-19,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,42.5,43.1,41.3,42.48,224965,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-22,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,41.2,43.0,35.26,42.26,373072,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-23,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,43.0,43.24,39.83,40.35,278754,FYERS_HISTORY,2026-08-08T23:23:09+05:30
2007-01-24,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,41.5,43.15,40.6,42.98,603296,FYERS_HISTORY,2026-08-08T23:23:09+05:30
