trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,114.5,115.92,113.8,115.16,403044,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2010-12-30,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,114.8,118.39,112.5,117.71,1225337,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2010-12-31,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,117.9,118.42,116.45,117.71,573903,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-03,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,119.54,121.38,118.05,119.11,676568,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-04,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,120.07,120.07,116.51,116.77,784966,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-05,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,117.46,117.46,114.34,114.75,694723,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-06,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,115.27,116.4,109.38,109.96,1485759,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-07,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,109.9,109.97,102.1,103.0,1826514,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-10,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,103.3,105.0,97.71,98.58,1886936,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-11,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,99.3,101.0,93.1,94.22,3709546,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-12,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,94.84,99.9,94.84,99.57,2255710,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-13,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,100.0,103.37,98.69,100.27,2289612,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-14,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,100.5,100.59,96.21,96.96,1722554,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-17,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,96.9,100.3,95.55,97.53,1980015,FYERS_HISTORY,2026-08-08T23:23:10+05:30
2011-01-18,SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,98.0,102.0,98.0,101.55,1426070,FYERS_HISTORY,2026-08-08T23:23:10+05:30
