trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,73.56,77.34,73.56,76.67,2736340,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2011-12-30,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,77.04,77.61,74.55,74.99,1874555,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-02,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,75.35,75.78,73.78,74.79,1209217,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-03,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,75.5,75.83,73.88,74.95,1782104,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-04,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,75.2,76.82,74.8,75.41,2618356,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-05,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,75.45,76.53,74.06,74.59,1451960,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-06,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,74.6,75.44,73.93,74.81,1229327,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-07,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,75.05,75.15,74.27,74.67,110489,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-09,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,74.9,75.15,72.67,73.45,1365117,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-10,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,74.11,77.73,73.81,77.26,2429349,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-11,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,76.65,79.5,76.65,78.34,2729042,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-12,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,78.33,80.19,76.95,78.22,2718785,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-13,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,78.33,79.27,77.04,77.75,1136015,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-16,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,77.41,78.74,76.54,77.62,1282660,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-17,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,77.74,83.39,77.74,82.64,4502192,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-18,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,82.8,83.47,79.52,80.15,2264003,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-19,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,80.32,83.97,80.32,83.35,2338437,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-20,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,83.5,85.59,81.61,82.92,1992549,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-23,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,82.77,83.05,81.1,82.04,840116,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-24,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,82.68,86.96,82.27,86.16,2453005,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-25,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,86.49,88.9,85.09,86.48,2087390,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-27,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,87.25,87.25,84.34,85.09,1120488,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-30,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,84.86,90.56,83.66,89.51,4805793,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-01-31,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,89.56,94.38,88.48,93.81,4446621,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-01,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,93.44,94.2,91.71,92.89,2185590,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-02,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,92.91,94.87,91.29,92.05,1669623,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-03,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,93.44,98.21,92.69,97.17,4014156,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-06,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,94.73,99.26,94.73,97.06,2695587,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-07,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,97.06,97.84,90.8,91.39,2626007,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-08,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,92.63,96.66,91.45,93.93,5512955,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-09,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,93.56,103.85,93.56,102.23,6459420,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-10,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,103.88,104.34,98.66,99.44,3557553,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-13,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,99.93,101.51,97.84,99.38,2755273,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-14,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,99.4,102.37,98.91,99.72,1855798,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-15,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,101.39,102.29,99.9,101.04,1642758,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-16,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,100.9,105.36,100.46,102.68,2510327,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-17,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,103.38,104.11,98.23,99.23,2069946,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-21,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,99.4,100.9,98.02,99.99,1288465,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-22,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,100.1,101.14,94.84,96.17,1489262,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-23,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,95.11,103.38,93.46,100.05,3468849,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-24,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,104.31,104.31,98.71,99.82,2278022,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-27,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,99.87,105.07,98.84,100.36,2707755,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-28,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,101.82,102.23,100.25,100.82,1341224,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-02-29,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,101.39,104.77,101.26,103.47,1841055,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-01,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,103.38,107.52,99.12,100.07,3975224,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-02,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,100.87,101.69,94.25,95.53,3564660,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-03,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,96.15,96.9,95.22,95.83,293249,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-05,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,95.36,95.43,92.33,93.93,1917924,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-06,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,93.81,96.68,93.1,95.34,1323101,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-07,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,95.03,95.9,93.45,94.47,774972,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-09,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,95.63,101.79,95.26,101.02,2711975,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-12,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,101.58,106.36,101.43,105.93,2545572,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-13,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,105.87,107.73,102.5,105.8,1692992,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-14,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,105.37,109.81,105.37,108.76,2005049,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-15,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,108.23,110.22,106.7,108.93,1899308,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-16,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,108.12,109.61,106.36,107.3,1002092,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-19,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,108.85,109.25,103.58,105.02,919112,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-20,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,104.82,106.34,101.92,103.39,1191773,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-21,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,103.12,111.73,101.81,110.43,2422634,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-22,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,111.13,113.52,109.97,110.93,2900504,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-23,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,105.37,113.67,105.37,112.32,2007765,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-26,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,112.82,113.11,109.7,111.42,928966,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-27,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,113.15,113.15,107.95,110.67,1517752,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-28,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,109.35,110.33,105.94,106.96,2222958,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-29,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,105.36,111.73,104.89,107.56,2687725,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-03-30,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,107.86,119.07,107.63,116.91,5298069,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-02,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,107.36,119.78,107.36,119.14,2750721,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-03,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,120.2,121.6,117.8,119.01,2130326,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-04,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,117.69,118.49,116.34,117.92,1039007,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-09,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,116.3,119.88,115.51,116.12,1826710,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-10,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,116.8,117.36,115.01,116.26,758745,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-11,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,115.33,115.58,112.0,113.25,1705562,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-12,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,114.02,116.3,110.55,111.36,1828571,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-13,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,112.61,114.57,111.44,113.23,1292967,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-16,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,113.12,115.61,112.59,114.56,791606,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-17,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,114.81,115.66,112.65,114.7,812053,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-18,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,115.25,117.68,114.79,116.22,1095780,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-19,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,116.08,117.09,114.66,115.34,592891,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-20,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,114.84,115.26,112.4,113.24,728641,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-23,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,113.76,114.81,110.94,112.33,566252,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-24,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,113.31,113.82,109.15,113.02,754007,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-25,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,113.26,118.79,112.94,116.52,1916968,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-26,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,117.43,118.9,114.18,116.95,1941233,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-27,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,117.3,118.54,115.94,117.79,899616,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-28,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,117.78,118.29,117.0,117.72,65838,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-04-30,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,118.2,118.47,115.71,117.83,597981,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-02,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,117.3,120.08,116.8,117.75,1432594,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-03,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,118.25,118.25,111.38,112.19,1496174,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-04,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,110.87,112.18,107.65,109.04,1433515,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-07,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,107.61,111.33,105.87,110.23,1032236,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-08,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,111.17,112.62,105.97,107.39,1098482,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-09,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,106.83,108.45,103.73,106.32,1427806,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-10,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,109.29,109.29,102.99,104.46,2605746,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-11,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,104.46,114.05,102.05,112.44,4833669,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-14,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,113.21,116.8,111.9,114.15,2546865,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-15,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,113.42,115.21,110.99,114.17,1949241,FYERS_HISTORY,2026-08-08T23:23:27+05:30
2012-05-16,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,113.06,117.73,112.53,117.03,1784523,FYERS_HISTORY,2026-08-08T23:23:27+05:30
