trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,108.0,124.35,106.9,121.75,10976444,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2022-12-27,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,125.0,125.7,120.7,124.0,6715085,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2022-12-28,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,123.9,133.0,123.55,131.15,12084101,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2022-12-29,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,132.8,134.2,125.15,126.5,8410119,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2022-12-30,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,128.0,128.7,125.6,126.55,3659381,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-02,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,126.6,127.7,124.0,125.1,3324015,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-03,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,125.6,127.0,123.5,124.7,2287722,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-04,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,125.3,126.0,118.25,120.8,4098252,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-05,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,121.45,124.2,119.5,123.1,3911591,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-06,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,123.1,123.5,118.6,120.4,3182421,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-09,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,124.75,127.6,123.5,125.2,6691289,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-10,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,125.2,125.8,119.75,120.85,3424211,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-11,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,121.25,121.35,117.2,119.3,3861722,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-12,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,119.8,119.8,117.75,118.8,2248181,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-13,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,119.4,123.9,118.5,123.05,4743171,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-16,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,123.7,123.7,120.65,121.2,1748002,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-17,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,121.15,122.75,119.7,120.6,1543635,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-18,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,121.05,122.2,118.5,119.0,2125159,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-19,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,118.2,121.1,118.2,119.6,1576048,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-20,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,119.5,120.75,118.45,119.3,1110487,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-23,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,119.9,120.9,118.5,119.6,1066390,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-01-24,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,119.6,120.45,118.2,118.9,922365,FYERS_HISTORY,2026-08-08T23:23:51+05:30
