trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,335.8,345.0,335.8,343.3,2761293,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-12-27,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,346.0,357.0,334.7,352.15,3992940,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-12-28,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,355.0,362.0,343.0,345.45,2346425,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2023-12-29,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,346.65,359.85,338.2,354.1,2482256,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-01,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,355.15,364.9,351.05,362.3,2369504,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-02,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,362.25,370.0,351.45,362.7,4853351,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-03,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,363.05,366.6,355.6,359.6,1674304,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-04,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,361.0,364.95,355.35,363.8,1562063,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-05,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,370.0,379.75,350.1,357.75,5025301,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-08,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,360.05,375.0,359.0,372.35,3287702,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-09,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,376.35,386.7,374.85,382.3,3539948,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-10,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,384.05,392.9,376.15,380.15,3090700,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-11,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,382.2,393.0,380.75,390.7,2157983,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-12,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,392.25,395.0,385.55,389.4,1777386,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-15,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,391.8,391.8,378.0,384.75,2492467,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-16,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,386.2,386.2,363.3,367.9,2463512,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-17,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,365.3,375.9,357.3,362.15,2670645,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-18,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,363.0,367.95,352.2,361.95,1550854,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-19,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,365.15,370.25,362.55,364.6,1391457,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-20,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,365.0,366.4,361.0,361.4,586923,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-23,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,363.35,363.35,343.0,352.15,2550212,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-24,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,353.15,365.0,351.25,361.5,2124510,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-25,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,361.55,366.2,354.0,354.95,930473,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-29,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,356.0,359.3,350.1,354.95,1462470,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-30,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,361.35,370.25,358.2,367.4,2508283,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-01-31,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,368.0,379.2,347.75,350.2,7522247,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-01,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,358.5,360.0,321.95,334.05,6299102,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-02,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,336.15,351.9,336.15,347.9,7042693,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-05,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,348.95,349.55,336.3,339.85,2074851,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-06,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,342.45,344.85,329.15,330.0,2308551,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-07,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,331.7,342.4,329.25,337.25,6414327,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-08,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,350.0,368.7,343.75,352.05,17258388,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-09,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,357.15,362.0,345.0,357.95,5257247,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-12,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,358.4,366.25,351.2,363.9,5777513,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-13,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,366.0,369.8,354.1,366.5,2719522,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-14,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,362.0,368.6,356.7,364.25,1901847,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-15,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,362.5,409.7,362.5,391.65,6344879,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-16,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,388.95,390.0,382.05,384.6,1641450,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-19,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,384.45,388.4,372.1,374.15,1973586,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-20,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,374.8,376.0,363.0,364.55,1869396,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-21,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,364.55,388.0,364.55,376.25,3400773,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-22,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,379.7,385.7,375.0,383.85,1697046,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-23,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,384.0,387.8,380.0,384.65,1181055,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-26,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,384.0,387.5,377.0,379.35,1061251,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-27,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,376.25,383.1,366.25,370.5,918920,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-28,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,371.0,390.0,368.1,378.5,2389486,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-02-29,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,378.55,398.6,370.3,396.85,7149833,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-03-01,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,398.6,409.7,385.7,399.45,4913833,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-03-02,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,401.6,419.4,399.65,412.4,782453,FYERS_HISTORY,2026-08-08T23:23:51+05:30
2024-03-04,SMD-0128,KALYANKJIL,NSE:KALYANKJIL-EQ,414.0,414.35,402.25,408.95,1706642,FYERS_HISTORY,2026-08-08T23:23:51+05:30
