trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-11-22,SMD-0129,KAYNES,NSE:KAYNES-EQ,778.0,786.0,675.1,689.95,15636034,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-11-23,SMD-0129,KAYNES,NSE:KAYNES-EQ,702.0,719.7,690.5,715.6,2346053,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-11-24,SMD-0129,KAYNES,NSE:KAYNES-EQ,716.0,739.8,705.1,730.1,1689717,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-11-25,SMD-0129,KAYNES,NSE:KAYNES-EQ,724.85,767.9,722.0,745.15,1915106,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-11-28,SMD-0129,KAYNES,NSE:KAYNES-EQ,745.0,764.0,734.55,749.9,759905,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-11-29,SMD-0129,KAYNES,NSE:KAYNES-EQ,753.7,754.75,731.15,733.95,462934,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-11-30,SMD-0129,KAYNES,NSE:KAYNES-EQ,735.0,738.0,722.15,725.15,347873,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-01,SMD-0129,KAYNES,NSE:KAYNES-EQ,728.25,745.25,728.25,739.45,279131,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-02,SMD-0129,KAYNES,NSE:KAYNES-EQ,738.95,747.95,724.0,740.2,328645,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-05,SMD-0129,KAYNES,NSE:KAYNES-EQ,740.2,751.0,734.95,741.95,238342,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-06,SMD-0129,KAYNES,NSE:KAYNES-EQ,735.0,744.95,729.0,739.9,155237,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-07,SMD-0129,KAYNES,NSE:KAYNES-EQ,735.0,796.75,735.0,759.55,1160261,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-08,SMD-0129,KAYNES,NSE:KAYNES-EQ,759.95,772.0,741.0,746.15,212406,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-09,SMD-0129,KAYNES,NSE:KAYNES-EQ,749.9,763.0,724.95,727.15,299354,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-12,SMD-0129,KAYNES,NSE:KAYNES-EQ,728.65,735.9,715.25,730.8,171216,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-13,SMD-0129,KAYNES,NSE:KAYNES-EQ,733.8,735.45,724.0,726.0,144431,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-14,SMD-0129,KAYNES,NSE:KAYNES-EQ,729.6,738.0,726.0,734.85,141865,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-15,SMD-0129,KAYNES,NSE:KAYNES-EQ,730.0,734.95,718.25,721.95,90870,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-16,SMD-0129,KAYNES,NSE:KAYNES-EQ,715.0,724.45,701.1,705.25,91513,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-19,SMD-0129,KAYNES,NSE:KAYNES-EQ,708.5,709.0,691.2,694.25,145490,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-20,SMD-0129,KAYNES,NSE:KAYNES-EQ,693.95,709.0,688.55,700.6,159281,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-21,SMD-0129,KAYNES,NSE:KAYNES-EQ,701.0,722.65,696.55,703.15,237160,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-22,SMD-0129,KAYNES,NSE:KAYNES-EQ,705.0,707.0,667.25,702.25,200700,FYERS_HISTORY,2026-08-08T23:24:10+05:30
2022-12-23,SMD-0129,KAYNES,NSE:KAYNES-EQ,690.0,697.0,672.95,680.25,177531,FYERS_HISTORY,2026-08-08T23:24:10+05:30
