trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0130,KEI,NSE:KEI-EQ,98.0,102.0,97.0,100.75,444181,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-01,SMD-0130,KEI,NSE:KEI-EQ,100.0,105.5,98.25,103.0,512633,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-02,SMD-0130,KEI,NSE:KEI-EQ,105.0,105.7,99.7,104.45,312317,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-03,SMD-0130,KEI,NSE:KEI-EQ,104.0,107.5,103.0,103.85,831555,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-04,SMD-0130,KEI,NSE:KEI-EQ,105.0,107.0,99.8,100.5,309147,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-07,SMD-0130,KEI,NSE:KEI-EQ,101.3,120.6,96.0,110.15,1988829,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-08,SMD-0130,KEI,NSE:KEI-EQ,122.2,132.2,122.2,132.2,1187588,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-09,SMD-0130,KEI,NSE:KEI-EQ,150.0,158.65,140.1,158.5,6863859,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-10,SMD-0130,KEI,NSE:KEI-EQ,159.0,168.0,142.65,142.65,3424048,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-11,SMD-0130,KEI,NSE:KEI-EQ,138.5,138.5,128.4,128.4,583747,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-14,SMD-0130,KEI,NSE:KEI-EQ,120.35,136.85,120.35,130.1,1543215,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-15,SMD-0130,KEI,NSE:KEI-EQ,132.0,135.4,125.8,126.8,497259,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-16,SMD-0130,KEI,NSE:KEI-EQ,124.9,126.5,116.8,123.85,607263,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-17,SMD-0130,KEI,NSE:KEI-EQ,124.9,133.9,124.25,129.1,691411,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-18,SMD-0130,KEI,NSE:KEI-EQ,128.75,128.75,116.2,116.75,341105,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-21,SMD-0130,KEI,NSE:KEI-EQ,115.95,115.95,105.1,105.1,331451,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-22,SMD-0130,KEI,NSE:KEI-EQ,94.95,96.0,94.6,94.6,133459,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-23,SMD-0130,KEI,NSE:KEI-EQ,97.0,99.35,89.9,91.85,381732,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-24,SMD-0130,KEI,NSE:KEI-EQ,95.0,96.0,87.3,87.3,599492,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-25,SMD-0130,KEI,NSE:KEI-EQ,91.0,91.35,82.95,88.35,558918,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-28,SMD-0130,KEI,NSE:KEI-EQ,88.35,88.35,83.95,85.9,414663,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-29,SMD-0130,KEI,NSE:KEI-EQ,88.0,90.2,85.15,88.8,259766,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-30,SMD-0130,KEI,NSE:KEI-EQ,89.5,92.0,86.5,89.25,267657,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-01-31,SMD-0130,KEI,NSE:KEI-EQ,89.9,91.45,84.8,85.05,417441,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-02-01,SMD-0130,KEI,NSE:KEI-EQ,86.0,88.9,80.8,87.6,286179,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-02-04,SMD-0130,KEI,NSE:KEI-EQ,90.35,92.0,88.9,91.1,276833,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-02-05,SMD-0130,KEI,NSE:KEI-EQ,90.0,94.15,89.1,92.6,174521,FYERS_HISTORY,2026-08-08T23:24:18+05:30
2008-02-06,SMD-0130,KEI,NSE:KEI-EQ,90.0,92.75,88.0,90.65,134558,FYERS_HISTORY,2026-08-08T23:24:18+05:30
