trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,74.05,74.11,72.57,73.18,2233630,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2013-12-31,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,73.5,73.5,72.55,72.83,901355,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-01,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,73.2,73.21,72.08,72.26,1963840,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-02,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,72.26,73.15,70.3,70.74,2280695,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-03,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,70.71,71.63,69.66,71.26,2862835,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-06,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,71.0,71.7,70.56,71.41,2233575,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-07,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,71.2,71.5,70.0,70.82,3218970,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-08,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,70.9,71.7,70.37,71.29,1564915,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-09,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,71.05,71.56,70.67,71.02,1537915,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-10,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,70.41,71.48,69.8,70.05,1831120,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-13,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,69.52,72.48,69.52,71.69,2362460,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-14,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,71.6,72.31,70.7,71.13,1319130,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-15,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,71.4,73.12,71.26,72.92,2778215,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-16,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,73.03,73.5,72.3,73.15,2755910,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-17,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,73.05,73.78,72.0,72.71,1615745,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-20,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,72.58,73.75,72.0,72.82,2496585,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-21,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,72.97,73.2,70.4,70.63,8500710,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-22,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,70.5,71.8,69.82,71.03,6601485,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-23,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,70.7,71.16,70.32,70.53,1689350,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-24,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,69.5,70.48,68.1,68.48,4289015,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-27,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,67.81,68.25,65.46,65.81,8073830,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-28,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,65.7,67.0,64.51,65.98,6697295,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-29,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,66.7,67.5,66.29,66.4,2686400,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-30,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,65.01,66.0,64.78,65.01,4211815,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-01-31,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,64.95,66.13,64.88,65.71,2785165,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-03,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,65.13,65.8,64.98,65.5,5796115,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-04,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,64.8,66.79,64.36,66.53,2539675,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-05,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,66.5,67.14,65.04,66.75,4157710,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-06,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,67.2,67.61,65.25,66.05,5452830,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-07,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,66.2,66.65,65.24,65.89,3591945,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-10,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,66.19,66.19,64.4,64.73,3699480,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-11,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,64.89,65.2,64.07,64.73,2456685,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-12,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,65.0,65.63,64.41,64.96,2610935,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-13,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,64.9,65.41,63.25,63.68,1946435,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-14,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,63.8,65.33,63.05,64.65,4013955,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-17,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,64.72,65.34,64.31,65.08,2319165,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-18,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,65.1,68.3,64.81,68.03,5330795,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-19,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,68.0,68.84,67.05,68.59,5589610,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-20,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,68.17,68.29,66.68,66.98,2849280,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-21,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,67.0,67.78,66.45,67.21,2380580,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-24,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,66.81,68.09,66.2,67.76,3685895,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-25,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,68.03,68.34,67.22,67.58,2189845,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-26,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,67.51,69.09,67.51,68.54,3778395,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-02-28,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,68.54,69.4,67.6,68.45,4660925,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-03-03,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,68.2,69.27,66.8,67.0,2251135,FYERS_HISTORY,2026-08-08T23:24:53+05:30
2014-03-04,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,67.1,67.89,66.55,67.67,3446230,FYERS_HISTORY,2026-08-08T23:24:53+05:30
