trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,139.81,142.69,139.68,141.6,5253100,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2015-12-29,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,141.6,142.9,141.0,141.24,5459480,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2015-12-30,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,141.6,142.1,140.9,141.83,2336465,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2015-12-31,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,141.23,144.77,141.23,144.01,5821050,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-01,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,144.0,145.97,142.25,145.45,3112190,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-04,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,145.4,145.4,140.77,141.06,6112235,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-05,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,141.62,142.56,141.0,141.55,3449210,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-06,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,140.8,142.2,139.4,140.72,3008320,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-07,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,139.5,140.6,137.83,138.33,3163480,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-08,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,138.84,140.8,138.71,139.02,2230145,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-11,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,138.0,140.95,136.2,140.17,2888295,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-12,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,139.98,140.14,136.91,138.4,4170100,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-13,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,139.61,140.13,136.45,137.83,3366030,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-14,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,136.4,138.19,134.6,136.82,4452225,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-15,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,135.88,137.82,134.2,135.12,5443705,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-18,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,135.2,137.36,132.62,133.48,11034040,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-19,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,134.01,135.2,132.71,133.74,5526025,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-20,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,132.0,140.0,130.52,132.53,3551885,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-21,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,134.3,135.43,130.2,132.17,4253900,FYERS_HISTORY,2026-08-08T23:24:54+05:30
2016-01-22,SMD-0132,KOTAKBANK,NSE:KOTAKBANK-EQ,134.2,137.8,132.84,136.61,5008920,FYERS_HISTORY,2026-08-08T23:24:54+05:30
