trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,120.0,133.4,119.3,130.15,4486662,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2020-12-29,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,133.9,135.7,126.6,131.5,2732053,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2020-12-30,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,131.1,137.7,128.0,134.15,2967113,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2020-12-31,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,132.6,144.3,132.6,142.0,4016021,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-01,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,141.1,148.65,141.1,143.9,2734406,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-04,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,145.2,148.0,142.85,145.45,2237108,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-05,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,142.85,147.0,141.3,144.1,1376388,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-06,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,144.25,145.45,133.3,136.4,1817053,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-07,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,138.0,142.0,134.1,135.3,775346,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-08,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,136.4,140.5,133.1,139.8,1226824,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-11,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,142.05,142.4,136.0,136.65,723765,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-12,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,137.2,137.3,132.4,135.6,451271,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-13,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,136.0,138.8,133.0,134.9,714528,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-14,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,136.15,136.6,130.7,134.1,469381,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-15,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,134.2,139.5,133.5,135.55,817322,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-18,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,136.35,137.65,131.2,132.15,532034,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-19,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,134.45,142.4,134.45,139.85,1297616,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-20,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,140.5,143.9,137.6,141.35,1247608,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-21,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,142.45,142.6,138.0,139.3,677450,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-22,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,139.0,139.95,134.1,135.1,425337,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-25,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,136.2,137.05,126.8,133.65,813436,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-27,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,134.5,139.7,130.85,136.1,591758,FYERS_HISTORY,2026-08-08T23:25:15+05:30
2021-01-28,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,135.0,136.5,132.0,132.95,438527,FYERS_HISTORY,2026-08-08T23:25:15+05:30
