trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,650.95,692.35,650.95,689.25,1618098,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2022-12-27,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,694.7,706.9,689.0,696.95,741070,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2022-12-28,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,695.5,702.9,687.05,700.0,662900,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2022-12-29,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,699.0,708.0,688.0,701.65,625008,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2022-12-30,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,707.0,718.7,701.1,704.25,662649,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-02,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,707.8,708.8,694.1,696.75,404987,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-03,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,696.75,703.3,689.0,691.75,524130,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-04,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,691.0,691.0,675.65,681.15,838579,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-05,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,682.7,690.0,677.2,682.7,571885,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-06,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,682.5,719.95,679.05,716.65,2688877,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-09,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,720.25,754.6,710.05,715.6,6183258,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-10,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,719.0,727.35,706.0,719.45,1393835,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-11,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,722.0,722.9,701.0,703.05,836999,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-12,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,706.6,711.0,690.1,692.55,867422,FYERS_HISTORY,2026-08-08T23:25:16+05:30
2023-01-13,SMD-0133,KPITTECH,NSE:KPITTECH-EQ,695.2,698.95,677.0,692.4,1673248,FYERS_HISTORY,2026-08-08T23:25:16+05:30
