trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,354.75,365.9,350.0,364.95,2415160,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2021-12-28,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,365.9,371.5,365.5,370.1,2003215,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2021-12-29,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,370.6,372.4,364.3,365.65,1300953,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2021-12-30,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,367.35,367.35,360.0,361.85,1272509,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2021-12-31,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,363.4,372.3,363.05,369.65,1168341,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-03,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,371.3,380.55,370.65,379.4,2359074,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-04,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,379.5,382.75,373.35,379.2,1779669,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-05,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,379.5,384.0,378.6,381.3,1828781,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-06,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,378.0,381.85,374.6,379.55,2103162,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-07,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,381.5,381.9,372.4,376.0,1775363,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-10,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,378.0,383.5,377.1,380.2,2619247,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-11,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,382.35,383.0,374.55,375.5,2360674,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-12,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,377.9,388.1,377.5,381.65,5175043,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-13,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,384.1,384.1,379.1,380.0,2309062,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-14,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,380.0,380.85,375.2,378.9,2534148,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-17,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,378.9,392.35,378.1,389.5,7240364,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-18,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,393.0,394.85,376.65,378.6,3918505,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-19,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,378.55,378.55,367.2,371.05,4411110,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-20,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,372.25,374.05,363.5,366.9,3570906,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-21,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,363.8,367.3,348.6,351.95,3934544,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-24,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,352.0,355.9,332.2,338.15,5550090,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-25,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,337.6,345.8,330.0,341.25,4665632,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-27,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,339.9,347.9,329.65,345.5,5402870,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-28,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,358.95,396.75,355.0,383.15,27295740,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-01-31,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,394.9,394.9,382.0,385.35,4516325,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-02-01,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,389.4,395.8,380.85,387.55,6423339,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-02-02,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,390.0,405.9,389.6,403.6,8477068,FYERS_HISTORY,2026-08-08T23:25:45+05:30
2022-02-03,SMD-0135,LICHSGFIN,NSE:LICHSGFIN-EQ,405.2,405.5,397.35,399.15,3509709,FYERS_HISTORY,2026-08-08T23:25:45+05:30
