trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-04-19,SMD-0137,LODHA,NSE:LODHA-EQ,218.0,239.0,211.3,232.63,22102730,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-04-20,SMD-0137,LODHA,NSE:LODHA-EQ,234.0,256.93,228.68,251.55,11705072,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-04-22,SMD-0137,LODHA,NSE:LODHA-EQ,249.0,271.38,245.8,261.88,4728296,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-04-23,SMD-0137,LODHA,NSE:LODHA-EQ,261.4,268.45,258.85,265.35,2300838,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-04-26,SMD-0137,LODHA,NSE:LODHA-EQ,266.0,293.0,266.0,290.05,4139576,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-04-27,SMD-0137,LODHA,NSE:LODHA-EQ,288.0,306.38,285.52,302.2,4373976,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-04-28,SMD-0137,LODHA,NSE:LODHA-EQ,302.4,310.0,298.1,307.83,1970340,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-04-29,SMD-0137,LODHA,NSE:LODHA-EQ,309.38,309.5,290.58,300.83,3749610,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-04-30,SMD-0137,LODHA,NSE:LODHA-EQ,296.0,310.95,294.05,296.85,689580,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-03,SMD-0137,LODHA,NSE:LODHA-EQ,295.0,302.5,285.1,299.65,848474,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-04,SMD-0137,LODHA,NSE:LODHA-EQ,300.63,304.0,291.35,298.85,587900,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-05,SMD-0137,LODHA,NSE:LODHA-EQ,295.5,306.0,293.75,303.0,582008,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-06,SMD-0137,LODHA,NSE:LODHA-EQ,303.0,306.13,297.77,300.98,281584,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-07,SMD-0137,LODHA,NSE:LODHA-EQ,301.5,319.0,301.5,315.88,2697842,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-10,SMD-0137,LODHA,NSE:LODHA-EQ,315.0,379.05,314.93,345.88,3202552,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-11,SMD-0137,LODHA,NSE:LODHA-EQ,342.4,351.35,337.58,345.85,938596,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-12,SMD-0137,LODHA,NSE:LODHA-EQ,350.0,355.13,317.48,323.33,1409480,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-14,SMD-0137,LODHA,NSE:LODHA-EQ,332.45,335.73,307.25,323.95,1291314,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-17,SMD-0137,LODHA,NSE:LODHA-EQ,324.0,328.5,313.8,323.7,2173164,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-18,SMD-0137,LODHA,NSE:LODHA-EQ,323.93,323.93,307.25,316.43,1331362,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-19,SMD-0137,LODHA,NSE:LODHA-EQ,311.75,321.0,311.75,317.15,676842,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-20,SMD-0137,LODHA,NSE:LODHA-EQ,317.15,322.58,308.02,314.27,415756,FYERS_HISTORY,2026-08-08T23:26:24+05:30
2021-05-21,SMD-0137,LODHA,NSE:LODHA-EQ,318.45,328.45,314.25,322.18,1315414,FYERS_HISTORY,2026-08-08T23:26:24+05:30
