trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0139,LTF,NSE:LTF-EQ,66.95,67.7,66.85,67.15,2287299,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2014-12-30,SMD-0139,LTF,NSE:LTF-EQ,67.1,67.45,66.8,67.2,1397735,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2014-12-31,SMD-0139,LTF,NSE:LTF-EQ,67.0,68.15,67.0,67.7,1914155,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-01,SMD-0139,LTF,NSE:LTF-EQ,67.45,68.9,67.4,68.7,1654384,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-02,SMD-0139,LTF,NSE:LTF-EQ,68.8,70.1,68.7,69.2,3318755,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-05,SMD-0139,LTF,NSE:LTF-EQ,69.25,70.0,69.0,69.25,2401847,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-06,SMD-0139,LTF,NSE:LTF-EQ,68.95,68.95,65.65,66.0,3642332,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-07,SMD-0139,LTF,NSE:LTF-EQ,66.4,66.6,65.0,66.05,2831098,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-08,SMD-0139,LTF,NSE:LTF-EQ,66.7,67.3,66.45,67.05,1895888,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-09,SMD-0139,LTF,NSE:LTF-EQ,68.0,68.3,66.75,67.2,2519836,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-12,SMD-0139,LTF,NSE:LTF-EQ,67.1,67.85,66.8,67.6,1450206,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-13,SMD-0139,LTF,NSE:LTF-EQ,67.65,67.8,66.5,66.85,1171416,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-14,SMD-0139,LTF,NSE:LTF-EQ,66.6,67.25,66.05,66.35,1306165,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-15,SMD-0139,LTF,NSE:LTF-EQ,68.1,69.35,66.85,68.35,4149704,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-16,SMD-0139,LTF,NSE:LTF-EQ,68.2,69.3,67.6,68.7,2644968,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-19,SMD-0139,LTF,NSE:LTF-EQ,68.5,70.0,68.4,68.9,2758903,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-20,SMD-0139,LTF,NSE:LTF-EQ,69.1,69.4,68.5,68.65,1939300,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-21,SMD-0139,LTF,NSE:LTF-EQ,68.95,69.95,68.65,69.45,5268091,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-22,SMD-0139,LTF,NSE:LTF-EQ,71.4,73.65,70.85,71.55,15781075,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-23,SMD-0139,LTF,NSE:LTF-EQ,72.45,72.45,70.25,70.8,7030753,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-27,SMD-0139,LTF,NSE:LTF-EQ,70.8,71.0,69.7,70.05,3704234,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-28,SMD-0139,LTF,NSE:LTF-EQ,69.75,70.35,68.8,69.05,3716655,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-29,SMD-0139,LTF,NSE:LTF-EQ,68.8,69.3,68.25,68.7,3513402,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-01-30,SMD-0139,LTF,NSE:LTF-EQ,69.1,70.2,68.3,68.85,3608623,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-02,SMD-0139,LTF,NSE:LTF-EQ,68.95,71.25,68.8,70.8,4010229,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-03,SMD-0139,LTF,NSE:LTF-EQ,71.25,71.3,68.7,69.0,4088210,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-04,SMD-0139,LTF,NSE:LTF-EQ,69.45,69.45,67.85,68.2,2807504,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-05,SMD-0139,LTF,NSE:LTF-EQ,68.65,68.7,66.75,67.05,2196531,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-06,SMD-0139,LTF,NSE:LTF-EQ,67.1,67.25,66.3,66.55,2069099,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-09,SMD-0139,LTF,NSE:LTF-EQ,66.55,67.1,65.55,65.8,2634659,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-10,SMD-0139,LTF,NSE:LTF-EQ,65.85,66.75,63.9,64.85,3151814,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-11,SMD-0139,LTF,NSE:LTF-EQ,65.45,66.35,65.25,66.05,1904296,FYERS_HISTORY,2026-08-08T23:26:50+05:30
2015-02-12,SMD-0139,LTF,NSE:LTF-EQ,66.45,66.95,65.85,66.85,2191741,FYERS_HISTORY,2026-08-08T23:26:50+05:30
