trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0139,LTF,NSE:LTF-EQ,153.85,154.15,152.2,153.0,2862578,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2023-12-27,SMD-0139,LTF,NSE:LTF-EQ,153.8,156.3,153.35,156.05,6433210,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2023-12-28,SMD-0139,LTF,NSE:LTF-EQ,156.75,163.0,156.5,162.15,12220252,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2023-12-29,SMD-0139,LTF,NSE:LTF-EQ,162.95,166.2,161.4,165.05,12363909,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-01,SMD-0139,LTF,NSE:LTF-EQ,165.0,165.6,162.7,163.45,3461469,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-02,SMD-0139,LTF,NSE:LTF-EQ,163.65,164.5,159.6,162.35,5915599,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-03,SMD-0139,LTF,NSE:LTF-EQ,163.0,170.8,162.5,166.15,24444967,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-04,SMD-0139,LTF,NSE:LTF-EQ,167.85,172.2,166.7,171.6,7364747,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-05,SMD-0139,LTF,NSE:LTF-EQ,173.5,174.95,168.6,170.9,13042843,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-08,SMD-0139,LTF,NSE:LTF-EQ,171.75,171.75,166.75,168.35,3752639,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-09,SMD-0139,LTF,NSE:LTF-EQ,169.3,170.95,166.05,166.45,3045597,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-10,SMD-0139,LTF,NSE:LTF-EQ,166.9,166.9,162.35,165.75,6215485,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-11,SMD-0139,LTF,NSE:LTF-EQ,166.4,171.0,165.8,168.5,6259743,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-12,SMD-0139,LTF,NSE:LTF-EQ,169.5,169.5,166.65,167.15,2777334,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-15,SMD-0139,LTF,NSE:LTF-EQ,168.7,170.75,167.45,169.75,2991663,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-16,SMD-0139,LTF,NSE:LTF-EQ,169.9,171.0,165.8,167.5,3398217,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-17,SMD-0139,LTF,NSE:LTF-EQ,165.55,170.9,164.0,169.7,6209769,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-18,SMD-0139,LTF,NSE:LTF-EQ,170.0,171.5,164.9,166.45,6240372,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-19,SMD-0139,LTF,NSE:LTF-EQ,168.4,169.05,166.0,168.3,4699819,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-20,SMD-0139,LTF,NSE:LTF-EQ,169.2,169.8,166.65,166.9,2209825,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-23,SMD-0139,LTF,NSE:LTF-EQ,167.9,168.65,157.85,159.55,9237297,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-24,SMD-0139,LTF,NSE:LTF-EQ,162.9,163.45,157.15,161.25,9499033,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-25,SMD-0139,LTF,NSE:LTF-EQ,162.0,167.35,161.4,166.9,5513833,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-29,SMD-0139,LTF,NSE:LTF-EQ,167.65,169.0,166.95,167.6,4525741,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-30,SMD-0139,LTF,NSE:LTF-EQ,169.0,171.55,165.3,167.8,6096993,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-01-31,SMD-0139,LTF,NSE:LTF-EQ,168.8,174.85,168.4,173.2,10043104,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-02-01,SMD-0139,LTF,NSE:LTF-EQ,175.15,175.55,169.0,172.25,5609948,FYERS_HISTORY,2026-08-08T23:26:54+05:30
2024-02-02,SMD-0139,LTF,NSE:LTF-EQ,173.2,176.2,173.05,174.7,6156504,FYERS_HISTORY,2026-08-08T23:26:54+05:30
