trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0142,LUPIN,NSE:LUPIN-EQ,127.2,130.0,125.0,125.96,79164,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-01,SMD-0142,LUPIN,NSE:LUPIN-EQ,126.0,127.6,124.0,124.6,57842,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-02,SMD-0142,LUPIN,NSE:LUPIN-EQ,124.63,126.4,123.64,124.94,166467,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-03,SMD-0142,LUPIN,NSE:LUPIN-EQ,123.6,125.78,121.6,123.22,44384,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-04,SMD-0142,LUPIN,NSE:LUPIN-EQ,123.6,125.0,121.02,122.37,80075,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-07,SMD-0142,LUPIN,NSE:LUPIN-EQ,122.8,128.19,122.8,127.15,400550,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-08,SMD-0142,LUPIN,NSE:LUPIN-EQ,128.0,129.4,121.0,121.86,124916,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-09,SMD-0142,LUPIN,NSE:LUPIN-EQ,126.0,127.0,121.0,121.54,28858,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-10,SMD-0142,LUPIN,NSE:LUPIN-EQ,123.99,123.99,115.4,118.57,149572,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-11,SMD-0142,LUPIN,NSE:LUPIN-EQ,119.2,121.49,117.02,119.16,46233,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-14,SMD-0142,LUPIN,NSE:LUPIN-EQ,116.25,123.96,116.25,123.43,37953,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-15,SMD-0142,LUPIN,NSE:LUPIN-EQ,124.75,124.75,121.26,122.97,163078,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-16,SMD-0142,LUPIN,NSE:LUPIN-EQ,120.22,122.8,120.0,121.84,39524,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-17,SMD-0142,LUPIN,NSE:LUPIN-EQ,122.98,123.2,119.4,120.07,334103,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-18,SMD-0142,LUPIN,NSE:LUPIN-EQ,119.78,120.59,114.2,114.82,82242,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-21,SMD-0142,LUPIN,NSE:LUPIN-EQ,114.4,114.4,103.25,107.1,204668,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-22,SMD-0142,LUPIN,NSE:LUPIN-EQ,100.2,107.6,85.0,100.05,279892,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-23,SMD-0142,LUPIN,NSE:LUPIN-EQ,102.2,119.4,98.2,102.91,564799,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-24,SMD-0142,LUPIN,NSE:LUPIN-EQ,109.98,109.98,100.2,102.83,133946,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-25,SMD-0142,LUPIN,NSE:LUPIN-EQ,104.0,111.0,102.01,107.03,167577,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-28,SMD-0142,LUPIN,NSE:LUPIN-EQ,106.02,106.02,102.2,103.01,48011,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-29,SMD-0142,LUPIN,NSE:LUPIN-EQ,106.6,106.6,102.2,102.92,86615,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-30,SMD-0142,LUPIN,NSE:LUPIN-EQ,104.39,109.6,103.0,108.97,333414,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-01-31,SMD-0142,LUPIN,NSE:LUPIN-EQ,107.75,118.0,101.0,112.47,855067,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-01,SMD-0142,LUPIN,NSE:LUPIN-EQ,107.2,113.8,105.4,111.94,53132,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-04,SMD-0142,LUPIN,NSE:LUPIN-EQ,111.6,112.59,109.2,110.56,66282,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-05,SMD-0142,LUPIN,NSE:LUPIN-EQ,112.0,113.4,108.42,111.84,45482,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-06,SMD-0142,LUPIN,NSE:LUPIN-EQ,108.02,110.98,106.2,109.17,19089,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-07,SMD-0142,LUPIN,NSE:LUPIN-EQ,111.56,111.6,105.0,105.71,21142,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-08,SMD-0142,LUPIN,NSE:LUPIN-EQ,107.4,107.83,102.8,105.12,21227,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-11,SMD-0142,LUPIN,NSE:LUPIN-EQ,104.0,105.8,98.8,100.16,56203,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-12,SMD-0142,LUPIN,NSE:LUPIN-EQ,100.2,102.77,96.0,99.49,205477,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-13,SMD-0142,LUPIN,NSE:LUPIN-EQ,101.76,101.9,97.4,99.88,96051,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-14,SMD-0142,LUPIN,NSE:LUPIN-EQ,103.4,103.4,101.02,101.79,74555,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-15,SMD-0142,LUPIN,NSE:LUPIN-EQ,101.68,104.0,100.2,103.48,15172,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-18,SMD-0142,LUPIN,NSE:LUPIN-EQ,105.8,105.8,103.0,103.48,15465,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-19,SMD-0142,LUPIN,NSE:LUPIN-EQ,104.98,108.6,104.01,108.05,119476,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-20,SMD-0142,LUPIN,NSE:LUPIN-EQ,108.05,108.6,105.25,106.25,22343,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-21,SMD-0142,LUPIN,NSE:LUPIN-EQ,105.21,108.98,105.21,108.09,44335,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-22,SMD-0142,LUPIN,NSE:LUPIN-EQ,108.0,109.0,107.0,108.1,49041,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-25,SMD-0142,LUPIN,NSE:LUPIN-EQ,108.6,110.0,107.6,109.35,42888,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-26,SMD-0142,LUPIN,NSE:LUPIN-EQ,101.8,110.99,101.8,109.25,34906,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-27,SMD-0142,LUPIN,NSE:LUPIN-EQ,110.14,110.7,109.0,109.7,54243,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-28,SMD-0142,LUPIN,NSE:LUPIN-EQ,110.6,111.4,106.8,108.48,111559,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-02-29,SMD-0142,LUPIN,NSE:LUPIN-EQ,110.0,112.0,106.6,110.76,73363,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-03,SMD-0142,LUPIN,NSE:LUPIN-EQ,106.76,114.4,106.02,111.95,108102,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-04,SMD-0142,LUPIN,NSE:LUPIN-EQ,110.4,112.96,104.6,106.97,111138,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-05,SMD-0142,LUPIN,NSE:LUPIN-EQ,107.0,109.34,104.01,105.14,316923,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-07,SMD-0142,LUPIN,NSE:LUPIN-EQ,103.2,104.39,99.2,103.83,59253,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-10,SMD-0142,LUPIN,NSE:LUPIN-EQ,102.02,103.9,101.2,102.42,27255,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-11,SMD-0142,LUPIN,NSE:LUPIN-EQ,102.0,109.4,100.4,106.79,51733,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-12,SMD-0142,LUPIN,NSE:LUPIN-EQ,107.99,108.78,103.0,103.67,36465,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-13,SMD-0142,LUPIN,NSE:LUPIN-EQ,102.6,105.0,100.0,100.37,32595,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-14,SMD-0142,LUPIN,NSE:LUPIN-EQ,103.2,103.2,97.8,99.26,24285,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-17,SMD-0142,LUPIN,NSE:LUPIN-EQ,97.2,97.2,92.02,94.21,35988,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-18,SMD-0142,LUPIN,NSE:LUPIN-EQ,94.0,97.94,90.03,96.16,46427,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-19,SMD-0142,LUPIN,NSE:LUPIN-EQ,96.41,102.8,96.41,99.38,104708,FYERS_HISTORY,2026-08-08T23:27:18+05:30
2008-03-24,SMD-0142,LUPIN,NSE:LUPIN-EQ,100.8,100.8,96.4,99.13,90137,FYERS_HISTORY,2026-08-08T23:27:18+05:30
