trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-01-01,SMD-0143,M&M,NSE:M&M-EQ,18.74,19.13,18.59,18.85,318920,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-02,SMD-0143,M&M,NSE:M&M-EQ,19.0,19.36,18.91,19.2,233920,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-03,SMD-0143,M&M,NSE:M&M-EQ,19.25,20.07,19.25,19.78,583123,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-04,SMD-0143,M&M,NSE:M&M-EQ,19.98,20.5,19.13,19.26,393458,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-05,SMD-0143,M&M,NSE:M&M-EQ,19.38,19.43,19.06,19.24,210391,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-08,SMD-0143,M&M,NSE:M&M-EQ,19.16,19.55,19.02,19.11,263047,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-09,SMD-0143,M&M,NSE:M&M-EQ,19.02,19.24,18.7,18.79,321353,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-10,SMD-0143,M&M,NSE:M&M-EQ,19.07,19.12,18.55,18.65,141921,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-11,SMD-0143,M&M,NSE:M&M-EQ,18.69,18.82,18.29,18.42,112333,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-12,SMD-0143,M&M,NSE:M&M-EQ,18.5,18.65,18.13,18.23,256600,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-15,SMD-0143,M&M,NSE:M&M-EQ,18.37,18.37,17.97,18.18,109104,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-16,SMD-0143,M&M,NSE:M&M-EQ,18.2,18.56,18.13,18.24,256171,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-17,SMD-0143,M&M,NSE:M&M-EQ,18.39,18.56,18.28,18.34,114396,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-18,SMD-0143,M&M,NSE:M&M-EQ,18.3,18.42,18.22,18.31,72273,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-19,SMD-0143,M&M,NSE:M&M-EQ,18.43,18.97,18.32,18.78,421795,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-22,SMD-0143,M&M,NSE:M&M-EQ,19.0,19.74,19.0,19.38,516214,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-23,SMD-0143,M&M,NSE:M&M-EQ,19.49,19.55,19.13,19.19,272940,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-24,SMD-0143,M&M,NSE:M&M-EQ,19.38,19.98,19.15,19.55,712153,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-25,SMD-0143,M&M,NSE:M&M-EQ,19.74,20.05,19.35,19.85,783724,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-29,SMD-0143,M&M,NSE:M&M-EQ,19.52,20.48,19.01,20.17,1020755,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-30,SMD-0143,M&M,NSE:M&M-EQ,20.19,20.73,20.19,20.36,647338,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-01-31,SMD-0143,M&M,NSE:M&M-EQ,20.0,21.22,19.77,20.45,1082144,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-01,SMD-0143,M&M,NSE:M&M-EQ,20.38,20.58,19.38,19.8,453668,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-02,SMD-0143,M&M,NSE:M&M-EQ,19.88,20.25,19.65,19.77,353847,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-05,SMD-0143,M&M,NSE:M&M-EQ,19.88,20.69,19.88,20.43,483515,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-06,SMD-0143,M&M,NSE:M&M-EQ,20.63,21.74,20.63,21.46,771442,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-07,SMD-0143,M&M,NSE:M&M-EQ,21.75,22.0,21.03,21.24,730859,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-08,SMD-0143,M&M,NSE:M&M-EQ,21.25,21.93,21.25,21.82,451311,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-09,SMD-0143,M&M,NSE:M&M-EQ,21.98,22.48,21.28,21.42,939503,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-12,SMD-0143,M&M,NSE:M&M-EQ,21.68,22.18,20.41,21.21,1230913,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-13,SMD-0143,M&M,NSE:M&M-EQ,21.38,21.49,20.76,20.93,536128,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-14,SMD-0143,M&M,NSE:M&M-EQ,21.06,21.36,20.77,21.24,335841,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-15,SMD-0143,M&M,NSE:M&M-EQ,21.36,21.73,21.19,21.38,441664,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-16,SMD-0143,M&M,NSE:M&M-EQ,21.57,22.24,21.07,21.34,1516273,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-19,SMD-0143,M&M,NSE:M&M-EQ,21.45,22.38,20.94,22.18,1157298,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-20,SMD-0143,M&M,NSE:M&M-EQ,22.44,23.37,22.44,23.03,1173989,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-21,SMD-0143,M&M,NSE:M&M-EQ,23.13,23.69,22.58,23.29,961759,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-22,SMD-0143,M&M,NSE:M&M-EQ,23.22,23.32,22.25,22.61,413849,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-23,SMD-0143,M&M,NSE:M&M-EQ,22.63,22.94,20.8,21.0,569066,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-26,SMD-0143,M&M,NSE:M&M-EQ,21.5,21.67,18.64,19.69,575007,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-27,SMD-0143,M&M,NSE:M&M-EQ,19.75,19.75,18.7,19.27,413844,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-02-28,SMD-0143,M&M,NSE:M&M-EQ,19.38,20.73,19.32,20.2,826014,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-03-01,SMD-0143,M&M,NSE:M&M-EQ,20.26,21.34,20.26,20.57,350893,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-03-02,SMD-0143,M&M,NSE:M&M-EQ,20.84,21.63,19.45,20.05,484223,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-03-05,SMD-0143,M&M,NSE:M&M-EQ,20.0,20.38,19.05,19.41,446327,FYERS_HISTORY,2026-08-08T23:27:28+05:30
2001-03-07,SMD-0143,M&M,NSE:M&M-EQ,19.75,19.75,18.2,19.07,222606,FYERS_HISTORY,2026-08-08T23:27:28+05:30
