trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0143,M&M,NSE:M&M-EQ,342.4,348.45,338.68,343.15,820493,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2011-12-30,SMD-0143,M&M,NSE:M&M-EQ,343.35,347.25,337.68,340.9,656636,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-02,SMD-0143,M&M,NSE:M&M-EQ,343.9,346.0,334.9,337.0,765256,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-03,SMD-0143,M&M,NSE:M&M-EQ,339.25,340.0,327.78,332.2,1563910,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-04,SMD-0143,M&M,NSE:M&M-EQ,333.5,333.78,318.05,319.52,1792912,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-05,SMD-0143,M&M,NSE:M&M-EQ,320.0,325.85,314.05,325.08,2128961,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-06,SMD-0143,M&M,NSE:M&M-EQ,323.0,329.5,319.3,327.8,1112852,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-07,SMD-0143,M&M,NSE:M&M-EQ,328.7,330.0,326.3,326.9,75549,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-09,SMD-0143,M&M,NSE:M&M-EQ,326.93,327.93,319.73,326.52,630287,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-10,SMD-0143,M&M,NSE:M&M-EQ,329.45,347.3,328.33,344.6,1179773,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-11,SMD-0143,M&M,NSE:M&M-EQ,345.75,346.25,334.55,340.18,1087538,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-12,SMD-0143,M&M,NSE:M&M-EQ,339.0,344.48,336.0,343.0,892469,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-13,SMD-0143,M&M,NSE:M&M-EQ,345.0,349.35,341.0,346.18,732410,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-16,SMD-0143,M&M,NSE:M&M-EQ,343.35,345.45,340.9,343.9,745198,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-17,SMD-0143,M&M,NSE:M&M-EQ,347.25,354.5,345.0,352.8,1221518,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-18,SMD-0143,M&M,NSE:M&M-EQ,354.0,354.83,336.5,342.03,1367208,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-19,SMD-0143,M&M,NSE:M&M-EQ,346.5,348.35,335.2,336.48,1515679,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-20,SMD-0143,M&M,NSE:M&M-EQ,338.9,339.45,323.02,328.5,2410137,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-23,SMD-0143,M&M,NSE:M&M-EQ,327.78,333.35,327.1,330.78,1028245,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-24,SMD-0143,M&M,NSE:M&M-EQ,332.5,344.63,328.5,342.73,1271026,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-25,SMD-0143,M&M,NSE:M&M-EQ,346.2,346.2,340.68,343.25,717626,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-27,SMD-0143,M&M,NSE:M&M-EQ,346.98,352.45,332.5,350.05,1408862,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-30,SMD-0143,M&M,NSE:M&M-EQ,348.0,349.88,330.25,332.55,1092909,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-01-31,SMD-0143,M&M,NSE:M&M-EQ,336.9,339.53,332.05,336.9,1038239,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-01,SMD-0143,M&M,NSE:M&M-EQ,337.25,350.0,336.75,344.45,3027984,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-02,SMD-0143,M&M,NSE:M&M-EQ,349.95,355.5,345.4,350.3,2571446,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-03,SMD-0143,M&M,NSE:M&M-EQ,351.5,358.88,348.3,355.4,2048696,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-06,SMD-0143,M&M,NSE:M&M-EQ,361.35,361.98,350.8,355.1,1182569,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-07,SMD-0143,M&M,NSE:M&M-EQ,360.5,360.5,342.65,344.83,2241693,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-08,SMD-0143,M&M,NSE:M&M-EQ,340.0,348.85,336.0,343.48,2173761,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-09,SMD-0143,M&M,NSE:M&M-EQ,344.5,353.5,341.0,351.03,1258073,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-10,SMD-0143,M&M,NSE:M&M-EQ,350.5,356.0,342.15,345.78,1194236,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-13,SMD-0143,M&M,NSE:M&M-EQ,347.4,354.45,346.08,352.6,681099,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-14,SMD-0143,M&M,NSE:M&M-EQ,352.5,360.0,352.0,358.65,1174214,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-15,SMD-0143,M&M,NSE:M&M-EQ,362.5,375.35,362.5,367.28,2440424,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-16,SMD-0143,M&M,NSE:M&M-EQ,366.9,368.35,356.3,362.13,1048347,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-17,SMD-0143,M&M,NSE:M&M-EQ,367.45,376.35,365.0,374.3,1729344,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-21,SMD-0143,M&M,NSE:M&M-EQ,374.68,384.65,369.13,381.3,1417602,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-22,SMD-0143,M&M,NSE:M&M-EQ,381.78,383.2,368.0,371.4,1234560,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-23,SMD-0143,M&M,NSE:M&M-EQ,369.0,372.63,359.0,361.75,1098473,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-24,SMD-0143,M&M,NSE:M&M-EQ,365.0,369.68,360.05,364.98,748567,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-27,SMD-0143,M&M,NSE:M&M-EQ,366.5,366.5,345.6,348.33,734579,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-28,SMD-0143,M&M,NSE:M&M-EQ,350.88,355.5,348.75,352.05,1106087,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-02-29,SMD-0143,M&M,NSE:M&M-EQ,355.0,358.95,344.5,354.93,803713,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-03-01,SMD-0143,M&M,NSE:M&M-EQ,351.6,354.45,334.38,340.88,1608988,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-03-02,SMD-0143,M&M,NSE:M&M-EQ,341.93,344.53,337.1,339.98,1651296,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-03-03,SMD-0143,M&M,NSE:M&M-EQ,341.5,341.55,338.2,339.15,58341,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-03-05,SMD-0143,M&M,NSE:M&M-EQ,337.5,341.9,334.33,337.65,1364898,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-03-06,SMD-0143,M&M,NSE:M&M-EQ,337.5,345.95,335.5,340.58,1143519,FYERS_HISTORY,2026-08-08T23:38:45+05:30
2012-03-07,SMD-0143,M&M,NSE:M&M-EQ,340.0,341.13,333.63,337.45,1196082,FYERS_HISTORY,2026-08-08T23:38:45+05:30
