trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,177.15,177.4,170.35,171.85,14212063,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2023-12-27,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,172.75,174.6,170.05,171.6,8204705,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2023-12-28,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,172.4,174.25,171.6,172.5,7221956,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2023-12-29,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,172.95,174.6,171.3,172.0,7199030,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-01,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,172.1,173.3,170.5,171.35,3600254,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-02,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,171.35,173.4,168.1,168.5,5954260,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-03,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,168.65,176.7,168.5,173.9,11989734,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-04,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,173.95,178.3,173.8,176.3,8827510,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-05,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,176.35,181.65,174.45,175.75,12003228,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-08,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,175.8,180.6,174.55,179.55,10095638,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-09,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,180.0,182.25,175.9,176.55,7453839,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-10,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,176.5,176.5,163.35,168.05,28477822,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-11,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,169.85,176.75,169.1,174.25,12953188,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-12,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,174.3,176.3,172.25,172.65,6343074,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-15,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,173.05,174.6,170.95,171.25,4523010,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-16,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,171.65,178.3,171.6,174.7,10492785,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-17,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,172.9,177.05,171.1,173.15,8693065,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-18,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,172.0,173.95,165.8,169.8,6787178,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-19,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,170.75,178.95,170.65,178.4,8708317,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-20,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,178.45,179.55,174.8,176.0,2461229,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-23,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,176.05,178.25,167.1,168.3,8452481,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-24,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,169.35,175.0,168.9,174.55,12305264,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-25,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,175.0,179.9,173.95,178.0,5462593,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-29,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,179.0,183.2,177.5,179.9,10899563,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-30,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,181.25,188.2,180.15,183.7,12199969,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-01-31,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,184.15,185.65,179.05,184.75,7373593,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-01,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,176.5,183.7,176.5,181.5,9559030,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-02,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,182.7,187.8,182.7,185.95,8643578,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-05,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,186.85,187.65,179.5,180.9,6143234,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-06,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,182.55,188.45,182.1,186.6,9463179,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-07,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,187.55,191.9,185.75,190.15,13922584,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-08,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,192.5,192.5,181.3,182.8,31618644,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-09,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,184.5,186.6,178.8,183.45,13935633,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-12,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,185.0,185.6,174.15,174.9,7721859,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-13,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,176.0,179.55,172.85,177.6,8351768,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-14,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,175.0,183.25,170.05,182.55,6580283,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-15,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,184.5,186.9,183.6,186.2,6100863,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-16,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,186.2,189.0,183.9,186.4,7511656,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-19,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,187.5,188.4,182.8,183.4,3890700,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-20,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,183.4,186.7,180.3,184.2,6699481,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-21,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,184.5,184.5,177.15,178.6,5305456,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-22,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,179.0,182.95,178.05,182.0,5292295,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-23,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,182.8,184.45,181.15,183.3,3910411,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-26,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,182.9,185.85,181.5,181.9,3346654,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-27,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,181.9,182.85,178.4,179.1,3123068,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-28,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,179.45,180.45,170.9,172.55,6548313,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-02-29,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,172.55,177.4,170.65,176.2,7210514,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-01,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,177.5,180.95,176.95,179.95,4689421,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-02,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,181.0,182.0,180.25,181.05,681827,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-04,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,181.9,184.95,181.45,183.95,3562857,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-05,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,187.5,199.0,185.65,186.3,44509735,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-06,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,186.6,187.2,168.7,173.9,24223520,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-07,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,175.0,176.25,171.25,172.4,6763355,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-11,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,173.75,174.15,168.15,169.25,5104807,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-12,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,169.4,172.45,164.5,169.55,7354749,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-13,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,169.55,171.95,158.3,160.3,8355287,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-14,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,161.8,168.1,158.45,165.7,6839038,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-15,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,166.0,167.35,161.65,165.75,6798662,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-18,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,167.5,169.65,165.8,167.35,3811180,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-19,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,165.7,167.75,163.8,166.35,2745241,FYERS_HISTORY,2026-08-08T23:39:06+05:30
2024-03-20,SMD-0145,MANAPPURAM,NSE:MANAPPURAM-EQ,167.0,171.85,166.2,166.5,11032952,FYERS_HISTORY,2026-08-08T23:39:06+05:30
