trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-01-02,SMD-0147,MARICO,NSE:MARICO-EQ,27.69,27.7,27.07,27.21,13739,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-03,SMD-0147,MARICO,NSE:MARICO-EQ,27.6,27.6,27.1,27.23,6829,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-04,SMD-0147,MARICO,NSE:MARICO-EQ,27.25,27.37,26.83,26.98,3389,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-05,SMD-0147,MARICO,NSE:MARICO-EQ,27.7,27.7,26.8,27.05,2194,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-08,SMD-0147,MARICO,NSE:MARICO-EQ,27.1,27.24,26.61,27.01,2013,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-09,SMD-0147,MARICO,NSE:MARICO-EQ,26.81,27.63,26.4,27.0,2599,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-10,SMD-0147,MARICO,NSE:MARICO-EQ,27.06,27.45,26.2,26.37,4614,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-11,SMD-0147,MARICO,NSE:MARICO-EQ,26.71,26.9,26.43,26.74,9228,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-12,SMD-0147,MARICO,NSE:MARICO-EQ,26.7,29.95,26.7,28.38,97301,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-15,SMD-0147,MARICO,NSE:MARICO-EQ,29.25,30.45,28.61,28.82,81521,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-16,SMD-0147,MARICO,NSE:MARICO-EQ,29.24,29.74,28.25,28.82,42442,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-17,SMD-0147,MARICO,NSE:MARICO-EQ,29.23,29.23,28.5,28.65,19040,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-18,SMD-0147,MARICO,NSE:MARICO-EQ,28.98,29.2,28.27,28.46,38485,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-19,SMD-0147,MARICO,NSE:MARICO-EQ,28.55,29.55,26.5,28.23,77092,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-22,SMD-0147,MARICO,NSE:MARICO-EQ,28.73,28.73,28.06,28.17,12072,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-23,SMD-0147,MARICO,NSE:MARICO-EQ,28.06,28.45,27.76,27.98,14114,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-24,SMD-0147,MARICO,NSE:MARICO-EQ,28.1,28.4,27.5,27.77,9926,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-25,SMD-0147,MARICO,NSE:MARICO-EQ,27.85,28.55,27.81,28.23,12871,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-29,SMD-0147,MARICO,NSE:MARICO-EQ,28.64,29.45,28.31,28.71,190964,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-01-31,SMD-0147,MARICO,NSE:MARICO-EQ,29.0,29.2,28.6,28.68,12374,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-02-01,SMD-0147,MARICO,NSE:MARICO-EQ,28.9,29.05,28.25,28.74,9750,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-02-02,SMD-0147,MARICO,NSE:MARICO-EQ,29.0,29.0,28.65,28.76,7893,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-02-05,SMD-0147,MARICO,NSE:MARICO-EQ,28.83,29.0,28.52,28.76,42869,FYERS_HISTORY,2026-08-08T23:39:30+05:30
2007-02-06,SMD-0147,MARICO,NSE:MARICO-EQ,28.78,28.78,28.25,28.46,83176,FYERS_HISTORY,2026-08-08T23:39:30+05:30
