trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-12-31,SMD-0148,MARUTI,NSE:MARUTI-EQ,373.7,379.0,368.3,375.2,2088465,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-01,SMD-0148,MARUTI,NSE:MARUTI-EQ,378.0,381.45,374.1,374.95,2154224,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-02,SMD-0148,MARUTI,NSE:MARUTI-EQ,377.7,385.7,377.2,380.4,2620056,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-05,SMD-0148,MARUTI,NSE:MARUTI-EQ,383.0,390.4,379.0,380.35,2978921,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-06,SMD-0148,MARUTI,NSE:MARUTI-EQ,380.05,384.7,365.6,370.05,1485287,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-07,SMD-0148,MARUTI,NSE:MARUTI-EQ,372.7,385.0,364.5,382.05,2860924,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-08,SMD-0148,MARUTI,NSE:MARUTI-EQ,386.2,404.95,386.2,400.35,3536049,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-09,SMD-0148,MARUTI,NSE:MARUTI-EQ,410.0,448.0,406.0,439.7,7713917,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-12,SMD-0148,MARUTI,NSE:MARUTI-EQ,439.1,445.9,415.85,418.95,2832076,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-13,SMD-0148,MARUTI,NSE:MARUTI-EQ,420.0,428.0,406.7,423.35,4974616,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-14,SMD-0148,MARUTI,NSE:MARUTI-EQ,425.0,437.9,425.0,434.2,3261830,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-15,SMD-0148,MARUTI,NSE:MARUTI-EQ,454.65,454.65,427.4,431.1,5989636,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-16,SMD-0148,MARUTI,NSE:MARUTI-EQ,434.8,440.0,397.0,401.15,6106161,FYERS_HISTORY,2026-08-08T23:39:44+05:30
2004-01-19,SMD-0148,MARUTI,NSE:MARUTI-EQ,402.1,430.85,391.5,424.4,7850768,FYERS_HISTORY,2026-08-08T23:39:44+05:30
