trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0148,MARUTI,NSE:MARUTI-EQ,1000.0,1009.9,985.1,994.5,471363,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-01,SMD-0148,MARUTI,NSE:MARUTI-EQ,1000.0,1000.0,986.0,991.55,183163,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-02,SMD-0148,MARUTI,NSE:MARUTI-EQ,1005.0,1009.95,978.6,997.05,351365,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-03,SMD-0148,MARUTI,NSE:MARUTI-EQ,999.0,999.0,969.95,973.2,455664,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-04,SMD-0148,MARUTI,NSE:MARUTI-EQ,975.0,982.5,959.0,964.15,798963,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-07,SMD-0148,MARUTI,NSE:MARUTI-EQ,952.0,970.0,952.0,963.75,683162,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-08,SMD-0148,MARUTI,NSE:MARUTI-EQ,965.0,970.0,936.0,939.8,644368,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-09,SMD-0148,MARUTI,NSE:MARUTI-EQ,944.9,1055.0,912.5,924.75,601337,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-10,SMD-0148,MARUTI,NSE:MARUTI-EQ,931.0,941.75,905.05,909.2,510754,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-11,SMD-0148,MARUTI,NSE:MARUTI-EQ,927.0,927.0,888.0,899.7,857643,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-14,SMD-0148,MARUTI,NSE:MARUTI-EQ,899.7,909.0,840.0,863.45,698561,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-15,SMD-0148,MARUTI,NSE:MARUTI-EQ,873.95,881.35,852.0,871.35,1000759,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-16,SMD-0148,MARUTI,NSE:MARUTI-EQ,868.0,868.0,827.0,847.7,558884,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-17,SMD-0148,MARUTI,NSE:MARUTI-EQ,855.0,894.9,842.15,864.8,602636,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-18,SMD-0148,MARUTI,NSE:MARUTI-EQ,860.0,865.55,835.1,842.0,444882,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-21,SMD-0148,MARUTI,NSE:MARUTI-EQ,824.0,834.5,755.05,803.2,614102,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-22,SMD-0148,MARUTI,NSE:MARUTI-EQ,780.0,840.0,700.0,807.05,949563,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-23,SMD-0148,MARUTI,NSE:MARUTI-EQ,835.0,859.0,785.0,826.15,777635,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-24,SMD-0148,MARUTI,NSE:MARUTI-EQ,850.0,850.0,761.0,788.75,1045605,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-25,SMD-0148,MARUTI,NSE:MARUTI-EQ,823.0,845.0,794.0,833.7,563334,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-28,SMD-0148,MARUTI,NSE:MARUTI-EQ,775.05,874.0,775.05,864.7,358055,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-29,SMD-0148,MARUTI,NSE:MARUTI-EQ,870.0,881.0,816.3,863.0,739339,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-30,SMD-0148,MARUTI,NSE:MARUTI-EQ,870.0,870.0,833.0,844.9,462356,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-01-31,SMD-0148,MARUTI,NSE:MARUTI-EQ,843.0,864.8,825.0,850.2,702863,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-02-01,SMD-0148,MARUTI,NSE:MARUTI-EQ,833.15,918.0,826.0,905.75,425624,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-02-04,SMD-0148,MARUTI,NSE:MARUTI-EQ,920.0,923.9,891.2,897.35,773011,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-02-05,SMD-0148,MARUTI,NSE:MARUTI-EQ,912.0,920.0,869.0,872.6,296903,FYERS_HISTORY,2026-08-08T23:39:46+05:30
2008-02-06,SMD-0148,MARUTI,NSE:MARUTI-EQ,855.1,860.0,827.0,832.25,400676,FYERS_HISTORY,2026-08-08T23:39:46+05:30
