trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0148,MARUTI,NSE:MARUTI-EQ,1394.1,1424.0,1386.35,1417.9,228653,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2010-12-30,SMD-0148,MARUTI,NSE:MARUTI-EQ,1422.0,1439.5,1413.0,1420.45,231775,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2010-12-31,SMD-0148,MARUTI,NSE:MARUTI-EQ,1420.8,1430.5,1415.0,1421.6,153415,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-03,SMD-0148,MARUTI,NSE:MARUTI-EQ,1430.0,1450.0,1418.5,1426.05,300162,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-04,SMD-0148,MARUTI,NSE:MARUTI-EQ,1427.0,1453.4,1404.05,1428.75,540328,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-05,SMD-0148,MARUTI,NSE:MARUTI-EQ,1428.0,1435.0,1406.35,1412.45,275096,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-06,SMD-0148,MARUTI,NSE:MARUTI-EQ,1415.05,1425.0,1366.3,1373.9,353272,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-07,SMD-0148,MARUTI,NSE:MARUTI-EQ,1365.0,1367.7,1337.55,1340.55,493731,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-10,SMD-0148,MARUTI,NSE:MARUTI-EQ,1349.0,1350.0,1318.2,1326.0,254474,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-11,SMD-0148,MARUTI,NSE:MARUTI-EQ,1325.0,1330.7,1305.95,1318.45,394195,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-12,SMD-0148,MARUTI,NSE:MARUTI-EQ,1324.0,1328.9,1294.9,1317.65,316610,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-13,SMD-0148,MARUTI,NSE:MARUTI-EQ,1320.0,1325.0,1301.6,1315.55,263445,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-14,SMD-0148,MARUTI,NSE:MARUTI-EQ,1316.0,1319.0,1263.3,1269.7,468849,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-17,SMD-0148,MARUTI,NSE:MARUTI-EQ,1270.0,1280.0,1255.0,1269.6,206244,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-18,SMD-0148,MARUTI,NSE:MARUTI-EQ,1276.0,1285.05,1268.05,1277.6,210065,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-19,SMD-0148,MARUTI,NSE:MARUTI-EQ,1284.0,1284.0,1266.5,1272.7,233334,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-20,SMD-0148,MARUTI,NSE:MARUTI-EQ,1267.55,1268.0,1245.1,1259.25,186731,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-21,SMD-0148,MARUTI,NSE:MARUTI-EQ,1264.0,1267.7,1238.2,1248.65,361853,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-24,SMD-0148,MARUTI,NSE:MARUTI-EQ,1269.0,1299.95,1255.0,1292.5,285343,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-25,SMD-0148,MARUTI,NSE:MARUTI-EQ,1305.0,1305.0,1276.05,1288.15,237024,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-27,SMD-0148,MARUTI,NSE:MARUTI-EQ,1299.8,1299.8,1263.1,1269.7,188751,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-28,SMD-0148,MARUTI,NSE:MARUTI-EQ,1272.0,1272.0,1220.0,1229.35,609439,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-01-31,SMD-0148,MARUTI,NSE:MARUTI-EQ,1199.0,1264.45,1150.3,1252.85,1056178,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-01,SMD-0148,MARUTI,NSE:MARUTI-EQ,1266.0,1275.0,1233.6,1242.4,331423,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-02,SMD-0148,MARUTI,NSE:MARUTI-EQ,1248.45,1248.45,1211.0,1217.05,446214,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-03,SMD-0148,MARUTI,NSE:MARUTI-EQ,1210.0,1229.9,1205.3,1218.2,355406,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-04,SMD-0148,MARUTI,NSE:MARUTI-EQ,1230.0,1236.4,1176.0,1182.95,309323,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-07,SMD-0148,MARUTI,NSE:MARUTI-EQ,1201.0,1201.0,1180.0,1189.75,155137,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-08,SMD-0148,MARUTI,NSE:MARUTI-EQ,1194.0,1194.0,1170.1,1176.8,214476,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-09,SMD-0148,MARUTI,NSE:MARUTI-EQ,1174.0,1189.0,1145.0,1154.0,178835,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-10,SMD-0148,MARUTI,NSE:MARUTI-EQ,1157.5,1174.85,1148.1,1160.0,268346,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-11,SMD-0148,MARUTI,NSE:MARUTI-EQ,1145.0,1186.8,1145.0,1181.35,306097,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-14,SMD-0148,MARUTI,NSE:MARUTI-EQ,1200.0,1228.0,1193.0,1224.1,258845,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-15,SMD-0148,MARUTI,NSE:MARUTI-EQ,1225.0,1242.0,1212.0,1236.7,215206,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-16,SMD-0148,MARUTI,NSE:MARUTI-EQ,1240.0,1240.0,1221.0,1227.95,94606,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-17,SMD-0148,MARUTI,NSE:MARUTI-EQ,1218.9,1239.95,1215.0,1228.05,128256,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-18,SMD-0148,MARUTI,NSE:MARUTI-EQ,1227.0,1256.0,1225.0,1228.7,355711,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-21,SMD-0148,MARUTI,NSE:MARUTI-EQ,1229.0,1230.0,1181.0,1207.35,203836,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-22,SMD-0148,MARUTI,NSE:MARUTI-EQ,1205.0,1205.0,1170.1,1181.1,189502,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-23,SMD-0148,MARUTI,NSE:MARUTI-EQ,1178.0,1202.6,1178.0,1192.5,339470,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-24,SMD-0148,MARUTI,NSE:MARUTI-EQ,1178.0,1199.0,1154.7,1174.55,656061,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-25,SMD-0148,MARUTI,NSE:MARUTI-EQ,1183.0,1183.0,1144.6,1168.65,347521,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-02-28,SMD-0148,MARUTI,NSE:MARUTI-EQ,1171.0,1228.0,1158.5,1208.2,376909,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-01,SMD-0148,MARUTI,NSE:MARUTI-EQ,1209.1,1312.7,1206.0,1290.75,759153,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-03,SMD-0148,MARUTI,NSE:MARUTI-EQ,1281.15,1334.0,1271.05,1322.25,461594,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-04,SMD-0148,MARUTI,NSE:MARUTI-EQ,1325.0,1341.6,1294.9,1312.05,455165,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-07,SMD-0148,MARUTI,NSE:MARUTI-EQ,1281.0,1290.0,1249.15,1260.85,252355,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-08,SMD-0148,MARUTI,NSE:MARUTI-EQ,1267.8,1274.9,1245.5,1256.15,406646,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-09,SMD-0148,MARUTI,NSE:MARUTI-EQ,1262.0,1283.0,1260.1,1266.0,181247,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-10,SMD-0148,MARUTI,NSE:MARUTI-EQ,1264.75,1285.0,1255.35,1271.4,220927,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-11,SMD-0148,MARUTI,NSE:MARUTI-EQ,1256.5,1278.5,1240.0,1250.85,252688,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-14,SMD-0148,MARUTI,NSE:MARUTI-EQ,1242.25,1266.0,1218.05,1257.0,555011,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-15,SMD-0148,MARUTI,NSE:MARUTI-EQ,1220.0,1229.9,1200.0,1214.15,447418,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-16,SMD-0148,MARUTI,NSE:MARUTI-EQ,1219.8,1228.9,1214.1,1219.25,233465,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-17,SMD-0148,MARUTI,NSE:MARUTI-EQ,1205.2,1213.9,1155.05,1165.1,1136194,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-18,SMD-0148,MARUTI,NSE:MARUTI-EQ,1183.7,1201.0,1147.1,1156.2,1087299,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-21,SMD-0148,MARUTI,NSE:MARUTI-EQ,1161.2,1166.0,1122.0,1128.2,524674,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-22,SMD-0148,MARUTI,NSE:MARUTI-EQ,1136.05,1179.0,1133.05,1171.95,879108,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-23,SMD-0148,MARUTI,NSE:MARUTI-EQ,1170.0,1181.0,1157.1,1175.95,458496,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-24,SMD-0148,MARUTI,NSE:MARUTI-EQ,1170.0,1184.0,1157.8,1167.15,569659,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-25,SMD-0148,MARUTI,NSE:MARUTI-EQ,1173.0,1185.0,1161.5,1182.3,504995,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-28,SMD-0148,MARUTI,NSE:MARUTI-EQ,1189.8,1210.35,1180.0,1201.7,604130,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-29,SMD-0148,MARUTI,NSE:MARUTI-EQ,1210.0,1249.9,1206.0,1237.95,593159,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-30,SMD-0148,MARUTI,NSE:MARUTI-EQ,1246.0,1295.8,1238.85,1269.0,934495,FYERS_HISTORY,2026-08-08T23:39:47+05:30
2011-03-31,SMD-0148,MARUTI,NSE:MARUTI-EQ,1269.0,1286.0,1251.0,1262.15,851042,FYERS_HISTORY,2026-08-08T23:39:47+05:30
