trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,415.0,426.4,415.0,425.1,1267730,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2021-12-28,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,428.65,430.85,411.05,415.05,1533898,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2021-12-29,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,417.4,427.0,413.0,424.75,865011,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2021-12-30,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,426.0,433.45,420.35,430.05,1040899,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2021-12-31,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,431.5,458.05,423.5,442.9,1521774,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-03,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,449.4,449.85,431.55,434.6,1252447,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-04,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,434.6,442.75,424.0,428.75,809359,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-05,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,425.5,432.0,405.75,408.05,1268951,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-06,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,408.1,416.3,407.25,409.45,829944,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-07,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,407.5,412.0,394.25,402.15,1049354,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-10,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,403.0,409.4,396.1,398.85,702817,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-11,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,399.0,402.85,390.0,390.8,762634,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-12,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,393.9,405.85,392.65,403.1,620146,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-13,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,405.7,413.65,404.0,404.9,1047369,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-14,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,403.9,404.7,394.0,396.55,587923,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-17,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,396.55,400.95,393.0,394.0,361413,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-18,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,396.0,399.7,390.0,390.95,363539,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-19,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,393.2,393.2,377.3,384.7,2563604,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-20,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,382.15,389.9,382.0,385.45,1596290,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-21,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,380.0,381.0,372.15,374.35,4225908,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-24,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,370.2,376.45,357.0,365.9,1518028,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-25,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,360.0,388.0,345.2,369.5,2900599,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-27,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,377.0,379.7,362.1,374.75,972451,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-28,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,375.45,378.95,368.25,369.55,818256,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-01-31,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,370.0,371.7,362.55,367.45,654849,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-01,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,370.0,373.75,362.6,364.0,508887,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-02,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,368.45,368.7,362.5,363.8,578343,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-03,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,366.3,369.3,361.5,363.4,330113,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-04,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,368.0,368.0,356.5,358.75,314301,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-07,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,357.0,359.8,347.7,349.5,1993839,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-08,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,352.25,369.5,349.65,359.9,1808184,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-09,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,362.0,368.3,355.6,364.65,2365349,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-10,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,364.65,390.0,357.0,384.35,2459835,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-11,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,384.8,384.8,365.0,368.45,1043292,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-14,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,368.45,372.4,352.0,362.6,1641931,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-15,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,358.0,376.15,351.1,371.6,1205644,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-16,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,371.6,384.0,363.25,380.15,1248485,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-17,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,383.3,384.45,375.05,380.0,992782,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-18,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,375.15,380.0,369.0,370.65,589138,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-21,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,369.1,375.7,364.4,366.95,1168982,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-22,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,359.9,374.75,356.5,372.1,707983,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-23,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,372.5,377.4,366.5,368.35,494175,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-24,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,351.0,359.8,343.45,346.3,1341504,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-25,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,358.0,378.0,351.35,366.85,972846,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-02-28,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,360.2,377.15,360.15,374.4,803898,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-02,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,373.4,376.0,367.05,372.4,644195,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-03,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,377.0,381.35,365.8,369.05,557061,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-04,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,369.85,369.85,350.0,359.55,1853161,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-07,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,348.75,352.4,340.0,345.9,1236479,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-08,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,344.7,349.0,340.9,342.85,1129232,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-09,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,344.1,356.2,344.1,353.7,1070542,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-10,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,362.0,362.45,354.3,355.75,715643,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-11,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,350.1,354.75,348.4,351.85,739023,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-14,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,352.15,354.1,346.9,348.0,1062690,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-15,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,348.0,349.75,337.05,344.1,1601435,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-16,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,346.0,352.65,341.7,350.65,930911,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-17,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,354.0,354.0,331.0,334.6,8876976,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-21,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,336.5,338.75,333.35,337.75,1936724,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-22,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,338.95,342.1,326.15,328.25,1592992,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-23,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,330.4,337.5,330.1,332.85,3074841,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-24,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,330.5,333.95,330.25,332.3,3001866,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-25,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,334.9,345.8,333.05,342.2,1273969,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-28,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,344.7,345.4,333.45,340.3,534026,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-29,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,343.65,358.0,343.05,355.5,1496340,FYERS_HISTORY,2026-08-08T23:40:11+05:30
2022-03-30,SMD-0149,MAXHEALTH,NSE:MAXHEALTH-EQ,360.65,368.55,354.75,361.0,1223170,FYERS_HISTORY,2026-08-08T23:40:11+05:30
