trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0151,MCX,NSE:MCX-EQ,91.0,96.8,91.0,94.82,8612175,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2013-12-31,SMD-0151,MCX,NSE:MCX-EQ,95.76,98.96,93.23,95.81,13770970,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-01,SMD-0151,MCX,NSE:MCX-EQ,96.37,99.0,95.62,98.45,7059070,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-02,SMD-0151,MCX,NSE:MCX-EQ,99.16,102.8,96.54,97.34,14595225,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-03,SMD-0151,MCX,NSE:MCX-EQ,97.0,116.36,96.8,114.62,40955275,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-06,SMD-0151,MCX,NSE:MCX-EQ,114.14,122.16,112.44,114.21,41979140,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-07,SMD-0151,MCX,NSE:MCX-EQ,114.78,121.9,114.2,118.62,34117585,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-08,SMD-0151,MCX,NSE:MCX-EQ,120.71,124.4,118.01,119.27,27705705,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-09,SMD-0151,MCX,NSE:MCX-EQ,118.76,120.46,114.4,117.49,19431235,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-10,SMD-0151,MCX,NSE:MCX-EQ,116.91,117.4,102.3,105.41,16933975,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-13,SMD-0151,MCX,NSE:MCX-EQ,106.96,110.55,105.0,107.93,13168905,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-14,SMD-0151,MCX,NSE:MCX-EQ,108.56,111.0,103.3,104.38,10171570,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-15,SMD-0151,MCX,NSE:MCX-EQ,105.14,106.18,101.03,102.34,8001245,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-16,SMD-0151,MCX,NSE:MCX-EQ,102.93,103.36,99.02,100.52,7943955,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-17,SMD-0151,MCX,NSE:MCX-EQ,100.6,100.9,93.62,94.49,9270070,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-20,SMD-0151,MCX,NSE:MCX-EQ,93.6,107.5,91.59,104.82,22348075,FYERS_HISTORY,2026-08-08T23:40:43+05:30
2014-01-21,SMD-0151,MCX,NSE:MCX-EQ,105.68,109.5,104.73,107.14,17786080,FYERS_HISTORY,2026-08-08T23:40:43+05:30
