trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0151,MCX,NSE:MCX-EQ,348.98,355.98,346.6,348.86,1777155,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2020-12-29,SMD-0151,MCX,NSE:MCX-EQ,350.0,353.98,344.8,351.54,646940,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2020-12-30,SMD-0151,MCX,NSE:MCX-EQ,352.02,355.0,347.86,351.24,816455,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2020-12-31,SMD-0151,MCX,NSE:MCX-EQ,352.8,352.8,343.0,346.14,446735,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-01,SMD-0151,MCX,NSE:MCX-EQ,348.0,351.0,345.71,349.65,382885,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-04,SMD-0151,MCX,NSE:MCX-EQ,351.4,358.94,349.38,356.86,1076110,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-05,SMD-0151,MCX,NSE:MCX-EQ,356.0,359.54,349.29,353.67,915285,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-06,SMD-0151,MCX,NSE:MCX-EQ,354.6,356.5,342.0,347.96,862355,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-07,SMD-0151,MCX,NSE:MCX-EQ,351.6,354.79,347.2,350.09,1212865,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-08,SMD-0151,MCX,NSE:MCX-EQ,352.4,352.4,341.36,343.09,979765,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-11,SMD-0151,MCX,NSE:MCX-EQ,346.0,349.53,340.6,342.3,1602320,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-12,SMD-0151,MCX,NSE:MCX-EQ,342.0,343.39,336.4,337.3,814375,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-13,SMD-0151,MCX,NSE:MCX-EQ,338.0,340.79,337.46,338.09,955075,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-14,SMD-0151,MCX,NSE:MCX-EQ,339.8,346.0,335.05,338.18,999255,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-15,SMD-0151,MCX,NSE:MCX-EQ,339.0,339.59,332.98,335.25,557245,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-18,SMD-0151,MCX,NSE:MCX-EQ,334.98,335.0,325.21,327.68,584440,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-19,SMD-0151,MCX,NSE:MCX-EQ,328.16,331.4,326.41,329.28,438565,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-20,SMD-0151,MCX,NSE:MCX-EQ,329.94,338.05,329.94,334.63,592790,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-21,SMD-0151,MCX,NSE:MCX-EQ,335.66,343.0,332.6,336.05,1075785,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-22,SMD-0151,MCX,NSE:MCX-EQ,337.6,339.6,332.6,334.96,946835,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-25,SMD-0151,MCX,NSE:MCX-EQ,336.0,337.99,330.0,333.07,590910,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-27,SMD-0151,MCX,NSE:MCX-EQ,333.07,336.21,325.0,330.33,910040,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-28,SMD-0151,MCX,NSE:MCX-EQ,329.0,336.4,326.0,334.47,876650,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-01-29,SMD-0151,MCX,NSE:MCX-EQ,334.47,337.82,327.61,328.69,571210,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-01,SMD-0151,MCX,NSE:MCX-EQ,329.96,332.8,318.0,319.65,1223030,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-02,SMD-0151,MCX,NSE:MCX-EQ,325.02,325.33,320.45,322.19,1391305,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-03,SMD-0151,MCX,NSE:MCX-EQ,322.99,325.51,314.4,314.94,2267310,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-04,SMD-0151,MCX,NSE:MCX-EQ,316.4,321.17,315.01,316.47,784195,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-05,SMD-0151,MCX,NSE:MCX-EQ,319.99,323.59,314.4,317.05,990380,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-08,SMD-0151,MCX,NSE:MCX-EQ,318.8,319.23,308.2,310.86,1593885,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-09,SMD-0151,MCX,NSE:MCX-EQ,311.6,317.2,308.0,310.19,1422985,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-10,SMD-0151,MCX,NSE:MCX-EQ,310.4,311.8,298.24,299.16,3867040,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-11,SMD-0151,MCX,NSE:MCX-EQ,299.6,306.7,297.1,298.47,2662765,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-12,SMD-0151,MCX,NSE:MCX-EQ,300.0,315.0,300.0,312.92,3643400,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-15,SMD-0151,MCX,NSE:MCX-EQ,316.6,318.92,305.67,307.18,1354450,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-16,SMD-0151,MCX,NSE:MCX-EQ,309.99,317.6,302.38,307.09,2284125,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-17,SMD-0151,MCX,NSE:MCX-EQ,307.0,308.41,299.05,300.54,1729605,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-18,SMD-0151,MCX,NSE:MCX-EQ,301.6,303.77,298.08,300.23,1102570,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-19,SMD-0151,MCX,NSE:MCX-EQ,300.59,303.86,298.99,300.28,776685,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-22,SMD-0151,MCX,NSE:MCX-EQ,300.2,304.39,295.7,297.98,888385,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-23,SMD-0151,MCX,NSE:MCX-EQ,299.8,302.8,298.02,300.29,592050,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-24,SMD-0151,MCX,NSE:MCX-EQ,301.59,306.31,300.1,303.81,750425,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-25,SMD-0151,MCX,NSE:MCX-EQ,306.0,306.3,301.1,304.0,746875,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-02-26,SMD-0151,MCX,NSE:MCX-EQ,300.21,304.8,298.2,302.37,1079300,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-01,SMD-0151,MCX,NSE:MCX-EQ,304.0,306.9,299.6,300.79,974815,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-02,SMD-0151,MCX,NSE:MCX-EQ,303.6,304.2,299.2,300.53,1051380,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-03,SMD-0151,MCX,NSE:MCX-EQ,302.0,313.48,301.62,308.51,1951140,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-04,SMD-0151,MCX,NSE:MCX-EQ,307.6,311.98,306.26,307.16,621215,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-05,SMD-0151,MCX,NSE:MCX-EQ,307.22,307.62,301.0,301.72,584905,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-08,SMD-0151,MCX,NSE:MCX-EQ,303.0,311.54,301.26,306.67,1405435,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-09,SMD-0151,MCX,NSE:MCX-EQ,308.0,308.87,300.0,303.13,803510,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-10,SMD-0151,MCX,NSE:MCX-EQ,305.0,306.59,301.02,303.28,828935,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-12,SMD-0151,MCX,NSE:MCX-EQ,305.2,309.39,301.1,304.45,1475220,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-15,SMD-0151,MCX,NSE:MCX-EQ,305.4,309.98,303.11,307.94,1381200,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-16,SMD-0151,MCX,NSE:MCX-EQ,307.62,319.56,306.58,316.18,2759305,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-17,SMD-0151,MCX,NSE:MCX-EQ,317.0,326.78,317.0,321.16,2911770,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-18,SMD-0151,MCX,NSE:MCX-EQ,325.6,326.75,315.4,317.42,3855365,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-19,SMD-0151,MCX,NSE:MCX-EQ,314.8,323.98,309.0,320.95,1250815,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-22,SMD-0151,MCX,NSE:MCX-EQ,321.59,327.9,319.31,322.49,1372625,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-23,SMD-0151,MCX,NSE:MCX-EQ,323.0,324.0,305.14,311.02,1561655,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-24,SMD-0151,MCX,NSE:MCX-EQ,312.19,312.68,305.2,309.21,1455575,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-25,SMD-0151,MCX,NSE:MCX-EQ,309.21,309.21,301.22,303.99,1351540,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-26,SMD-0151,MCX,NSE:MCX-EQ,306.0,314.8,302.81,313.57,613920,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-30,SMD-0151,MCX,NSE:MCX-EQ,314.0,315.83,305.0,305.89,656025,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-03-31,SMD-0151,MCX,NSE:MCX-EQ,306.1,308.99,301.0,302.59,713640,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-04-01,SMD-0151,MCX,NSE:MCX-EQ,304.19,308.98,301.37,303.61,784165,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-04-05,SMD-0151,MCX,NSE:MCX-EQ,304.38,305.76,288.61,290.2,1768380,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-04-06,SMD-0151,MCX,NSE:MCX-EQ,291.2,296.79,286.46,292.88,1559305,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-04-07,SMD-0151,MCX,NSE:MCX-EQ,293.16,300.2,293.16,296.92,1124910,FYERS_HISTORY,2026-08-08T23:40:46+05:30
2021-04-08,SMD-0151,MCX,NSE:MCX-EQ,298.8,305.34,298.0,301.0,1383775,FYERS_HISTORY,2026-08-08T23:40:46+05:30
