trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2005-12-30,SMD-0152,MFSL,NSE:MFSL-EQ,118.02,121.2,118.02,120.1,4695,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-02,SMD-0152,MFSL,NSE:MFSL-EQ,120.0,120.28,119.54,120.09,2285,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-03,SMD-0152,MFSL,NSE:MFSL-EQ,120.2,120.39,118.2,118.35,1632,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-04,SMD-0152,MFSL,NSE:MFSL-EQ,125.98,125.98,116.0,117.38,1807,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-05,SMD-0152,MFSL,NSE:MFSL-EQ,117.38,117.57,110.05,116.3,4599,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-06,SMD-0152,MFSL,NSE:MFSL-EQ,116.6,116.98,116.0,116.11,1950,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-09,SMD-0152,MFSL,NSE:MFSL-EQ,117.0,118.44,115.6,118.42,8507,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-10,SMD-0152,MFSL,NSE:MFSL-EQ,118.4,118.4,116.71,118.08,10189,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-12,SMD-0152,MFSL,NSE:MFSL-EQ,112.42,118.29,112.42,116.08,6517,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-13,SMD-0152,MFSL,NSE:MFSL-EQ,116.23,118.4,116.23,117.33,2386,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-16,SMD-0152,MFSL,NSE:MFSL-EQ,117.5,119.2,116.38,118.07,4296,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-17,SMD-0152,MFSL,NSE:MFSL-EQ,118.0,118.04,109.82,114.43,7656,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-18,SMD-0152,MFSL,NSE:MFSL-EQ,113.34,118.4,111.0,114.58,6301,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-19,SMD-0152,MFSL,NSE:MFSL-EQ,117.65,120.0,117.0,119.0,3589,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-20,SMD-0152,MFSL,NSE:MFSL-EQ,120.77,120.8,119.0,120.19,4893,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-23,SMD-0152,MFSL,NSE:MFSL-EQ,120.0,120.6,120.0,120.12,4986,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-24,SMD-0152,MFSL,NSE:MFSL-EQ,120.97,121.6,120.45,121.0,3036,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-25,SMD-0152,MFSL,NSE:MFSL-EQ,123.0,144.0,123.0,137.2,68250,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-27,SMD-0152,MFSL,NSE:MFSL-EQ,142.9,162.02,138.32,152.8,96779,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-30,SMD-0152,MFSL,NSE:MFSL-EQ,157.0,157.0,146.2,147.78,33808,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-01-31,SMD-0152,MFSL,NSE:MFSL-EQ,142.0,148.0,142.0,145.62,12342,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-01,SMD-0152,MFSL,NSE:MFSL-EQ,145.0,148.0,138.0,140.07,29104,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-02,SMD-0152,MFSL,NSE:MFSL-EQ,148.0,148.0,135.02,142.27,8932,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-03,SMD-0152,MFSL,NSE:MFSL-EQ,138.02,143.52,138.02,142.04,4875,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-06,SMD-0152,MFSL,NSE:MFSL-EQ,136.2,143.8,136.11,142.29,4651,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-07,SMD-0152,MFSL,NSE:MFSL-EQ,139.01,143.0,139.01,142.04,4309,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-08,SMD-0152,MFSL,NSE:MFSL-EQ,142.0,155.4,142.0,145.07,10156,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-10,SMD-0152,MFSL,NSE:MFSL-EQ,146.0,150.0,146.0,146.61,6121,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-13,SMD-0152,MFSL,NSE:MFSL-EQ,145.2,152.0,145.2,149.67,5974,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-14,SMD-0152,MFSL,NSE:MFSL-EQ,162.4,162.4,144.0,145.69,4133,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-15,SMD-0152,MFSL,NSE:MFSL-EQ,148.4,155.0,148.4,153.43,71426,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-16,SMD-0152,MFSL,NSE:MFSL-EQ,150.0,155.0,150.0,153.92,13261,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-17,SMD-0152,MFSL,NSE:MFSL-EQ,151.0,157.6,150.0,154.19,18902,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-20,SMD-0152,MFSL,NSE:MFSL-EQ,154.0,157.0,154.0,155.6,13968,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-21,SMD-0152,MFSL,NSE:MFSL-EQ,154.42,159.0,154.3,158.69,16201,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-22,SMD-0152,MFSL,NSE:MFSL-EQ,159.0,161.59,158.22,160.46,21826,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-23,SMD-0152,MFSL,NSE:MFSL-EQ,164.0,164.0,157.0,157.91,6186,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-24,SMD-0152,MFSL,NSE:MFSL-EQ,148.0,156.0,148.0,155.71,1938,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-27,SMD-0152,MFSL,NSE:MFSL-EQ,152.01,157.6,152.0,153.99,5629,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-02-28,SMD-0152,MFSL,NSE:MFSL-EQ,154.0,158.0,152.02,155.72,9326,FYERS_HISTORY,2026-08-08T23:40:52+05:30
2006-03-01,SMD-0152,MFSL,NSE:MFSL-EQ,156.4,156.4,154.01,154.69,4477,FYERS_HISTORY,2026-08-08T23:40:52+05:30
