trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,65.22,66.22,65.0,65.69,6913101,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2019-12-30,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,66.0,67.11,65.53,66.29,11677838,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2019-12-31,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,66.31,66.58,64.96,65.13,10571868,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-01,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,65.33,65.67,64.56,64.76,7750436,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-02,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,64.89,66.89,64.73,66.58,7523796,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-03,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,66.58,66.58,65.27,65.87,6789945,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-06,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,65.58,65.73,62.27,62.69,13965170,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-07,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,63.56,65.2,63.33,64.33,13148996,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-08,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,62.67,65.71,62.51,65.33,11901099,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-09,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,65.78,67.11,64.73,66.62,18745331,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-10,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,66.62,66.84,65.2,66.02,8622719,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-13,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,66.4,66.56,64.44,64.82,8489768,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-14,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,64.78,65.0,62.47,63.22,17221946,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-15,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,63.11,63.33,61.24,61.84,21490257,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-16,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,62.18,64.09,62.0,63.67,24848348,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-17,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,63.64,63.64,61.89,62.16,10413608,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-20,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,62.33,62.89,60.93,61.18,11486579,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-21,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,60.62,61.98,59.56,61.53,16968671,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-22,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,61.71,61.89,60.67,61.67,6610563,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-23,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,61.51,62.87,61.33,62.56,14886336,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-24,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,62.29,65.64,62.29,64.49,25966211,FYERS_HISTORY,2026-08-08T23:41:30+05:30
