trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,41.6,42.25,40.55,41.84,69692,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2009-12-30,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,41.63,44.0,41.63,43.75,189980,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2009-12-31,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.08,45.25,43.03,44.13,216448,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-04,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,43.99,44.25,43.29,43.65,67944,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-05,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.74,46.23,44.26,44.54,271024,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-06,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,45.44,45.63,44.08,44.3,403332,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-07,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.3,45.0,43.5,44.26,163068,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-08,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.85,46.0,42.89,43.74,1236720,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-11,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.0,44.63,42.78,43.66,305208,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-12,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.23,45.25,43.8,44.36,373892,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-13,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.38,44.75,43.88,44.35,107380,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-14,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.53,46.13,44.53,44.99,348308,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-15,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,45.75,45.75,44.83,45.0,115180,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-18,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,45.0,45.63,44.16,45.34,75148,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-19,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,45.68,45.68,44.05,44.28,72036,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-20,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,44.95,44.98,43.5,44.28,36536,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-21,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,43.79,44.48,43.53,43.74,153748,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-22,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,42.51,43.41,41.75,42.53,44368,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-25,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,42.5,43.25,41.75,42.68,43296,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-27,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,43.21,43.21,40.25,41.24,129320,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-28,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,42.13,42.38,40.81,41.33,65980,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-01-29,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,40.75,40.99,39.39,40.55,47852,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-01,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,40.73,41.0,40.14,40.81,23576,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-02,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,41.25,42.0,40.35,40.5,28424,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-03,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,41.0,41.93,40.63,41.79,37552,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-04,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,41.5,43.38,41.01,42.21,34456,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-05,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,40.38,40.88,39.31,40.05,67188,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-06,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,39.75,41.5,38.24,40.49,10520,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-08,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,40.31,41.18,39.78,40.06,14372,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-09,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,40.25,40.45,39.59,39.8,10916,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-10,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,40.86,40.86,39.28,39.48,9348,FYERS_HISTORY,2026-08-08T23:41:40+05:30
2010-02-11,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,40.41,40.41,39.4,39.64,12704,FYERS_HISTORY,2026-08-08T23:41:40+05:30
