trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,19.63,20.04,19.33,19.38,7908,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2011-12-30,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,20.48,20.48,19.39,19.44,6052,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-02,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,20.0,20.23,19.38,19.6,5052,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-03,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,19.63,19.98,19.5,19.64,3196,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-04,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,19.63,19.88,19.14,19.29,9316,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-05,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,19.5,19.75,19.31,19.7,6196,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-06,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,20.18,20.19,19.43,19.9,6364,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-07,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,19.65,19.65,19.65,19.65,80,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-09,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,19.88,20.61,19.81,20.33,10032,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-10,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,20.27,21.96,20.18,21.78,31688,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-11,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,22.13,22.45,21.89,22.01,10516,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-12,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,21.75,22.48,21.65,22.19,18144,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-13,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,22.0,23.13,22.0,22.98,15064,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-16,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,22.75,27.2,21.94,25.2,383552,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-17,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,26.28,26.49,24.38,24.99,182332,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-18,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,25.09,25.19,23.84,25.01,36804,FYERS_HISTORY,2026-08-08T23:41:41+05:30
2012-01-19,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,24.96,25.25,24.95,25.13,25348,FYERS_HISTORY,2026-08-08T23:41:41+05:30
