trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,125.88,128.25,123.71,127.29,214252,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2016-12-28,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,129.07,130.85,127.0,128.07,132160,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2016-12-29,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,127.73,130.5,127.73,130.03,79728,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2016-12-30,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,130.49,133.45,129.56,130.16,98540,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-02,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,131.24,134.98,130.03,130.88,173472,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-03,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,130.34,131.31,129.32,129.7,135312,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-04,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,131.16,131.25,128.5,129.03,156944,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-05,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,130.7,130.7,128.7,129.15,627388,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-06,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,130.23,131.21,127.89,128.43,111968,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-09,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,129.25,130.93,128.51,129.1,97536,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-10,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,129.81,130.0,129.0,129.31,53316,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-11,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,130.5,133.75,129.26,132.68,333696,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-12,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,133.13,136.34,131.7,132.7,140044,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-13,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,133.75,134.44,130.38,131.48,87456,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-16,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,131.48,133.25,131.48,131.98,55436,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-17,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,133.01,133.73,130.76,132.51,107604,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-18,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,133.31,133.99,131.28,131.93,84276,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-19,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,133.04,133.69,131.25,133.19,60148,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-20,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,132.28,133.0,129.53,130.03,56324,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-23,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,131.51,131.51,129.75,131.0,85632,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-24,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,131.25,136.25,131.25,134.1,260976,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-25,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,134.49,142.75,133.01,141.45,464292,FYERS_HISTORY,2026-08-08T23:41:44+05:30
2017-01-27,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,143.0,144.45,141.53,143.19,259492,FYERS_HISTORY,2026-08-08T23:41:44+05:30
