trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-01-01,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,52.19,52.19,47.1,47.24,748,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-02,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,46.5,50.63,44.63,50.39,3398,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-03,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,51.25,54.43,46.88,51.62,5190,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-04,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,54.56,59.88,53.13,59.1,10603,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-05,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,60.0,68.56,60.0,68.29,17060,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-08,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,67.5,70.63,63.0,65.87,134466,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-09,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,67.5,69.25,62.5,64.66,107604,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-10,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,68.63,69.38,65.63,65.87,110338,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-11,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,65.75,65.75,56.25,56.59,3994,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-12,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,58.13,60.0,53.13,57.91,5841,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-15,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,59.38,60.63,53.75,55.14,1643,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-16,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,55.13,56.88,55.0,55.66,585,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-17,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,56.5,56.88,55.0,55.13,867,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-18,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,55.0,56.75,52.51,56.14,1863,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-19,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,59.38,60.0,57.5,59.4,1750,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-22,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,59.99,62.25,59.38,59.38,3720,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-23,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,59.38,59.38,56.25,56.97,1095,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-24,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,59.99,60.5,56.26,58.16,719,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-25,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,58.14,59.71,53.51,53.61,4904,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-29,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,53.13,56.25,52.63,53.08,848,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-30,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,53.13,56.25,53.13,54.01,2453,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-01-31,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,55.0,55.0,49.69,51.08,4978,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-01,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,51.5,51.5,48.13,49.39,4554,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-02,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,48.13,54.75,48.13,50.53,4652,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-05,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,53.13,53.13,50.0,51.08,1141,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-06,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,51.25,52.47,48.75,50.0,13305,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-07,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,50.63,50.63,50.0,50.5,532,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-08,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,50.0,50.0,48.01,48.55,1103,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-09,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,49.0,50.63,47.0,48.58,1073,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-12,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,47.0,47.46,45.53,46.24,642,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-13,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,46.25,50.0,46.25,49.84,1064,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-14,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,48.5,53.05,48.01,50.0,381,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-15,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,51.25,51.25,46.88,49.19,1784,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-16,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,50.0,50.6,48.75,49.69,7791,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-19,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,49.99,51.38,48.13,48.46,12916,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-20,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,48.0,48.0,46.75,47.44,4149,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-21,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,47.81,47.81,46.63,46.79,1785,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-22,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,46.5,46.5,41.25,42.32,4288,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-23,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,42.99,44.24,39.75,39.88,3450,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-26,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,40.48,43.98,40.48,43.5,5775,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-27,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,45.63,45.63,41.5,42.76,3347,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-02-28,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,42.88,49.6,39.75,41.34,25741,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-01,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,40.5,43.99,40.5,42.51,6144,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-02,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,42.5,43.5,39.13,39.13,942,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-05,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,37.5,37.64,36.24,36.25,6569,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-07,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,37.5,37.5,36.25,36.88,537,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-08,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,36.5,36.5,31.38,32.72,1925,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-09,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,32.72,32.72,30.25,30.26,1446,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-12,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,27.88,29.25,25.43,25.43,1395,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-13,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,24.38,24.38,21.36,21.37,13578,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-14,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,21.36,24.61,21.36,24.39,1806,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-15,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,23.63,26.13,22.5,25.23,2886,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-16,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.99,26.75,24.63,24.98,3361,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-19,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.0,26.61,24.51,26.5,1826,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-20,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.01,27.25,25.01,26.49,1208,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-21,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.0,26.88,25.0,25.94,1145,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-22,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,26.5,28.0,25.38,25.63,10857,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-23,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.75,25.75,23.58,25.0,5433,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-26,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,23.13,25.38,22.25,25.38,11075,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-27,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.75,27.41,23.75,25.84,4961,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-28,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,27.63,28.5,27.5,27.81,8024,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-29,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,27.25,29.75,26.88,29.06,2250,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-03-30,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,31.25,31.25,27.5,28.93,1477,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-02,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,28.13,28.13,25.69,26.88,2029,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-03,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.07,27.18,25.07,26.21,1245,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-04,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.38,25.63,24.88,25.25,580,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-06,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,25.75,26.13,24.38,24.38,1556,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-09,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,23.89,23.89,21.25,22.25,1216,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-10,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,22.75,25.78,21.5,24.11,825,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-11,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,26.03,26.03,20.38,21.88,2485,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-12,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,22.25,24.88,21.88,23.93,5367,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-16,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,24.75,24.88,22.06,23.0,196,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-17,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,22.75,24.48,22.75,24.0,525,FYERS_HISTORY,2026-08-08T23:41:49+05:30
2001-04-18,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,24.0,25.25,23.5,24.99,2475,FYERS_HISTORY,2026-08-08T23:41:49+05:30
