trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2002-12-31,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,92.25,94.38,88.75,89.54,129801,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-01,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,92.88,92.88,89.75,90.96,54018,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-02,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,92.25,92.25,88.75,89.12,22712,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-03,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,90.49,91.21,89.13,89.86,22391,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-06,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,91.25,92.49,88.63,89.0,27696,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-07,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,90.61,92.5,88.88,91.71,82590,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-08,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,93.86,94.63,90.89,92.19,86191,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-09,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,92.38,95.63,90.14,94.44,418909,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-10,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,95.0,95.63,88.13,89.28,119272,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-13,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,89.38,92.93,88.38,92.25,43481,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-14,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,93.0,96.25,92.01,92.88,117053,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-15,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,95.28,95.28,92.5,93.68,30450,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-16,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,94.84,96.59,93.75,94.83,66412,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-17,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,94.21,94.5,92.08,93.55,32585,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-20,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,93.63,93.63,90.79,91.41,11244,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-21,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,93.06,93.06,87.64,88.37,22173,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-22,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,89.5,90.88,88.0,89.07,24014,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-23,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,90.0,90.0,82.64,84.12,25987,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-24,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,85.23,89.86,84.75,86.22,68321,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-27,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,86.49,87.38,81.88,85.5,39267,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-28,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,86.01,87.25,83.25,85.66,22262,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-29,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,86.0,87.38,81.58,83.14,18003,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-30,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,75.63,86.88,75.63,85.75,16851,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-01-31,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,85.63,86.25,83.76,86.11,15306,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-03,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,85.75,87.75,83.75,84.81,28942,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-04,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,85.63,89.62,85.14,87.74,89928,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-05,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,87.63,88.75,85.75,87.38,43713,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-06,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,87.75,88.91,86.38,88.08,15878,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-07,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,88.75,91.13,87.38,89.86,31706,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-10,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,91.88,91.88,87.0,87.47,9959,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-11,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,89.63,89.63,87.31,87.49,10474,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-12,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,88.13,88.13,87.13,87.6,7564,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-14,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,88.13,88.13,86.91,87.29,14130,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-17,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,90.13,91.86,88.63,91.11,24361,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-18,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,93.5,93.5,88.28,88.9,7313,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-19,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,90.0,90.75,87.66,88.38,6281,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-20,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,88.13,89.63,87.75,89.38,5248,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-21,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,88.75,89.46,87.58,88.07,4693,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-24,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,90.0,90.5,87.38,87.53,9087,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-25,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,88.63,88.63,85.0,85.77,14801,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-26,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,87.25,87.25,83.88,84.41,9905,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-27,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,86.24,90.5,83.75,87.63,38723,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-02-28,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,87.75,90.0,86.25,89.46,32409,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-03-03,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,90.49,91.24,88.0,88.81,15153,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-03-04,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,89.38,89.38,87.13,87.84,4878,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-03-05,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,87.38,87.38,85.13,85.81,7588,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-03-06,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,87.36,87.36,84.38,84.71,9440,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-03-07,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,83.75,84.25,80.75,82.34,12177,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-03-10,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,83.76,84.12,80.38,80.68,7300,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-03-11,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,79.38,81.75,79.38,81.18,8955,FYERS_HISTORY,2026-08-08T23:41:50+05:30
2003-03-12,SMD-0157,MPHASIS,NSE:MPHASIS-EQ,81.75,83.13,79.5,80.1,5189,FYERS_HISTORY,2026-08-08T23:41:50+05:30
