trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,178.0,179.8,178.0,178.85,118754,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2015-12-29,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,180.45,180.45,176.2,177.1,148065,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2015-12-30,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,179.85,180.0,175.25,178.8,216444,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2015-12-31,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,178.1,182.0,177.45,179.65,178428,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-01,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,180.3,180.3,177.7,178.75,26726,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-04,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,178.1,179.7,177.0,178.35,69265,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-05,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,179.5,179.6,177.1,177.45,264505,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-06,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,178.0,178.3,176.2,177.2,66664,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-07,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,176.3,179.5,174.5,178.0,803091,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-08,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,179.0,192.25,177.7,185.8,248420,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-11,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,184.0,188.0,182.3,185.85,121914,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-12,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,185.0,190.65,184.15,189.9,200154,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-13,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,188.1,191.95,178.1,180.35,393672,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-14,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,178.7,188.0,177.0,185.0,142113,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-15,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,189.55,189.55,181.0,182.95,178390,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-18,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,179.0,181.4,167.85,177.05,160987,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-19,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,172.3,177.95,172.3,176.3,206358,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-20,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,175.0,177.85,169.2,177.35,58410,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-21,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,176.65,176.75,170.5,172.4,63542,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-22,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,175.8,176.0,171.5,175.05,121910,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-25,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,174.55,181.0,174.5,179.9,50820,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-27,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,180.0,188.5,179.0,187.0,57099,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-28,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,188.9,191.55,184.1,186.5,119563,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-01-29,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,190.0,193.0,188.3,192.3,146066,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-01,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,193.45,199.8,190.25,198.0,90473,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-02,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,198.0,202.0,193.0,194.95,47852,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-03,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,192.0,192.95,182.0,186.6,83709,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-04,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,185.0,188.15,183.7,185.15,63750,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-05,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,187.9,187.9,183.5,183.8,25843,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-08,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,184.0,187.95,183.8,184.1,26554,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-09,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,180.3,192.0,180.3,189.35,70187,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-10,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,192.0,192.0,181.05,186.9,108629,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-11,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,186.35,187.65,177.2,182.95,100952,FYERS_HISTORY,2026-08-08T23:42:12+05:30
2016-02-12,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,183.9,184.8,173.6,181.2,105214,FYERS_HISTORY,2026-08-08T23:42:12+05:30
