trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,464.2,479.0,462.5,476.15,1234849,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2017-12-28,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,479.7,483.95,471.15,473.85,601464,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2017-12-29,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,475.45,484.0,472.3,474.65,425163,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-01,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,474.9,478.6,468.05,470.3,155817,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-02,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,471.0,474.5,450.85,458.9,599045,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-03,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,460.0,463.0,455.9,457.35,346999,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-04,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,460.9,465.0,454.5,461.95,558723,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-05,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,461.95,473.95,461.9,471.65,508207,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-08,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,471.65,478.3,465.55,470.35,980342,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-09,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,473.5,476.4,468.3,471.6,459443,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-10,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,472.0,475.45,454.0,455.45,1038447,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-11,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,455.3,457.4,448.8,451.1,1057893,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-12,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,452.0,455.65,447.0,451.5,414216,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-15,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,455.6,460.3,451.8,453.15,706309,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-16,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,456.0,457.9,435.8,438.6,489050,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-17,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,439.0,439.5,424.35,432.25,992590,FYERS_HISTORY,2026-08-08T23:42:13+05:30
2018-01-18,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,436.0,444.95,425.85,431.2,468250,FYERS_HISTORY,2026-08-08T23:42:13+05:30
