trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,288.8,292.53,287.5,290.23,445720,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2015-12-29,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,291.45,292.75,289.75,291.96,283200,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2015-12-30,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,292.5,293.0,289.51,291.99,385100,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2015-12-31,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,293.13,293.5,290.18,291.4,384200,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-01,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,291.0,292.5,288.75,289.26,241700,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-04,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,290.7,291.35,282.6,283.49,708520,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-05,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,286.95,286.95,282.5,283.12,542240,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-06,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,283.31,286.48,282.75,285.98,1107440,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-07,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,286.5,286.5,281.07,281.95,444400,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-08,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,284.5,284.55,280.75,281.63,889300,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-11,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,281.25,281.25,271.78,273.46,1001200,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-12,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,275.75,275.75,270.41,271.99,1129300,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-13,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,273.25,276.5,270.02,275.06,1237480,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-14,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,273.0,281.51,271.6,280.81,696600,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-15,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,280.0,281.5,278.6,279.89,540340,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-18,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,279.89,280.0,270.0,271.8,428280,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-19,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,272.25,274.7,269.5,271.44,426940,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-20,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,270.89,276.25,268.75,274.28,293700,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-21,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,273.0,274.6,270.23,271.49,1582880,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-22,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,274.5,275.62,271.58,272.38,497680,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-25,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,273.0,275.6,272.4,273.07,528340,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-27,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,274.73,274.73,272.56,274.39,1190880,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-28,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,274.0,274.5,272.5,273.45,805740,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-01-29,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,274.45,275.0,273.45,274.4,1002360,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-01,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,278.75,278.75,271.04,272.45,386360,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-02,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,274.0,275.2,271.0,272.87,833640,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-03,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,272.87,272.87,270.0,270.42,638780,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-04,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,271.25,274.65,271.25,274.27,388780,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-05,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,273.5,277.5,269.25,271.08,617660,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-08,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,273.5,274.5,270.1,270.65,429480,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-09,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,272.2,272.99,269.56,270.96,499880,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-10,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,271.95,272.45,263.97,264.88,936840,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-11,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,266.2,266.2,259.5,260.85,1166260,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-12,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,261.5,263.43,250.05,252.8,748780,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-15,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,252.9,257.45,251.0,252.89,1325440,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-16,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,255.75,255.75,251.5,252.49,996220,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-17,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,254.5,255.0,251.7,253.64,1445600,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-18,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,254.75,260.25,253.0,259.14,532660,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-19,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,260.35,262.0,258.76,260.49,258780,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-22,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,260.4,264.9,258.11,263.97,1705860,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-23,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,265.5,265.5,259.0,259.61,427740,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-24,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,259.25,260.25,256.75,259.97,236860,FYERS_HISTORY,2026-08-08T23:43:29+05:30
2016-02-25,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,259.97,260.0,254.55,257.15,627760,FYERS_HISTORY,2026-08-08T23:43:29+05:30
