trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,1008.75,1012.29,993.0,994.88,667640,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2022-12-27,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,995.0,1000.89,987.25,988.8,805820,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2022-12-28,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,989.5,994.8,985.5,992.18,706920,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2022-12-29,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,992.0,995.88,981.53,990.4,797020,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2022-12-30,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,991.98,994.5,978.09,980.3,852880,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-02,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,980.84,985.75,975.06,978.08,503280,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-03,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,979.95,988.05,973.8,986.37,628300,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-04,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,989.0,989.9,975.0,976.0,639680,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-05,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,977.0,994.71,975.98,988.8,1027860,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-06,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,990.0,996.32,988.83,994.27,787720,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-09,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,996.75,1008.22,994.83,1004.29,722880,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-10,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,1003.16,1009.45,997.76,1001.2,633360,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-11,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,1003.5,1004.25,985.87,987.92,650200,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-12,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,987.92,997.5,987.0,993.66,661240,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-13,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,997.5,997.5,986.26,989.22,695420,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-16,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,992.0,992.0,985.05,986.78,485300,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-17,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,986.8,998.31,985.64,997.29,803740,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-18,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,997.5,1002.1,988.67,991.17,727980,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-19,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,991.17,994.75,980.59,984.06,619980,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-20,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,983.01,983.39,957.49,960.01,1440440,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-23,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,962.5,972.0,957.56,968.36,758000,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-24,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,970.0,971.7,957.44,964.54,754240,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-25,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,967.45,967.53,957.5,961.78,823200,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-27,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,963.01,969.7,951.31,960.82,895540,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-30,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,960.3,960.68,948.9,958.3,996600,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-01-31,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,960.0,960.0,946.45,950.89,2350000,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-02-01,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,955.0,958.86,945.77,954.49,1376100,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-02-02,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,956.45,956.45,942.53,947.73,1418440,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-02-03,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,950.27,952.74,938.51,950.22,1111560,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-02-06,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,950.0,953.0,937.72,951.08,1382680,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-02-07,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,951.2,955.0,944.0,948.9,797460,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-02-08,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,947.5,953.24,944.51,949.75,465340,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-02-09,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,949.95,954.22,947.54,950.02,694680,FYERS_HISTORY,2026-08-08T23:43:32+05:30
2023-02-10,SMD-0164,NESTLEIND,NSE:NESTLEIND-EQ,950.5,953.51,943.76,951.2,527660,FYERS_HISTORY,2026-08-08T23:43:32+05:30
