trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0165,NHPC,NSE:NHPC-EQ,34.0,34.4,33.5,33.6,8180031,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2009-12-30,SMD-0165,NHPC,NSE:NHPC-EQ,34.0,34.25,33.6,33.95,8542025,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2009-12-31,SMD-0165,NHPC,NSE:NHPC-EQ,34.0,34.95,33.9,34.05,18425915,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-04,SMD-0165,NHPC,NSE:NHPC-EQ,34.05,35.5,34.05,35.3,21977972,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-05,SMD-0165,NHPC,NSE:NHPC-EQ,35.75,36.35,35.35,35.6,36618151,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-06,SMD-0165,NHPC,NSE:NHPC-EQ,36.5,36.5,35.8,36.25,25953740,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-07,SMD-0165,NHPC,NSE:NHPC-EQ,36.6,36.6,35.5,35.6,12138295,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-08,SMD-0165,NHPC,NSE:NHPC-EQ,35.65,36.05,35.25,35.35,10885992,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-11,SMD-0165,NHPC,NSE:NHPC-EQ,35.5,35.9,35.0,35.1,11254351,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-12,SMD-0165,NHPC,NSE:NHPC-EQ,35.0,35.45,34.5,34.55,9956918,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-13,SMD-0165,NHPC,NSE:NHPC-EQ,34.25,35.05,34.25,34.95,5374201,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-14,SMD-0165,NHPC,NSE:NHPC-EQ,35.0,35.4,34.65,35.0,6793943,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-15,SMD-0165,NHPC,NSE:NHPC-EQ,35.0,35.8,34.9,35.25,12589354,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-18,SMD-0165,NHPC,NSE:NHPC-EQ,34.5,35.45,34.3,35.0,8987550,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-19,SMD-0165,NHPC,NSE:NHPC-EQ,35.0,35.3,34.5,34.65,8055325,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-20,SMD-0165,NHPC,NSE:NHPC-EQ,34.75,35.6,34.65,34.75,10168799,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-21,SMD-0165,NHPC,NSE:NHPC-EQ,34.6,34.95,33.75,33.85,12599159,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-22,SMD-0165,NHPC,NSE:NHPC-EQ,33.55,34.0,33.1,33.8,10002309,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-25,SMD-0165,NHPC,NSE:NHPC-EQ,33.5,34.3,33.5,34.0,8886689,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-27,SMD-0165,NHPC,NSE:NHPC-EQ,33.8,34.55,32.8,33.0,21491088,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-28,SMD-0165,NHPC,NSE:NHPC-EQ,33.65,33.7,32.85,32.9,7053571,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-01-29,SMD-0165,NHPC,NSE:NHPC-EQ,32.8,33.25,32.3,33.05,9734803,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-01,SMD-0165,NHPC,NSE:NHPC-EQ,33.35,33.9,33.15,33.2,10058504,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-02,SMD-0165,NHPC,NSE:NHPC-EQ,33.35,33.65,32.85,32.9,6693721,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-03,SMD-0165,NHPC,NSE:NHPC-EQ,33.1,33.4,32.95,33.15,7411753,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-04,SMD-0165,NHPC,NSE:NHPC-EQ,33.2,33.3,32.5,32.6,5210073,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-05,SMD-0165,NHPC,NSE:NHPC-EQ,32.4,32.4,31.95,32.15,8633004,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-06,SMD-0165,NHPC,NSE:NHPC-EQ,32.45,32.5,32.1,32.3,1260143,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-08,SMD-0165,NHPC,NSE:NHPC-EQ,32.0,32.5,32.0,32.15,4150077,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-09,SMD-0165,NHPC,NSE:NHPC-EQ,32.0,33.4,32.0,33.05,5204094,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-10,SMD-0165,NHPC,NSE:NHPC-EQ,32.9,33.3,32.15,32.25,5935448,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-11,SMD-0165,NHPC,NSE:NHPC-EQ,32.25,32.7,32.25,32.35,3422056,FYERS_HISTORY,2026-08-08T23:43:42+05:30
2010-02-15,SMD-0165,NHPC,NSE:NHPC-EQ,32.35,32.55,32.1,32.15,2957711,FYERS_HISTORY,2026-08-08T23:43:42+05:30
