trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0165,NHPC,NSE:NHPC-EQ,19.8,19.8,19.25,19.45,4621651,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2013-12-31,SMD-0165,NHPC,NSE:NHPC-EQ,19.5,19.8,19.35,19.55,3180083,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-01,SMD-0165,NHPC,NSE:NHPC-EQ,19.55,19.7,19.5,19.55,3574016,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-02,SMD-0165,NHPC,NSE:NHPC-EQ,19.55,19.75,19.0,19.05,3602795,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-03,SMD-0165,NHPC,NSE:NHPC-EQ,18.95,19.1,18.7,18.85,2199368,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-06,SMD-0165,NHPC,NSE:NHPC-EQ,18.8,18.95,18.6,18.7,1524960,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-07,SMD-0165,NHPC,NSE:NHPC-EQ,18.65,18.9,18.55,18.7,2766924,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-08,SMD-0165,NHPC,NSE:NHPC-EQ,18.8,19.2,18.65,19.0,4849643,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-09,SMD-0165,NHPC,NSE:NHPC-EQ,19.0,19.1,18.5,18.6,3584511,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-10,SMD-0165,NHPC,NSE:NHPC-EQ,18.55,18.7,18.4,18.45,2419370,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-13,SMD-0165,NHPC,NSE:NHPC-EQ,18.5,18.6,18.05,18.25,3001659,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-14,SMD-0165,NHPC,NSE:NHPC-EQ,18.25,18.7,18.15,18.4,2659005,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-15,SMD-0165,NHPC,NSE:NHPC-EQ,18.4,18.8,18.35,18.6,3511608,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-16,SMD-0165,NHPC,NSE:NHPC-EQ,18.55,18.75,18.25,18.4,2699059,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-17,SMD-0165,NHPC,NSE:NHPC-EQ,18.35,18.5,18.15,18.2,2508039,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-20,SMD-0165,NHPC,NSE:NHPC-EQ,18.15,18.25,18.05,18.15,1467576,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-21,SMD-0165,NHPC,NSE:NHPC-EQ,18.15,18.25,18.05,18.15,3816737,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-22,SMD-0165,NHPC,NSE:NHPC-EQ,18.15,18.25,18.1,18.15,2412639,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-23,SMD-0165,NHPC,NSE:NHPC-EQ,18.2,18.35,18.15,18.25,3482567,FYERS_HISTORY,2026-08-08T23:43:43+05:30
2014-01-24,SMD-0165,NHPC,NSE:NHPC-EQ,18.15,18.25,17.9,18.0,3373136,FYERS_HISTORY,2026-08-08T23:43:43+05:30
