trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0168,NMDC,NSE:NMDC-EQ,30.37,30.55,30.17,30.4,2857548,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2015-12-29,SMD-0168,NMDC,NSE:NMDC-EQ,30.48,30.77,30.2,30.32,5592591,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2015-12-30,SMD-0168,NMDC,NSE:NMDC-EQ,30.48,30.67,29.87,30.07,4536852,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2015-12-31,SMD-0168,NMDC,NSE:NMDC-EQ,30.17,30.23,29.83,29.95,4085265,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-01,SMD-0168,NMDC,NSE:NMDC-EQ,29.93,30.63,29.9,30.42,1613568,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-04,SMD-0168,NMDC,NSE:NMDC-EQ,30.42,30.42,29.88,29.98,1912863,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-05,SMD-0168,NMDC,NSE:NMDC-EQ,30.15,31.27,29.93,31.08,6405084,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-06,SMD-0168,NMDC,NSE:NMDC-EQ,31.25,31.67,30.08,30.2,4070871,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-07,SMD-0168,NMDC,NSE:NMDC-EQ,29.93,30.4,29.17,29.35,3335586,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-08,SMD-0168,NMDC,NSE:NMDC-EQ,29.82,30.03,29.27,29.72,3483141,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-11,SMD-0168,NMDC,NSE:NMDC-EQ,29.42,29.75,29.07,29.32,3830901,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-12,SMD-0168,NMDC,NSE:NMDC-EQ,29.38,29.98,29.32,29.9,2867991,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-13,SMD-0168,NMDC,NSE:NMDC-EQ,30.07,30.07,28.97,29.42,4257069,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-14,SMD-0168,NMDC,NSE:NMDC-EQ,29.17,29.48,29.0,29.12,2941941,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-15,SMD-0168,NMDC,NSE:NMDC-EQ,29.2,29.5,28.52,28.67,2831697,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-18,SMD-0168,NMDC,NSE:NMDC-EQ,28.65,28.67,28.0,28.18,4178760,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-19,SMD-0168,NMDC,NSE:NMDC-EQ,28.38,28.45,27.72,27.83,3863880,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-20,SMD-0168,NMDC,NSE:NMDC-EQ,27.67,27.77,26.28,26.93,5276331,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-21,SMD-0168,NMDC,NSE:NMDC-EQ,27.33,27.63,25.43,25.55,9128781,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-22,SMD-0168,NMDC,NSE:NMDC-EQ,26.02,26.87,25.88,26.77,4070673,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-25,SMD-0168,NMDC,NSE:NMDC-EQ,27.07,27.42,26.78,26.88,3069456,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-27,SMD-0168,NMDC,NSE:NMDC-EQ,26.9,27.0,26.35,26.7,2976357,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-28,SMD-0168,NMDC,NSE:NMDC-EQ,26.67,26.75,26.07,26.22,7945218,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-01-29,SMD-0168,NMDC,NSE:NMDC-EQ,26.22,27.08,26.17,26.92,3621024,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-01,SMD-0168,NMDC,NSE:NMDC-EQ,27.47,27.47,26.7,26.78,2057757,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-02,SMD-0168,NMDC,NSE:NMDC-EQ,26.83,26.97,26.22,26.3,4739457,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-03,SMD-0168,NMDC,NSE:NMDC-EQ,26.17,26.63,25.72,25.87,5184498,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-04,SMD-0168,NMDC,NSE:NMDC-EQ,26.48,27.3,26.17,27.08,5088129,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-05,SMD-0168,NMDC,NSE:NMDC-EQ,27.5,28.33,27.4,28.2,7617996,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-08,SMD-0168,NMDC,NSE:NMDC-EQ,28.5,28.57,27.6,27.68,2580684,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-09,SMD-0168,NMDC,NSE:NMDC-EQ,27.5,28.65,27.43,28.28,4336233,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-10,SMD-0168,NMDC,NSE:NMDC-EQ,28.0,28.5,27.52,28.03,3046905,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-11,SMD-0168,NMDC,NSE:NMDC-EQ,28.0,28.27,25.83,26.4,4484943,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-12,SMD-0168,NMDC,NSE:NMDC-EQ,26.67,26.67,25.05,26.22,6034674,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-15,SMD-0168,NMDC,NSE:NMDC-EQ,28.6,30.92,27.33,29.92,31229319,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-16,SMD-0168,NMDC,NSE:NMDC-EQ,30.33,30.6,29.45,29.82,15460641,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-17,SMD-0168,NMDC,NSE:NMDC-EQ,29.95,30.33,29.37,29.75,23320653,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-18,SMD-0168,NMDC,NSE:NMDC-EQ,30.17,30.3,29.4,29.62,16296174,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-19,SMD-0168,NMDC,NSE:NMDC-EQ,29.67,30.9,29.6,30.65,21878820,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-22,SMD-0168,NMDC,NSE:NMDC-EQ,30.98,31.35,30.75,30.92,21183534,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-23,SMD-0168,NMDC,NSE:NMDC-EQ,30.97,31.67,30.67,31.07,19540728,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-24,SMD-0168,NMDC,NSE:NMDC-EQ,27.33,28.4,26.67,26.82,37826355,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-25,SMD-0168,NMDC,NSE:NMDC-EQ,26.9,27.3,26.17,26.95,16172037,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-26,SMD-0168,NMDC,NSE:NMDC-EQ,27.28,27.42,26.52,26.65,6897354,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-02-29,SMD-0168,NMDC,NSE:NMDC-EQ,26.77,27.6,26.47,27.13,10328454,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-03-01,SMD-0168,NMDC,NSE:NMDC-EQ,27.4,27.62,26.83,27.47,7429047,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-03-02,SMD-0168,NMDC,NSE:NMDC-EQ,27.72,28.15,27.62,27.98,8849439,FYERS_HISTORY,2026-08-08T23:44:25+05:30
2016-03-03,SMD-0168,NMDC,NSE:NMDC-EQ,28.12,29.6,28.03,29.42,11549688,FYERS_HISTORY,2026-08-08T23:44:25+05:30
