trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0169,NTPC,NSE:NTPC-EQ,195.42,197.42,192.5,194.04,5377854,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2009-12-30,SMD-0169,NTPC,NSE:NTPC-EQ,195.33,195.38,191.25,194.13,3223506,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2009-12-31,SMD-0169,NTPC,NSE:NTPC-EQ,196.04,201.13,194.0,196.38,16574406,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-04,SMD-0169,NTPC,NSE:NTPC-EQ,197.83,199.08,192.25,193.21,6309685,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-05,SMD-0169,NTPC,NSE:NTPC-EQ,195.17,195.71,190.13,191.08,8199538,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-06,SMD-0169,NTPC,NSE:NTPC-EQ,191.92,195.75,189.71,190.17,8325996,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-07,SMD-0169,NTPC,NSE:NTPC-EQ,191.5,191.5,187.71,190.21,6505912,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-08,SMD-0169,NTPC,NSE:NTPC-EQ,191.5,194.67,191.0,192.58,7441676,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-11,SMD-0169,NTPC,NSE:NTPC-EQ,194.25,196.13,193.33,194.13,3774641,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-12,SMD-0169,NTPC,NSE:NTPC-EQ,195.0,195.5,190.67,191.17,3794680,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-13,SMD-0169,NTPC,NSE:NTPC-EQ,190.08,192.88,189.25,191.17,5045623,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-14,SMD-0169,NTPC,NSE:NTPC-EQ,191.67,193.92,191.67,192.5,3604338,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-15,SMD-0169,NTPC,NSE:NTPC-EQ,195.42,195.42,192.5,193.54,3700988,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-18,SMD-0169,NTPC,NSE:NTPC-EQ,193.54,194.5,192.25,192.71,2488918,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-19,SMD-0169,NTPC,NSE:NTPC-EQ,193.54,194.0,189.25,189.75,3848297,FYERS_HISTORY,2026-08-08T23:44:36+05:30
2010-01-20,SMD-0169,NTPC,NSE:NTPC-EQ,191.75,193.75,190.5,191.17,6302983,FYERS_HISTORY,2026-08-08T23:44:36+05:30
